ˀtʃ a ŋ ⁴	dʒ i ŋ ³
m j a ŋ ¹	m r i ŋ ¹
ˀk a m ¹	ʃ a m ¹
b a n ²	b a n ²
p a p ⁴	p a k ⁴
ˀn ɛ p ³	n a p ⁴
b j i ²	b j e ²
p j u ³	p r o ¹
p u k ¹	p u k ⁴
k r u ²	k j u ³
n a ŋ ¹	n a ŋ ¹
m i ²	n e ²
b j a ŋ ¹	b j a ŋ ¹
l i ²	ˀl i ²
ˀts a p ⁴	ts a p ⁴
ˀk j i ⁴	ˀk j u ³
k j ɛ p ⁴	k j a p ⁴
w a m ¹	w a m ¹
d a ²	ˀt a ²
ˀk i ŋ ¹	dʒ i m ¹
w a m ³	w a m ³
ŋ a ²	ŋ a ²
b a ŋ ⁴	b i ŋ ³
a a k ⁴	s u t ⁴
ˀk i ²	ʃ e ²
ˀk a a ¹	b j ɛ ¹
p a a	p a ³
ˀk j i ⁴ ⁴	ˀk j u ¹
g u ²	g u ²
ˀk a ŋ ¹	s a ŋ ¹
m i ²	m e ²
b a k ⁴	ˀp i k ⁴
d u ŋ ¹	d u ŋ ¹
ˀts a m ⁴	ts a m ¹
b j a ⁴	b j i k ⁴
ˀk a m ¹	ʔ a m ¹
w ai ¹	w ai ¹
k j i ⁴	k j u ¹
ˀts u ²	ˀts u ²
ˀk r a ²	dʒ a ²
u k ¹	r u k ⁴
a u m ²	s u m ²
ŋ u ¹	ŋ u ¹
ˀk a a ⁴	k i k ⁴
b a n ¹	b a n ¹
n i g ⁴	n i k ⁴
b j i ³	ˀp r o ¹
b a ¹	b ui ¹
n i ³	n i ³
m j a ³	dz i ŋ ¹
ˀk a ²	ˀr o ²
r a ³	k r a ¹
ˀn a ¹	ˀn a ¹
ŋ j a p ⁴	ŋ j a t ⁴
ˀk a ¹	ˀŋ a ¹
ˀl a p ¹	ˀl a p ⁴
a a k ⁴	t a k ⁴
ˀk a ¹	j a ŋ ¹
ˀk e ³	m i ³
ˀk a ²	ˀr a ²
ˀk u k ⁴	j u k ⁴
j i ⁴	ˀn i k ⁴
ˀts i ¹	tʃ i ¹
d j ²	tʃ u ²
j ɛ p ⁴	j a p ⁴
m a ŋ ¹	m i ŋ ¹
u ²	ʔ ʊ ²
m a k ¹	m a k ⁴
