ˀtʃ a ˀŋ ³	dʒ i ŋ ³
b j a ¹	ˀp r o ¹
b a ¹	b ui ¹
n ai ³	n i ³
m a ³	dz i ŋ ¹
a ²	ˀr o ²
j a ŋ ³	k r a ¹
ˀn a ¹	ˀn a ¹
ŋ j a p ⁴	ŋ j a t ⁴
a a ¹	ˀŋ a ¹
ˀl a p ¹	ˀl a p ⁴
t a k ⁴	t a k ⁴
j a ¹	j a ŋ ¹
m a ³	m i ³
a a ²	ˀr a ²
j u k ⁴	j u k ⁴
j a ⁴	ˀn i k ⁴
ˀts i ¹	tʃ i ¹
d a ²	tʃ u ²
j a p ⁴	j a p ⁴
m a ˀŋ ¹	m i ŋ ¹
u ²	ʔ ʊ ²
m a k ¹	m a k ⁴
