ɕ u ⁴	ɕ o ⁴
sʰ i ²	s i ²
b j ɛ n ¹	n j e n ¹
tsʰ i ³	tsʰ e ³
s j i ²	s j i ²
sʰ w a ¹	s w a ŋ ¹
ŋ w a ¹	d w a ⁴
ŋ w a ¹	ŋ w a ⁴
t æ ⁴	t æ ŋ ⁴
s r e ⁴	s r i ⁴
j ɯ ⁴	j ɯ ⁴
k ɯ ¹	k ɯ ¹
p j e ²	p j ɛ ²
ŋ ɔ ¹	l ɔ ¹
o ⁴	ɔ ⁴
ts o ⁴	ts o ⁴
ts o ³	ts o ⁵
ŋ a ¹	d r æ n ¹
m ɛ ³	m ɛ ⁵
t o ŋ ²	d j o ŋ ²
kʰ r o ²	kʰ r o ²
m ɔ ¹	m ɔ ¹
ɖʐ e ⁴	ɖʐ i ⁴
tʰ u ²	tʰ j u ²
sʰ o ŋ ¹	s o ŋ ¹
p æ ⁴	p æ ⁴
q a ŋ ¹	q a ŋ ¹
n j e n ⁴	n j e ⁴
k o ³	k o ⁵
qʰ o ŋ ¹	kʰ o ŋ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
tʰ r o ⁴	tʰ j e ⁴
x w e ²	x w i ²
qʰ o ⁴	kʰ o ⁴
x æ ŋ ¹	χ æ n ¹
b æ ⁴	b æ ⁴
tʰ u ³	tʰ r u ³
n j o ¹	pʰ r æ ¹
p r j æ ⁴	p r æ ⁴
q æ n ¹	q æ n ¹
ʈ s e ¹	ts r e ŋ ¹
ŋ ɯ ²	p u ²
ŋ j u ŋ ⁴	ŋ j o ŋ ⁴
p r i ³	b r i ³
ɣ ɯ ³	z ɯ ³
s j e n ¹	sʰ j e n ¹
ʈ s i ²	ts r i ²
t w e n ²	t w e n ²
k o ¹	ɣ o ŋ ¹
n ŋ e ¹	n j i ⁴
p r j ¹ ⁴	b r æ ⁴
sʰ o ³	sʰ ɔ ³
ʈ e ⁴	d r ɛ ⁴
dʑ o n ²	ɖʐ e n ²
sʰ u ¹	ʂ u ¹
x ɛ n ¹	x e n ¹
ŋ o ŋ ¹	l o ŋ ¹
s r j e ŋ ¹	s r e ŋ ¹
d r e ²	dʑ i ²
tʰ r æ n ¹	tʰ æ n ¹
b a ⁴	b a ⁴
ʈ r u ¹	d r o ŋ ¹
n w e n ¹	ŋ w e n ¹
qʰ ɔ ²	qʰ ɔ ²
ts i ²	ts i ²
ɣ u ³	g o ŋ ³
j u ²	n j o ²
b a ³	b ɔ ³
ɖʐ e ¹	ɖʐ i ¹
n w ɛ n ¹	ʁ w e n ¹
m a ⁴	m a ⁴
q a ŋ ¹	q a ŋ ¹
n j ¹ ³	b j o ²
q æ n ²	q æ n ¹
q ɯ ¹	q ɯ ¹
ʈ o ⁴	ʈ o ⁴
ɣ æ ⁴	ɣ æ ⁴
m ɯ ³	m ɯ ⁵
tsʰ o ⁴	tsʰ o ⁴
b u ¹	m ɯ ²
tʰ r æ n ¹	tʰ æ n ¹
b ɯ ¹	b ɯ ¹
s r o ²	s r ɯ ²
tsʰ j i ⁴	tɕʰ i ⁴
pʰ æ ⁴	pʰ æ ⁴
ɖʐ o ⁴	ɖʐ u ŋ ⁴
p j u ¹	p e ¹
tʰ e ⁴	tʰ r e ⁴
p r j ¹ ⁴	pʰ r a ⁴
ʈ ɔ ¹	d r ɔ ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
dʑ i ²	ɖʐ i ²
d i ²	dʑ i ²
ɕ æ n ¹	s j æ n ¹
qʰ a ⁴	qʰ a ⁴
b j e ⁴	b j ɛ ⁴
ɖʐ o ⁴	ɖʐ o ⁴
n j e n ¹	z e n ¹
n w ɛ ²	kʰ w ɛ ²
ɕ r i ²	ɕ w i ²
b o ¹	b ã ¹
s j ɛ n ¹	s j e n ¹
m ɛ ¹	m ɛ ¹
m ɛ ¹	m ɛ ¹
tʰ u ²	tʰ r u ²
p r j ¹ ⁴	p r a ⁴
ɖʐ e ⁴	ɖʐ i ⁴
b w æ ³	ŋ w æ ⁵
m ɯ ¹	m ɯ ¹
tʰ r æ ⁴	tʰ r æ ⁴
ts j j æ n ¹	tɕ æ ŋ ¹
qʰ w a ⁴	qʰ w a ⁴
ŋ ɔ e ¹	p r e n ¹
t ɯ ⁴	tʲ ɯ ⁵
m ɛ ³	m i ¹
ŋ o ¹ ²	d r ɯ ²
ŋ o ³	ŋ ɔ ³
s j e n ¹	s j e n ¹
sʰ w a ¹	sʰ w a ŋ ¹
x ɯ ⁴	χ ɯ ⁴
q ɛ ¹	q ɛ ¹
qʰ w æ ¹	qʰ w æ ¹
sʰ o ⁴	sʰ o ⁴
n j o ²	n j o ŋ ²
q w a ⁴	ɣ w a ⁴
ts r u ŋ ¹	ts u ŋ ¹
m ɯ ŋ ⁴	m ɯ ⁴
ŋ o ŋ ²	ŋ u ²
p ɯ ²	p ɯ ²
ʈ r ɯ ²	ʈ ɯ ²
x ɯ ⁴	χ ɯ ⁴
b o ⁴	b j o ⁴
j o ⁴	j ɔ ⁵
j e n ¹	j e n ¹
q a ŋ ¹	q a ŋ ¹
b e ¹	b e ¹
ɣ u ²	ɣ ɯ ²
ʈ r o ŋ ¹	ʈ o ŋ ¹
ŋ o ¹	ŋ o ¹
m æ ¹	m æ ¹
ʈ s o ²	ts r ɔ ²
ɣ ²	ɯ̃ ²
sʰ w a ⁴	sʰ w a ⁴
tsʰ o ³	tsʰ u ³
ɣ u ⁴ ¹	ɕ w i ²
ɣ ɯ ³	d ɯ ⁵
j ɯ ¹	j ɯ ¹
n u ŋ ¹	ts u ŋ ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
ŋ w e ²	ŋ w e n ²
sʰ ɛ ⁴	sʰ ɛ ⁴
ŋ ¹ ŋ ¹	z r o ŋ ¹
b o ŋ ²	b o ŋ ²
sʰ a ⁴	s a ⁴
b j o ⁴	b j o ⁴
q ɯ ²	ɣ ɯ̃ ²
ɣ j e ¹	m j i ¹
t w e n ¹	t w e n ¹
ɣ ɔ ¹	z ɔ ¹
ɣ æ ¹	ɣ æ ¹
ts j e n ³	ts j e n ⁵
ʈ w æ n ²	ʈ w æ n ²
tsʰ j u ¹	tsʰ j i ⁴
qʰ o ²	qʰ u ²
ŋ w a ⁴	ŋ w a ⁴
ʁ a ŋ ¹	ʁ a ŋ ¹
h a ⁵	h ɔ ³
p j ɛ ³	pʰ j ɛ ³
dʑ r ɯ ³	d r ɯ ³
j a ⁴	j a ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
b e ¹	b e ¹
m æ ŋ ¹	m æ ¹
pʰ æ ¹	pʰ æ ¹
tsʰ j j a ⁴ ¹	tsʲʰ e n ¹
j ɯ ⁴	j ɯ ⁴
x w a ⁴	h w a ⁴
dʑ r ɯ ³	d r ɯ ³
sʰ r ɯ ²	sʰ r ɯ ²
ts u ²	ts u ŋ ²
