t a ³	t a̠ ³
d e ²	dʒ e ¹
b j j ɛ̠ ³	b j a̠ ³
m i ¹	ˀm i ¹
m u ¹	m e̠ ³
ɣ a ŋ ¹	ʒ o̠ ¹
m a ²	m a ²
tʃʰ u ³	tsʰ y̠ ¹
kʰ y ¹	kʰ j y ¹
ɣ u ³	k j i ³
m ɛ ²	m ɛ ²
l i ²	ˀl i ²
a ¹	a ²
s o̠ ³	k o̠ ¹
l e̠ ³	l e̠ ³
ts ɛ ¹	tʃ ɛ̠ ³
n i̠ ³	n i̠ ¹
ɣ u ¹	ʒ a ŋ ¹
l a ²	l a ²
k a̠ ¹	ts ɛ ¹
l a ²	l a ²
ɣ a ³	ɲ a ¹
a ¹	a ¹
kʰ i ³	x ɨ̠ ³
x i ¹	x ɨ ¹
ɣ e̠ ¹	x i ¹
pʰ i ²	pʰ e ²
g j a̠ ¹	g ɛ̠ ¹
m o ¹	m o ¹
ɣ u ³	tʰ y ¹
kʰ a ¹	kʰ a ¹
g u ²	g o ²
v ɛ̠ ³	v ɛ̠ ³
k e̠ ³	k e̠ ³
g j y ¹	g y ¹
ʃ o ²	s i ³
tsʰ u ¹	tsʰ u ¹
kʰ a ³	kʰ a ³
ɣ e̠ ²	p a̠ ³
l y ³	ˀl y ³
n o̠ ³	ˀn i ³
a ¹	a ¹
ts e ¹	ts e ¹
t u ¹	t u ¹
a ²	a ¹
b j j a ²	b j a ²
t ɛ̠ ¹	t e̠ ¹
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
d u ¹	d u ¹
ˀm ɛ ¹	ˀm ɛ ¹
ɣ a ŋ ³	k a ŋ ²
n u ³	n u ²
ɣ ɛ ¹	b ɛ̠ ¹
ɣ a ³	ɣ a ³
k y ³	ts y ³
ɣ e ³	dz i ²
d ɛ ²	d e ²
ˀn a ²	ˀn a ²
m ɨ ²	m ɨ ²
b e̠ ¹	b e̠ ¹
v a ³	b ɛ ¹
k a ¹	tʃ a ŋ ¹
dz a ²	dz a ²
tʃʰ o̠ ³	t o̠ ³
b ɛ̠ ¹	b e̠ ¹
s ɨ ¹	s i̠ ¹
kʰ ɨ̠ ²	kʰ ɨ̠ ¹
n i ²	n i ²
t i ²	t i ²
ʃ a ²	ʃ ɨ̠ ³
ɣ a ²	z a ²
ʃ i ²	ʃ ɨ ²
tʃʰ ɿ ²	tʃʰ ɨ ²
ˀn ²	n u ²
m o̠ ³	m o̠ ³
v a ³	v a ³
pʰ i ²	pʰ y ²
x a̠ ³	x a̠ ³
z a ²	z a ²
b a ²	b a ²
ʃ u ¹	h u ¹
p a̠ ³	p a̠ ³
tʃʰ i ³	tʃʰ i̠ ³
ŋ o ŋ ²	ˀn y ¹
s e̠ ³	s e̠ ³
dz a ²	dz a ²
l a ŋ ²	l a ŋ ²
l i ³	ˀl u̠ ¹
s ɛ ²	s ɛ ²
ˀl y ¹	ˀl y ¹
tsʰ y ¹	tsʰ y ¹
b j ɛ̠ ³	b e̠ ³
ɣ u ¹	s e ³
a ¹	a ¹
tʰ a ²	tʰ a ŋ ²
g o̠ ³	g o̠ ¹
ɣ u ¹	ʒ u ¹
pʰ a ¹	pʰ j a ¹
b y ²	b y ²
m a ³	m a ³
v u ²	v a ŋ ²
ɣ ²	n i ²
n u ¹	n a ¹
ˀn j a̠ ²	ɲ a ²
s i̠ ¹	s i̠ ¹
p a̠ ³	p a̠ ³
z a ²	z a ²
ˀm e̠ ¹	ˀm j e̠ ¹
pʰ u ¹	m o ²
n i̠ ¹	n i̠ ¹
tʰ a ²	tʰ a ²
k a ŋ ¹	k a̠ ³
m a ²	m e ²
tʰ a ²	tʰ a ²
b o ²	b e ²
p a̠ ³	p a̠ ³
ˀl a ¹	ˀl u ¹
ɣ ²	n̩ ²
b j o̠ ¹	b o̠ ¹
a ¹	a ¹
h e̠ ¹	h e ¹
d a ²	d a ²
s a ¹	s a ¹
dʒ i ¹	dʒ i ¹
ts a ³	ts a ³
n e ²	n i ²
k a ²	k a ŋ ²
ˀl u ¹	ˀl u ¹
k u ²	tʃ u ²
n a ²	n a ²
ɲ i̠ ¹	ˀn i̠ ¹
g a ²	g ɨ ¹
ts e ¹	tʃ ɛ ¹
l i ²	ˀl i ²
s i ³	s i ³
ˀn o̠ ¹	ˀn u̠ ³
ɣ i ¹	ɣ ɨ ¹
z a ²	z a ²
g u ²	g ɨ ²
l a ŋ ²	l o̠ ³
n i ³	ˀn i ³
m a ²	m a ²
x a ¹	x a ¹
b y̠ ²	p y̠ ¹
ˀn o ¹	ˀŋ y ¹
ɣ i ³	ɣ i ¹
pʰ ɛ̠ ¹	pʰ e̠ ¹
ts e ²	ts e ²
m j a ŋ ¹	m j a ŋ ¹
d u ¹	tʃʰ e̠ ¹
kʰ i ¹	kʰ i ¹
dz y ¹	dz y ¹
t i ³	tʰ u ³
s i̠ ³	s i̠ ³
a ³	e̠ ¹
x i ²	x ɨ ²
ɣ ɛ̠ ³	s e̠ ³
ˀl u ¹	ˀl o̠ ¹
d a ŋ ¹	d a ŋ ¹
ɣ i ¹	ɣ i ¹
z e̠ ²	dz i ²
ˀn y ¹	ˀn y ¹
ɣ u ²	k a ŋ ²
ʃ ɿ ²	ʃ ɨ ²
x u ³	ˀx o̠ ¹
ɣ u ²	ʒ i̠ ³
tʰ a ²	tʰ a ŋ ²
ˀl y ³	ˀl y ³
tsʰ a ¹	tsʰ a ¹
s a ²	s a ²
k a ¹	ŋ a ¹
k i ¹	ɣ a ŋ ¹
ˀn a ²	n a ²
ɣ a ¹	g j a ¹
v ¹	v u ¹
n i ³	ˀn i ³
ʃ y ¹	s y ¹
ts ɨ ¹	ts u ¹
a ¹	a ¹
tʃʰ u ²	tʃʰ u ²
d u ³	d u ¹
tʃʰ e ¹	t j ɛ ³³
ɣ i ¹	ɣ ɨ ¹
n a ¹	n a ¹
ts a ¹	tʃ u ¹
v a ³	v a ³
ɣ a ²	z a ²
d ɛ ³	t a ³
ɣ i ¹	ɣ i ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ˀl a ²	ˀl u ²
ʃ y ¹	s y ¹
b e ¹	p e ¹
t u ¹	t u ¹
tʰ a ²	dʒ ɛ ²
ɣ i ³	h a ¹
ɣ e ¹	dz i̠ ¹
a ²	a ²
m j o̠ ¹	m o̠ ¹
ts o̠ ³	ts o̠ ¹
b a ²	b a ²
n u ²	n u ²
m a ³	m a ³
tʰ ɛ ¹	tʰ e̠ ¹
b o ³	p ɨ̠ ¹
n i ²	n i ²
a ²	a ²
ɣ ɨ ¹	ɣ ɨ ¹
g i ¹	x i ³
l u ³	l e̠ ³
kʰ i ²	kʰ i ²
a ¹	a ¹
a ²	a ¹
pʰ a ¹	ˀv a ¹
v ¹	v u ¹
ts a̠ ³	tʃ a̠ ³
kʰ i ²	kʰ ɨ ²
pʰ u ²	pʰ u ²
k a ³	k a̠ ³
ʃ ²	m̩ ²
k ɛ ¹	k j ɛ ¹
ˀl a ²	ˀl a ²
l i ³	ˀl i̠ ³
d u ¹	d a ŋ ¹
pʰ u ²	pʰ u ²
kʰ i ²	kʰ a ŋ ²
ʃ j y ¹	s y ¹
pʰ e ³	p e̠ ³
b a ²	b j a ²
a ¹	a ¹
p j a ¹	p a ¹
b y ³	b u̠ ¹
kʰ i ¹	kʰ i ¹
ts a ³	tʃ a̠ ³
pʰ i ²	pʰ i ²
pʰ ɨ ¹	pʰ ɨ ¹
ɣ a ³	ʃ a̠ ³
tsʰ i ²	tʃʰ i ²
ɣ ²	m u ²
x ɛ̠ ¹	z ɛ ¹
pʰ i ²	p i ²
p a̠ ²	b ɨ ²
m ɛ̠ ²	m ɛ ²
s a ¹	s a ¹
g j a ³	g a ³
k a ¹	ŋ a ¹
v e̠ ³	v e̠ ³
tʰ a ²	tʰ a ²
s ɛ ²	s ɛ ²
n e̠ ¹	ŋ j a̠ ¹
d y ²	z y ²
ʃ u ²	ʃ u ²
pʰ j u ²	pʰ a ¹
ɣ ŋ a ³	m i ¹
z i ²	z i ²
k a ŋ ²	k a ŋ ²
ˀm j y̠ ²	ˀm y ²
ŋ a ŋ ³	n i̠ ³
g i ¹	g ɨ ¹
tʃʰ i ¹	tʃʰ i̠ ³
n ɛ̠ ¹	n ɛ̠
k a ³	k a ¹
tʃʰ e ¹	d e ¹
tsʰ u ¹	tsʰ u ¹
k e ²	dz e ²
g i ¹	tsʰ i̠ ³
kʰ o̠ ³	kʰ o̠ ³
b o ²	pʰ u ¹
l ɛ̠ ³	l ɛ̠ ³
dz a ¹	tʰ a ²
a ¹	a ¹
dz ɨ ²	dz i ²
pʰ u ¹	pʰ u ¹
ɣ ɨ̠ ³	ɣ i̠ ³
dʒ ɛ ¹	dʒ ɛ ¹
l u ³	l u̠ ¹
dz ɨ ³	ts i ³
ɣ i ³	ɣ y ¹
tsʰ u ³	tsʰ e̠ ¹
kʰ i ¹	kʰ i ¹
dz a ¹	k a ²
dʒ i ³	dʒ i ³
m i ¹	m i ¹
ɣ a ³	t a ³
ts a ³	tʃ a ³
n ɛ̠ ¹	n ɛ ³
p o ¹	p y ¹
m e̠ ³	ˀm e̠ ³
t o̠ ¹	t o̠ ³
m a ³	m o ²
n a ¹	ˀn a ¹
b j ɛ ²	b ɛ ²
n j a ¹	ŋ j a̠ ¹
m u ³	ˀm u ¹
a ²	a ²
kʰ a̠ ¹	kʰ a̠ ¹
pʰ e ²	pʰ ɛ ³
l u ²	l y ²
g a ¹	g a ¹
dz a ¹	dz a ¹
a ¹	a ¹
k i ¹	k i ¹
g a ²	g a ²
ˀl a ²	ˀl a ²
m ɛ ²	m ɛ ²
l o̠ ³	ˀl o̠ ³
g a ³	g a ³
m a ŋ ³	m a ŋ ³
tsʰ o̠ ³	tsʰ o̠ ¹
tʰ u ²	d u ¹
h a ²	h a ¹
kʰ ɨ ²	kʰ a ²
t e̠ ¹	kʰ o̠ ¹
a ¹	a ¹
dʒ ɛ ²	dʒ ɛ ²
s e̠ ³	s e̠ ³
kʰ o ²	kʰ o ²
d y̠ ³	t ɛ ¹
d u ¹	d u ¹
i ¹	ɨ̠ ¹
ʃ a̠ ³	ʃ a̠ ³
l o̠ ¹	l u̠ ¹
p ɨ ²	p ɨ ²
n i ³	ˀn i ³
pʰ a ¹	ˀv a ¹
j a ŋ ³	j a ŋ ²
kʰ o̠ ³	kʰ o̠ ³
pʰ a ¹	pʰ j a ¹
s ɛ ²	s ɛ ²
ˀl a ŋ ³	ˀl a ŋ ³
l u ¹	l u ¹
k i ¹	k ɨ ¹
m a ³	m a ³
kʰ i ¹	kʰ i ¹
m ɛ̠ ²	m ɛ ²
g j a ²	g j a ²
n o̠ ³	ˀn i ³
d u ³	ts a ŋ ³
z e̠ ³	z e̠ ³
l u ³	l e̠ ³
h e ¹	h e ¹
k j u ²	ts u ²
d a ²	d a ²
g o̠ ³	g j o̠ ¹
d a ²	t u ¹
x ɨ̠ ³	x ɨ̠ ³
ɣ o̠ ²	kʰ o ²
d a ¹	d a ¹
ɣ i ¹	ɣ i ¹
d e ¹	d e ¹
n i̠ ³	ˀn e̠ ³
ts a̠ ³	ʒ i̠ ³
k u ²	k j ɛ ²
tʃʰ ɨ ¹	tsʰ i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
k j a ŋ ¹	ˀŋ j a̠ ¹
s e ²	s e ²
tsʰ e̠ ¹	tsʰ e̠ ³
z i ²	z i ²
n y̠ ³	ˀn y̠ ³
tʃʰ e ¹	tʃʰ e ¹
l a ²	l a ²
ɣ e̠ ¹	ɣ e̠ ¹
m e ²	m a ³
k u ²	k u ²
a ¹	a ¹
b a̠ ³	b o̠ ¹
ʃ a ¹	x a ¹
ˀm j e̠ ¹	ˀm j e̠ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
z a ²	z a ²
m i ²	m a ŋ ²
k a ¹	ŋ a ¹
kʰ u ¹	kʰ u ¹
ɣ i ¹	ɣ ɛ ¹
pʰ a ²	pʰ a ²
m a ³	m a ³³
x a ²	x a ²
h ɛ̠ ¹	h ɛ̠ ¹
l u ²	ˀl i̠ ³
b ɛ̠ ¹	t ɛ ¹
a ²	a ²
kʰ u ³	kʰ a ŋ ²
b j a ³	b a ³
a ¹	a ¹
p j ɨ ²	p j ɨ ²
a ²	a ²
a ¹	a ¹
x a ³	ˀx a ³
ɣ i ²	ɣ ɨ ²
ɲ i ¹	ɲ a ²
ˀn o ²	ˀɲ y ²
d e ²	dz i ³
ɣ e̠ ³	ʒ e̠ ³
g u ³	g u ³
n y ¹	n y ¹
k a ²	ŋ a ²
g u ²	g o̠ ³
l y ²	l y ²
n ɛ̠ ³	ˀn ɛ̠ ³
n a ²	ˀn a ²
d a ŋ ¹	t a ŋ ³
dz a ŋ ¹	dz a ŋ ¹
ʃ o̠ ¹	ʃ o̠ ¹
a ¹	a ¹
d e̠ ¹	d i ¹
a ŋ ¹	a ¹
d i ³	d i ³
dz ɛ ²	dz ɛ ²
ɣ e ¹	dz i ²
b u ²	p u ²
ts e ¹	ts i ¹
kʰ ɨ̠ ²	kʰ ɨ ²
tsʰ o̠ ¹	tʃʰ o̠ ¹
g j i ²	g u ²
pʰ i ²	pʰ o ²
n o̠ ³	ˀn u̠ ³
k ɛ ¹	k ɛ ¹
n a ¹	n a ¹
ˀm j ɛ ¹	ˀm ɛ ¹
l a ²	l a ²
ʃ ²	m u ²
a ³	a ²
dz e ¹	dz e ¹
b u ²	b o ²
l a ²	l a ²
k u ²	k j ɛ ²
ʃ ²	m̩ ²
n e ³	n e ³
v e̠ ³	v e ³
kʰ a ³	kʰ a ³
h a ŋ ²	h a ŋ ²
ɣ a ŋ ¹	ʒ o̠ ¹
m o ²	m o ²
z e ³	z i̠ ³
ʃ ɛ ²	s u ¹
m j a ²	m j y ²
n u ¹	n u̠ ¹
v i̠ ³	v i̠ ³
ts i ¹	tʃ ɨ̠ ¹
tsʰ o̠ ³	tsʰ o̠ ¹
kʰ y ¹	kʰ o̠ ¹
ˀn a ³	ŋ a ¹
a ³	a ¹
tʰ u ¹	tʰ u ¹
kʰ a ³	kʰ j o ³
ˀn i ³	ˀn i ³
ʃ ɨ ¹	ɣ i ¹
b y ³	b y ³
ʃ u ¹	s u ¹
d e̠ ¹	d e̠ ¹
pʰ ɛ ²	pʰ ɛ ²
l a ²	l a ²
l e̠ ¹	l e̠ ³
l ɛ̠ ³	l e̠ ³
n a ²	ˀn a ²
ɣ a ³	z a ²
s e ¹	s e ¹
s i ¹	s i̠ ¹
ʃ a ¹	ʃ a ¹
l e̠ ³	l e̠ ³
ts e ¹	ts e ¹
d y ²	d y ²
ʃ ɛ ²	ɣ u ²
a ²	a ²
ɣ i ¹	ɣ ɨ ¹
l y ¹	l y ¹
k a ³	tʃ ɛ̠ ³
t a ŋ ¹	t a ŋ ¹
ts y ²	ts e ²
t o̠ ³	t o̠ ³
ts u ³	ts i̠ ³
ts u ¹	tʃ ɛ ¹
p ɨ ²	p j ɨ ²
tsʰ e ¹	tsʰ e ¹
b i ³	b o ³
s i ¹	s e ¹
kʰ i ³	kʰ ɨ ³
ˀm j i ¹	ˀm j e̠ ¹
ts a ³	ts a ³
kʰ y ¹	kʰ y ¹
k i ¹	tʃ u ¹
z a ²	z a ²
m u ²	m u ²
a ²	a ²
k a ³	tʃ a ³
ɣ a ³	ˀx a ¹
s a ¹	s a ¹
ɲ i ¹	ˀn i ¹
t o̠ ³	ʒ o̠ ³
h e ¹	h e ¹
m j e̠ ²	m ɨ ²
tsʰ a ¹	tsʰ a ¹
z a ²	z a ²
b o ²	b o ²
tsʰ ɿ ²	tsʰ i ²
kʰ u ¹	kʰ u ¹
ʃ a ¹	ʃ a ¹
e̠ ²	i ²
a ¹	a ¹
m j o ²	m o ²
h e̠ ³	h e̠ ³
m i ¹	m e ¹
h e ¹	h e ¹
ʃ ɛ ¹	ʃ ɛ ¹
l a ²	l a ²
tsʰ e ¹	k i ¹
m j a ²	m j a ²
v u ²	v i ²
b ɨ ¹	b ɨ̠ ¹
ɣ i ¹	ɣ i ¹
d a ¹	h ɛ̠ ¹
n y ¹	n y ¹
i ²	ɨ̠ ³
ˀn a ³	ɲ a̠ ³
l a ¹	l a ¹
n ɛ̠ ¹	ˀn e̠ ¹
a ¹	a ¹
l y ¹	l y ¹
v e ¹	v e ¹
kʰ u ²	kʰ u ²
ˀm e̠ ¹	ˀm j e̠ ¹
m a ²	ˀm u ¹
g i ²	g u ²
ʃ e ¹	x e ¹
kʰ u ²	kʰ o ²
u ³	e̠ ¹
tʃʰ y ¹	tsʰ y ¹
ˀn i ²	ŋ i ²
ˀv e̠ ¹	ˀv e̠ ¹
m ɛ ²	m ɛ ²
h ɣ a ³	h e̠ ³
a ¹	a ¹
h a ¹	h a ¹
m e̠ ¹	m u ¹
m a ³	m a ³
pʰ u ³	pʰ i̠ ³
ˀn u ²	n a ²
ʃ i ¹	ʃ i ¹
n i̠ ¹	n i̠ ¹
h a ¹	h a ¹
n ɛ̠ ³	n e̠ ³
g j i ²	g i ¹
l a ³	l a ¹
ts a ¹	ts a ¹
kʰ ɛ ¹	kʰ ɛ ¹
a ¹	a ¹
t u ¹	d a ²
ɣ i ¹	ɣ i ¹
ɣ ɛ ³	t e̠ ³
n i ³	ˀn i ³
ɣ o̠ ³	ʒ o̠ ³
g u ³	g o ŋ ³
t e̠ ¹	t i̠ ¹
tʰ y ²	tʰ y ²
ˀn i ¹	ˀn i ¹
dz y ¹	dz y ¹
d ɨ ³	z i ³
d i ¹	d i ¹
ɲ a̠ ¹	ɲ e ¹
t o̠ ³	t o̠ ³
t a ²	t a ²
dz i ¹	dz i ¹
m y ¹	m y ¹
ʃ ɿ ²	ʃ ɨ ²
b y ¹	b y ¹
k o̠ ¹	k a ŋ ¹
ɣ y ¹	b e ³
ˀm o ²	m o ²
b j a ²	b a ²
b a ³	b a ŋ ³
d y ¹	tsʰ a m ¹
ʃ ɛ ¹	ʃ ɛ ¹
ɣ i ¹	ɣ i ¹
l a̠ ³	l a ³
d e ²	d i ²
k a̠ ³	k a̠ ³
kʰ a ŋ ²	kʰ a ²
n ɛ ²	n ɛ ²
k i ¹	k i ¹
ɣ ɛ ²	ɣ ɛ ²
l o ²	ˀl i ²
d a ¹	d a ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
ɣ o ¹	g a ¹
pʰ e ²	pʰ e ²
a ¹	a ¹
pʰ i ²	pʰ ɨ ²
s i ¹	ʒ a ¹
ˀm j i ³	ˀm i ³
ɣ o̠ ³	ʒ o̠ ³
b ɨ ³	b ɨ ¹
kʰ i ¹	x e ¹
a ¹	a ¹
g a ³	g j a ³
h ɛ̠ ¹	h ɛ̠ ¹
ˀm j e̠ ³	ˀm j e̠ ¹
b i ¹	b i ¹
t e ²	t e ²
tʃʰ e ¹	tʃʰ e ¹
tʰ y ¹	tʰ y ¹
ɣ ɛ ¹	ɣ ɛ ¹
kʰ u ¹	kʰ u ¹
ˀn u ¹	ŋ w a ¹
x u ¹	k u ¹
t i ²	t i ²
m a ³	m a ³
b ɛ̠ ³	b j ɛ̠ ¹
m a ²	m ɛ ²
b j e̠ ³	b e̠ ³
ʃ a ¹	ʃ a ³
l ɛ̠ ³	l e̠ ³
l e̠ ³	l e̠ ³
s a ²	s a ²
d a ŋ ¹	dz ɿ ³
s a ³	g a̠ ³
b a ²	b o ³
t e ³	t i̠ ³
p a ¹	p e ¹
pʰ ɛ ³	f ɛ ³
ɣ a ²	ɣ a ŋ ²
k a ŋ ²	k a ²
tsʰ e̠ ¹	tsʰ e̠ ¹
n i̠ ³	n e̠ ³
ts i ¹	tʃ i̠ ¹
tʰ y ³	tʰ y ³
b y ¹	b y ¹
ɣ i ³	ɣ i ¹
m u ³	m ɛ ³
m i ¹	m i ¹
p a ¹	p a ¹
m u ³	m u ³
b j y ²	b y ²
k u ¹	k u ²
d i ¹	t i ¹
l a ²	l a ²
p j a ŋ ¹	p a ŋ ¹
ɛ ²	ɛ ²
d e ¹	d i ¹
m a ³	m a ³
d e ³	d e ³
h i ²	h ɛ ²
j a ²	m a ²
tsʰ y ¹	tsʰ y ¹
m a ³	m a ³
v e̠ ³	v e̠ ³
t a̠ ³	t a̠ ³
p ɛ̠ ¹	p u ¹
ˀm j ɛ ²	ˀm ɛ ²
n i ²	n i ²
a ¹	a ¹
t u ²	t u ²
tʰ a ŋ ²	tʰ o ²
ts i ¹	tʃ ɨ̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
m a ³	m a ³
h u ³	h y̠ ³
b o ²	b o ²
v e̠ ¹	v e̠ ³
ʃ i ¹	ʃ i̠ ¹
s ɛ̠ ¹	s ɛ ²
tʰ i ³	tʰ u ³
dz ɨ ¹	dz i ¹
ɣ a̠ ²	k a ŋ ²
k e ¹	k a ¹
d e̠ ¹	d e̠ ¹
tsʰ y̠ ³	tsʰ y̠ ³
tsʰ e ¹	tsʰ e ¹
s a ¹	s e ¹
tʰ y ¹	tʰ y ¹
kʰ u ³	g a ³
a ¹	a ¹
s y ²	s y ²
pʰ e ³	pʰ e̠ ³
tʃ u ³	ts e̠ ³
d e ²	dʒ ɛ ²
tʰ a ³	tʰ a ³
s i ²	tsʰ i ²
m a ³	m a ³
kʰ o ¹	kʰ o ¹
tʃʰ e ¹	tʃʰ e̠ ¹
dz e ¹	dz e ¹
ʃ i ³	ʃ i̠ ¹
g o̠ ³	g o ŋ ¹
d e̠ ³	tʃ e̠ ³
d i ¹	d i ¹
m a ³	m a ²
kʰ a ²	kʰ a ²
dz ɿ ²	dʒ i ²
m e ²	m ɨ ²
ɣ e ¹	ɣ u ²
ʃ ɛ ¹	ʃ ɛ ¹
d e ²	dz e ²
g i ¹	g j o ¹
p a̠ ³	p a̠ ³
ɣ a ¹	b j y ¹
a ²	a ²
n i ²	n u ²
ɣ a ²	ɣ a ŋ ²
n y ¹	n y ¹
a ¹	a ¹
ɣ u ¹	b y̠ ³
k u ²	k j o ²
s i̠ j ¹	s i̠ ¹
ɣ e ²	dz i ²
ʃ i ³	ʃ i̠ ¹
d e ¹	d e̠ ¹
e ²	e ²
tʰ a ²	tʰ a ²
dz y ²	dz y ²
b i ¹	b o ¹
s i̠ ¹	s i̠ ¹
l a ³	l a ³
b j ɛ ¹	b ɛ ¹
a ¹	a ¹
ɣ ɛ ²	g ɛ ²
a ¹	a ¹
l a ŋ ¹	l a ŋ ¹
n i ²	n̩ ²
ɣ ɛ ²	s ɛ ²
ʃ u ³	s i̠ ¹
d u ²	d u ²
tʰ y ³	tʰ e̠ ³
pʰ e ¹	pʰ e ¹
t ɛ̠ ³	t a ³
dʒ a ŋ ¹	dʒ a ŋ ¹
v i̠ ³	ˀv i̠ ³
dʒ a ¹	dʒ e̠ ¹
m u ²	m j u ²
tsʰ i ²	tsʰ i ²
t a ²	d a ²
a ²	a ²
ts ɛ ³	ts ɛ̠ ³
k u ¹	k a ²
tsʰ ɿ ¹	tʃʰ ɨ ¹
s u ²	kʰ y ¹
k ɛ ³	k u ²
l a ¹	l a ¹
d i ²	d i ²
ɣ a ¹	tʃ a ¹
d u ³	d u ¹
l ɛ̠ ³	l e̠ ¹
k i ³	ɣ o ²
kʰ ɛ ²	kʰ ɛ ²
s i̠ ¹	s i̠ ¹
ɣ a ¹	g a ¹
a ¹	a ¹
k e̠ ¹	k j o ¹
a ¹	a ¹
pʰ y ¹	pʰ e̠ ¹
ɣ i ³	ɣ ɨ ³
m u ²	m o̠ ³
g y̠ ²	g j ɛ ²
