b ʃ t	b w θ
ʔ a r	ʔ r
ɣ a z j l	ɣ z aː l
ħ i l	ħ i l
ʕ i ð qˤ t	ʕ i d qˤ
ɣ tˤ	ɣ tˤ w
ʔ a m m t	ʔ a m m a t
ʕ b b	ɣ a
ɬ m x	ɬ m x
ʃ r	ɬ r p
ɬ j m	ɬ j m
b r sˤ	b r sˤ
r ʔ m	r ʔ m
b l j	b l j
l i b b	l i b b
ʕ a m m	ʕ a m m
sˤ b ɣ	sˤ b ɣ
m m x	ʃ m aː x
ʔ a t i n	ʔ a n t i n a
p x r	p x r
m w	z m r
h a l a l	h l l
m l i ʔ	m l ʔ
b l tˤ	b l tˤ
ʃ p l	ʃ a p uː
r b ɬˤ	r b ɬˤ
p iː l	p iː l
b l l	b l l
ʔ i ʃ k	ʔ i
ʔ a j j a l	ʔ a j j a l
t i b n	t i b n
tˤ a j r	tˤ a j r
l l	p l l
l w θ	l w ʃ
h w j	h w j
r ɣ t	r u ɣ w a t
ʔ r k	ʔ r k
p a r θ a	p r ɣ θ
g j	g a w i ʔ
ɬ a p a t	ɬ a p a t
d u m	d m m
g i ʃ ɬ	g i ɬ ɬ
ʃ i n a	ʃ i n a
ɣ u r l a	ɣ u r l
p i ʔ a t	p i ʔ a t
k m a	k m a
k i n	k m
r ħ	r aː ħ a t
ħ m ɬˤ	ħ m ɬˤ
k l	k l ʔ
n ʃ b	n ʃ b
x r ɬˤ	x a r uː sˤ
z qˤ p	z qˤ p
b a j t	b a j t
ʔ i ʃ	ʔ i ʃ
ʔ i b r j	ʔ i b r a t
ʃ w a	ʃ u
ɬ m	ɬ m
d	j a d
ʕ a qˤ i b	ʕ a qˤ i b
p ʃ	p ʃ w
p qˤ	p w qˤ
b ħ r	b ħ r
ʔ a b n	ʔ a b n
sˤ ʕ n	θˤ ʕ n
h m	h m
l a b ʔ	l a b ʔ
ʔ b b i l	ʔ b b l
p a qˤ qˤ ʕ	p qˤ ʕ
b a r qˤ	b a r a qˤ
tˤ ʕ m	tˤ ʕ m
ʃ	ʃ u
ʃ a m n	ʃ a m n
r	h r j
p a x	p t x
ʔ m θ	m θ l
ħ a tˤ m	ħ m m
b k j	b k j
p ʕ m	p a ʕ m
l ɣ	l a θ a ɣ
ɬ ħ m	ɬ a ħ m
z r	z w r
qˤ p	qˤ a p j
ɣ l p	ɣ l p
ʔ j	ʔ iː
b r r	b r r
w a w	r a ʔ
n qˤ	j n qˤ
ʔ k l	ʔ k l
qˤ i b a	qˤ b a t
l d	l a ʃ d
ʔ n ħ n	n i ħ n u
n k	n θ k
d aː r	d a w r
k b s	k b s
ʔ i l	ʔ i l
ʔ a l	ʔ a l p
ʔ j t i	ʔ a n t i
ʃ a j l iː t	ʃ i l j a t
ʃ b	s b ʔ
ʃ i θ t	ʃ i d θ
ʔ z r	ʔ a z
g	g ɬ ʕ
ð ʕ t	ð ʕ a t
ʕ n qˤ	ʕ n qˤ
m ʔ a d	m ʔ d
ʔ i b	ʔ w j
r ħ m	r ħ m
ʔ a r	ʔ a r ɬˤ
ʃ i m	ʃ m
qˤ l	qˤ a l b
d qˤ qˤ	d qˤ qˤ
d r r	d r d r
b r	b k r
ʃ m ʕ	ʃ m ʕ
ʃ l	ʃ l k
z n	ð n m
d i b ʃ	d i b ʃ
p l ħ	p l ħ
n θˤ r	n θˤ r
d a a	d a θ ʔ
w θ b	w θ b
l ʔ m	l ʔ m
ð k r	ð k r
ħ l sˤ	ħ l sˤ
qˤ tˤ p a	qˤ tˤ p
θ r m	ɬ r m
g b ʃ	g b ʃ
ɣ r	θ ɣ r
tˤ iː	tˤ iː n
ʕ m d	ʕ m d
ħ r ð n	ħ r d
	qˤ d m
g r d	g r d
k s	k s p
k l j t	k l j a t
x r p	x r p
b k	b i k a j
p tˤ r	p tˤ r
ħ l	ħ a
s n	θ n
j a m iː n	j a m n
	ɬₓ m a t
b x r	b x r
k s	k s
ð a	ð
ʃ l qˤ	ʃ l qˤ
ʕ i ɬˤ	ʕ i ɬˤ
ʔ a l a n	ʔ a l l
k i l a j	k i l ʔ
g u l ɬₓ	g l p a t
k r	k a
ʔ k l	ʔ θ k aː l
θˤ m ʔ	θˤ m ʔ
k b r	k b r
n	n
ʔ x x i r	ʔ x r
qˤ ʕ	qˤ aː ʕ
i ʃ w	p ʃ r
ɬ i ʕ r	ɬ a ʕ r
w r d	w r d
l x m	l x m
ɣ d r	ɣ d r
x a r p	x r p
k a j l a t	k a l l a t
l l ʔ	l a ʔ l a ʔ
aː l	ʃ l
ð k j	ð k j
ʔ u m m	ʔ i m m
ʕ θˤ p	ʕ ɬˤ p
m a ʃ k	m a ʃ k
sˤ l l	sˤ l
g m m m	g a m g a m
b tˤ l	b tˤ l
m s j	m θˤ ʔ
s a r b	θ a r b
ɬˤ a b ʕ	ɬˤ b ʕ
p a r ʕ	p a r ʕ
i m r	ð m r
ʔ a t aː n	ʔ a t aː n
k r b	k r b
p l	p l
x a r ʃ	x r ʃ
ɣ p r	ɣ a p a r
n i s	n sˤ r
ʔ b h a n	b h n
w	t a m a r
d ʃ	d ʃ m
ʕ r b	ʕ a
ʔ a j i	ʔ a j j
ʃ d	ɬ a d a w
g a r a b	g a r a b
r b	r b j
ħ ð w	ħ ð j
ʃ	ʃ p p
b a ʕ l t	b ʕ l
z i b l	z i b l
p t l	p t l
ʃ a r iː d	w a r iː d
b ħ	b tˤ ħ
s b	ʕ s b
t ʔ l i	t a w l i ʕ a t
ħ b	ħ u b b
m t	m w t
qˤ u r d	qʷˤ r d
n a x l	n a x l
ħ n	ħ a n n
p r ɬˤ	p r ɬˤ
w b i l	w aː b i l
ʃ u	ʃ u m u
n b	n uː b
m d r	ħ m d r
ʔ a j l	ʔ a j l
ʔ a b r	ʔ a
ɬˤ m d	ɬˤ m d
k	k
ħ a m	ħ a m
θ p r	θ a p r
qˤ a r n	qˤ a r n
ʃ r	j ʃ r
k s	k s m
ʔ r m	ɬ r m
θ a r	θ a w r
x j z iː r	x z iː r
l	p l k
p n	p a n
d u r w	d r r
k a b ɬ	k a b ɬ
k a r ɬ	k a r i ɬ
x l	x aː l a t
sˤ b i j	sˤ b w
ʔ a r b ʕ	j a r b ʕ
m a ʔ n a t	m n
ʔ a p a	ʔ a p ʕ a w
b k r	b k r
p d j	p d j
ʔ g	w
p r	p r j
g m g	g uː g
k m	k a m ʔ a t
k i s l	k s l
ʕ a n z	ʕ n z
ɣ r	ɣ aː r
d a w j	d w j
ʃ b l	ʔ b l
b a a	b a θ a n
tˤ aː j b	tˤ j b
n a ɬˤ a	n a
p r r	p r r
qˤ b	qˤ r b
z a n a b	ð a n a b
m r ʔ	m r ʔ
t i h a m a	t i h aː m
ʔ n p	ʔ a n a p a t
d l l	d l l
ʔ m	ʔ t m
m t n	m a t n
ʃ i t	ʃ i t
ɬˤ qˤ	ɬˤ j qˤ
ʃ k r	ʃ k r
ʕ ð	ʕ z
k p l	k a p l
b ɬˤ w	b ɬˤ r
ɬ i j b t	ɬ a j b a t
ɬ j b	ɬ j b
qˤ r b	qˤ r b
sˤ a r sˤ a r	sˤ a r sˤ a r
m qˤ	m qˤ
r d ʔ	r d ʔ
θ a m n a	θ a m aː n i j
ʔ qˤ	d m qˤ
b	b ʔ
ʃ ʕ l	ʃ ʕ l
m n	m iː n
g d d	g d d
l	x l
r m	r m
g n n	g n n
b h qˤ	b h qˤ
x a tˤ m	x u tˤ m
l m	l ħ m
ɬ a h r	ɬ a h r
qˤ p s	qˤ p sˤ
t i n	t i ʔ i n
ʔ n x i r	n x r
z a r z iː r	z a r z iː
l i ʃ aː n	l i ʃ aː n
b r k	b i
n b l	n a b a l
l	l a ʔ a j a t
sˤ r tˤ	ɬˤ r tˤ
r a ʔ ʃ	r a ʔ ʃ
p r ʃ t	p r s
n a h r	n a h r
ʔ a ʃ θ t	ʔ a n θ a t
n i	w z n
m n	m n
ʃ m	w ʃ m
b n	b n j
r b	r u
j d ʕ	w d ʕ
ʕ a r ʕ a r	ʕ a r ʕ a r
p r	p a r ɬˤ
n u n j	ʔ n j
x tˤ tˤ	x tˤ tˤ
qˤ m ɬˤ	qˤ j sˤ
r	ʕ sˤ sˤ uː r
w l	z l
ʔ ɬˤ a ʔ	w ɬ ʔ̣
ħ j	ħ p ɬ
θˤ r r	θˤ r r
z iː ð	z iː z
ʃ l l	ʃ
ħ a r g a l	ħ a r g a l
tˤ r d	tˤ r d
ʕ a ʃ	ʕ θ θ
ʔ r x	ʔ a r x
g m r	g m r
u b	ð
ħ a qˤ l	ħ a qˤ l
d a ʔ j a t	d a ʔ j
ʃ x n	ʃ x n
m ʔ a t	m i ʔ a t
w	ɬˤ a j w
ʔ ʃ l	ʔ a ʃ a l
g r r	g r r
ʕ ʃ t i	ʕ a ʃ t
m t	m u t
θ qˤ l	θ qˤ l
ɬ r ɬ r	ɬ r ɬ uː r
k b	k b w
ɬ b ʕ	ɬ b ʕ
ʕ a t d	ʕ a t uː d
l g	p l g
d a b b	d u b b
ʔ a tˤ a d	ʔ a tˤ a d
ħ d d	ħ d d
b r x	b r ħ
g u r	g u r n
ɣ b tˤ	ɣ b tˤ
n w m	n w m
ʔ m d n	m d iː n
k j i	k
m r	m u h r
qˤ a m ħ	qˤ a m ħ
p ħ l	p a ħ l
s a s	s aː
qˤ tˤ r	qˤ tˤ r
b a r	b r m
m r u ʔ	m a r ʔ
ʔ d h a m	d h m
ʔ a x	ʔ a x
sˤ ħ	sˤ ħ w
r g	p a r g
k a r a	k a r a θ
tˤ i ħ aː l	tˤ i ħ aː l
k a p p	k a p p
j	r d j
qˤ d	w qˤ d
qˤ j	qˤ a j ɬ
x l qˤ	x l qˤ
tˤ ħ n	tˤ ħ n
k a l b	k a l b
k a b d	k a b i d
r a d	r a ʕ d
n a r	n w r
ʔ r b j t	r b j
d a r	d w r
m u ʃ j	m u ʃ j
d d a	d aː d a t
ʕ i g l	ʕ i g w a l
r r	qˤ r r
ð a qˤ a n	ð a qˤ a n
n k k t	n a k a p a t
ħ m θ	ħ a m θ
ʃ l	ɬ a l aː θ
ɣ w	tˤ a ɣ
ɬ b t	ɬₓ b a j
ʔ ʃ d	ʔ i ʃ d
ʕ i ɬ r	ʕ i ɬ r uː
ɬ a p r	ɬ p r
k sˤ d	qˤ sˤ d
p a r r	p a r r
ʕ n qˤ	ʕ n qˤ
t i l l	t l l
ʔ a j p	ʔ a n p
ʃ r j	ʃ r j
w k l	w k l
ħ b tˤ	ħ b tˤ
k m k m m	k m
b j t	b j t
p ɬ s	p s ħ
b i ʔ ʃ	b ʔ ʃ
x j l	x j l
ʔ a r n a b	ʔ a r n a b
g i iː d	g iː d
ð ʔ b	ð i ʔ b
ʔ	g d a t
g r w	g uː r
ʔ a b	ʔ a b
ɬ r p	ɬ r b
m t qˤ	m tˤ qˤ
ʃ i n	ʃ m
r	r qˤ ħ
j a m	j a w m
ʔ n a	x a m
ʕ m qˤ	ʕ m qˤ
t b ʕ	t b ʕ
n ʃ p	n ʃ p
sˤ a r	sˤ r n ʕ a t
ʃ	θ ʕ j
b a r	b i ʔ r
m a n	m a n n
d i m	d i m
r a qˤ qˤ	r a qˤ qˤ
k a n a p	k a n a p
ɣ a r i b	ɣ aː r i b
ʔ s l m	ʃ l m
qˤ a qˤ a d	qˤ d qˤ d
