pʰ ɔ ¹¹	pʰ ə ¹¹
b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
j a ⁵⁵	r j a ⁵⁵
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
ˀb ɛ ⁵⁵	p w ɛ ⁵⁵
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
n̥ e ŋ ¹¹	n̥ e ŋ ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
s ə ə	g ə ⁰
m i ɴ ⁵⁵	ˀm i n ⁵⁵
tʰ a t ⁵⁵	tʰ ɛ ʔ̚ ⁵¹
s ou ¹¹	s ou ¹¹
d ɨ ¹¹	d ə ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
ˀd e ⁵⁵	ˀd e ⁵⁵
cʰ ei ¹¹	cʰ ei ¹¹
l̥ ei ⁵⁵	l ei ⁵⁵
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
n e ⁵⁵	n̥ e ⁵⁵
l̥ i ɴ ¹¹	l i n ¹¹
tʰ o ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
pʰ a ¹¹	pʰ a ¹¹
k ə ⁰	k ə ʔ ⁰
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
j a ¹¹	ɟ a ¹¹
m ɨ ¹¹	m ɨ ¹¹
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
s o ⁵⁵	s o ⁵⁵
b l a ¹¹	b l a ¹¹
m e ¹¹	m e ¹¹
t ə ¹¹	p ɨ ¹¹
k a ɴ ⁵⁵	g a ŋ ⁵⁵
k l ɔ ¹¹	k l ə ŋ ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
ʔ ⁵⁵ a n ⁵⁵	ʔ w a ɴ ⁵⁵
l̥ a ŋ ⁵⁵	l a ŋ ⁵⁵
m u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
kʰ w i t̚ ⁵¹	kʰ w i t ⁵¹
s ə ⁰	p ə ⁰
ˀb a ¹¹	ˀb i ¹¹
s ⁵⁵ ¹¹	ɟ i ¹¹
k a t ⁵⁵	k ə ʔ̚ ⁰
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
n w ɛ ¹¹	n̥ w ɛ ¹¹
n a ¹¹	n̥ a ¹¹
r w i ¹¹	r w i ¹¹
l̥ a ⁵⁵	l a ⁵⁵
g r ei ¹¹	kʰ r ei ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
m i ⁵⁵	m i ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
n u ʔ̚ ⁵¹	n ə ʔ ⁵¹
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
kʰ j o ʔ ⁵¹	kʰ r o ʔ ⁵¹
j ou ¹¹	j ou ¹¹
k w a ɴ ¹¹	g l a m ¹¹
k o ¹¹	g o ¹¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
tʰ o ⁵⁵	tʰ au ⁵⁵
s ə ŋ ⁵⁵	c ə ŋ ⁵⁵
k ə ⁵⁵	k ə ⁰
b i ¹¹	b i ¹¹
d e ⁵⁵	d e ɴ ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
s ə ⁵⁵	s ə ŋ ⁵⁵
p ɴ a ¹¹	p j a ¹¹
w a ⁵⁵	g w a ⁵⁵
s u ¹¹	tʰ u ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
d ɔ ¹¹	d ɔ ŋ ¹¹
ˀd a ⁵⁵	ˀd a ⁵⁵
m ɨ ¹¹	m̥ ɨ ¹¹
s ɨ ¹¹	s w ɨ ɴ ¹¹
b r a ¹¹	b r a ¹¹
m̥ ɛ t ⁵¹	m̥ ɛ ʔ̚ ⁵¹
s u ⁰	s u ⁵⁵
cʰ ei ⁵⁵	cʰ ei ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
m ɔ ¹¹	m ə ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
m e ¹¹	m̥ e ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
cʰ r u t̚ ⁵¹	kʰ r w i t ⁵¹
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
r̥ o ¹¹	r o ŋ ¹¹
tʰ a ⁵⁵	tʰ a ŋ ⁵⁵
pʰ r u ⁵⁵	p r u ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
k ə ⁵⁵	k ə ⁰
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
b u ¹¹	b o ¹¹
m ə ¹¹	m ə ŋ ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
k l a ⁵⁵	k l a ⁵⁵
s u ɴ ¹¹	s u n ¹¹
p l a ¹¹	p l a ¹¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
l ə ¹¹	l̥ ai ¹¹
n ei ⁵⁵	n ei ⁵⁵
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
s ə ə	ɲ̊ a ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s ə ⁰	g ə ⁰
l̥ w i ¹¹	l w i ¹¹
n a ¹¹	n a ¹¹
s e ⁵¹	s r e ³³
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
d ou ¹¹	d ou ¹¹
w a ¹¹	h w a ¹¹
k i ⁵⁵	k i ⁵⁵
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
r e t ⁵⁵	r e ʔ̚ ⁵¹
cʰ a ¹¹	cʰ a ¹¹
s ei ¹¹	s r ei ¹¹
b l a ¹¹	b l a ¹¹
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
ʔ a ɴ ¹¹	ʔ a m ¹¹
r̥ e ⁵⁵	r̥ e ŋ ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
kʰ w e ⁵⁵	kʰ w i ⁵⁵
tʰ u ⁵⁵	tʰ u ⁵⁵
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
s ɔ ¹¹	s r ɔ ¹¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
h u ¹¹	h ou ¹¹
l a ɴ ⁵⁵	l a m ⁵⁵
k ə ə	k ə ⁰
kʰ a ŋ ⁵⁵	g a ŋ ⁵⁵
p ɔ ¹¹	p ə ¹¹
n ei ¹¹	ŋ w i ¹¹
s ⁵⁵ ⁵⁵ ⁵¹	k o t ⁵⁵
pʰ ɔ ⁵⁵	pʰ r ɔ ⁵⁵
s ə ə ə	k ə ⁰
d a ʔ ⁵¹	d a ʔ̚ ⁵¹
d ɨ m ⁵⁵	d ɨ m ⁵⁵
kʰ l ei ⁵⁵	kʰ l i ʔ ⁵¹
tʰ w a ŋ ¹¹	tʰ w a ɴ ¹¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
ʔ e ¹¹	ʔ e ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
s a ⁰	j ə ⁰
ˀd e ¹¹	ˀd e ¹¹
s ə ⁵⁵	t ə ʔ̚ ⁰
s i ⁵⁵	s ei ⁵⁵
s ə ə	k ə ⁰
l o ⁵⁵	l o ⁵⁵
s a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
l̥ ɛ ɴ ¹¹	l̥ ɛ m ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
kʰ l e ⁵⁵	kʰ l i ⁵⁵
l̥ ou ¹¹	l̥ ou ¹¹
k w a t̚ ⁵¹	k w a t̚ ⁵¹
s ə ⁰	ɲ̊ au ⁵⁵
s ə ⁰	p ə ⁰
r ɔ ¹¹	tʰ ə ¹¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
p l e ⁵⁵	p l e ⁵⁵
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
ˀd ɔ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
l̥ o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
m̥ a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
l̥ i ⁵⁵	l̥ w i t̚ ⁵⁵
r̥ e ¹¹	r e ¹¹
tʰ a ɴ ⁵⁵	tʰ a m ⁵⁵
tʰ o ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
p l o m ¹¹	p l o m ¹¹
s i m ¹¹	ɟ i m ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
n a ¹¹	n a ¹¹
n a ⁵⁵	ŋ̊ a ⁵⁵
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
ˀd ə ⁵⁵	ˀd ə ⁵⁵
n ɔ ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
d ə ¹¹	d ə ŋ ¹¹
b l e ⁵⁵	b l e ⁵⁵
k i ¹¹	k i ¹¹
d ə ʔ ⁰	t ə ʔ̚ ⁰
⁵⁵ u ⁵⁵	c u ⁵⁵
l̥ a ¹¹	l ɛ ¹¹
p l e ⁵⁵	p l e ŋ ⁵⁵
j o ʔ ⁵¹	j o ʔ̚ ⁵¹
j o ⁵⁵	j o ⁵⁵
l̥ o ⁵⁵	l̥ o ⁵⁵
kʰ ei ⁵⁵	kʰ ei ⁵⁵
b a ʔ̚ ⁵¹	p ə ʔ̚ ⁰
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
n ɨ m ⁵⁵	n ɨ m ⁵⁵
k ai ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
s a ⁰	t ə ⁰
kʰ w o ⁵⁵	kʰ w au ⁵⁵
s ɔ ¹¹	c ɔ ¹¹
l̥ a ⁵⁵	ˀl a ⁵⁵
n e ¹¹	n e ¹¹
b a ⁵¹	b ə ʔ̚ ⁰
s ɨ ɴ ¹¹	s w ɨ n ¹¹
