b i ¹	b r i ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
pʰ æ ⁴	pʰ a ¹
d r ɯ ¹	d r ɯ ³
k o ³	g o ŋ ³
ɖʐ o ŋ ²	ʈ s u ŋ ²
o ⁴	ɔ ⁴
d o ŋ ²	d j o ŋ ²
n o ŋ ⁵	n o ŋ ⁵
b o ¹	b ã ¹
m ɯ ²	m ɯ ²
d a ⁵	d ɔ ⁵
n o ²	n o ²
m æ ⁴	m æ ⁴
tɕ e n ¹	tɕ e n ¹
tʰ r e ²	tʰ j e ²
ts i ⁴	ts j i ⁴
ɖʐ r ɯ ³	d r ɯ ³
b r u ²	n j i ²
s e n ¹	sʰ j e n ¹
s j e n ¹	s j e n ¹
ɣ o ⁴	ɣ u ⁴
tʰ r o ŋ ¹	tʰ r o ŋ ¹
p o ²	p u ²
ɖʐ ɯ ²	dʑ ɯ ²
ɣ w a ⁴	ɣ w a ⁴
s w a n ¹	s w a ŋ ²¹
ɖʐ o ²	ɖʐ u ŋ ²
tɕ æ n ³	dʑ æ n ³
j a ⁴	j a ⁴
ɣ o ⁴	ʔ o ⁴
b æ ¹	b æ ¹
m e n ¹	m ɛ ¹
tsʰ i ³	tsʰ e ³
s w a ŋ ¹	sʰ w a ŋ ¹
ts a ³	tɕ a ³
tɕ æ ⁴	tɕ æ ¹
g ɔ ¹	g ɔ ¹
j e n ¹	j e n ¹
m o ²	m o ²
ɣ ɯ ²	dʑ i ²
q æ ⁴	q æ ⁴
q ɯ ²	ɣ ɯ̃ ²
ɣ o ⁴	ʁ ɯ ⁴
q a ŋ ¹	q a ŋ ¹
s r ɯ ²	sʰ r ɯ ²
p e ⁴	b ɛ ⁴
ʈ ɔ ¹	d r ɔ ¹
m o ³	m i ¹
d ɯ ⁴	tʲ ɯ ⁵
q u ²	ɣ u ŋ ²
qʰ a ⁴	qʰ a ⁴
s u ¹	ʂ u ¹
m e n ²	m ɛ ²
z e n ¹	z e n ¹
ts o ŋ ¹	dz o ŋ ¹
tʰ r e ²	tʰ j e ²
p r r a ⁴	p r a ⁴
m e n ⁵	m ɛ ⁵
ɖʐ r ɯ ³	d r ɯ ³
ɣ ɯ ²	ɣ ɯ ²
s w a ⁴	sʰ w a ⁴
ʈ j o ⁴	d r o ⁴
s a ŋ ³	s u ŋ ³
pʰ æ ⁴	pʰ æ ⁴
m ɔ ²	m ø ²
s w a ŋ ³	sʰ w a ŋ ³
p r i ¹	b r i ³
p r r a ⁴	b r æ ⁴
ɣ o ⁴	kʰ o ⁴
qʰ æ ⁴	qʰ æ ⁴
x w ɯ ²	x w i ²
q w a ⁴	q w a ⁴
ŋ w æ ŋ ⁵	ŋ w æ ⁵
ɖʐ o ⁴	ɖʐ o ⁴
ɖʐ u ŋ ⁴	ts r o ⁴
ɣ r e n ¹	n j e n ¹
j u ŋ ²	ŋ j o ²
ʈ r o ŋ ¹	d r o ŋ ¹
s ɯ ²	s r ɯ ²
j i ¹	j i ³
ɖʐ o ²	ts r ɔ ²
g ɯ ¹	g ɯ ¹
ŋ w e n ²	ŋ w e n ²
b ɔ n ²	b o ŋ ²
ɣ æ ⁴	ɣ æ ⁴
ɖʐ i ²	ɖʐ i ²
ɣ o ⁴	n ɛ ¹
q æ n ¹	q æ n ¹
m r ɯ ¹	m j i ¹
m o ²	m ø ²
ts e n ¹	dʑ e n ¹
m r æ n ¹	m j æ ¹
pʰ ɯ ¹	pʰ ɯ ¹
qʰ w a ŋ ²	qʰ w a ŋ ²
s o ŋ ¹	ɕ o ŋ ¹
ts i ⁴	ts j i ⁴
ɣ ɯ ŋ ³	g ɯ̃ ³
ɣ o ⁴	w u ⁴
qʰ w æ ¹	qʰ w æ ¹
ts i ²	ts r i ²
tʰ i ŋ ¹	tsʰ r e ŋ ¹
d r ɯ ¹	d j ɯ ¹
ts e ŋ ¹	ts r e ŋ ¹
ɣ o ¹	n o ŋ ³
d w a ⁴	d w a ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
ɣ e ⁴	n j i ⁴
ɖʐ r o ŋ ¹	d r o ŋ ¹
ɣ j o n ²	ŋ j o ²
z i ³	z ɯ ³
q a ŋ ¹	q a ŋ ¹
q ɯ ¹	ɣ ɯ ¹
ɣ o ⁴	h ɔ ³
m ɯ ²	m i ²
ɣ ɔ ⁴	ɣ ɔ ¹
m æ ²	m æ ²
m o ⁴	m ɔ ⁴
q o ŋ ¹	q o ŋ ¹
x e n ¹	x e n ¹
ts i ²	ts r e n ²
ts o ŋ ¹	ts u ŋ ¹
q æ ¹	ɣ æ ¹
ɣ æ n ¹	d r æ n ¹
k w a ⁴	k w a ⁴
s w a ⁴	s w a ⁴
g ɯ ¹	g ɯ ¹
s r e ¹	s r e ŋ ¹
k æ ⁴	k æ ⁴
ɣ o ⁴	p e ¹
x ɯ ⁴	χ ɯ ⁴
tsʰ j e n ¹	tsʰ j e n ¹
ɖʐ o ⁴	d r o ⁴
q æ n ²	q æ n ²
ɣ w a ⁴	h w a ⁴
ts w ɛ ⁴	ts w ɛ ⁴
s w a ⁴	sʰ w a ⁴
pʰ r æ ⁴	pʰ r æ ¹
ɣ o ¹	qʰ o ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
tsʰ o ³	tsʰ u ³
ɣ w e ⁴	ts w ɛ ⁴
g o ¹	g o ¹
ŋ w a ⁴	ŋ w a ⁴
m ɛ ¹	m ɛ ¹
b j o ⁴	b j ɛ ⁴
k u ²	k u ²
s e n ⁵	s e n ⁵
w e n ¹	ʁ w e n ¹
ɣ w æ ⁴	x w a ¹
q æ n ²	q æ n ¹
q æ ⁴	q æ ⁴
pʰ ɯ ¹	pʰ ɯ ¹
tɕ r ɯ ²	tɕ ɯ ²
ʈ r o ŋ ¹	ʈ o ŋ ¹
ɣ r o ŋ ⁴	ŋ j o ŋ ⁴
qʰ ɔ ²	qʰ ɔ ²
m ɯ ⁴	m ɯ ⁴
ɣ ɯ ³	ɣ ɯ ³
s u ¹	s r u ¹
s r e ¹	s r e ŋ ¹
ʈ o n ⁴	ʈ o ⁴
s j e n ¹	s j e n ¹
m a ⁴	m a ⁴
b ɯ ¹	b ɯ ¹
t æ ⁴	t æ ŋ ⁴
tʰ r ɯ ⁴	ʈ ɯ ⁴
ɣ u ¹	n j i ⁴
t w e n ¹	t w e n ¹
ɣ e ²	tsʰ r e n ²
ŋ e ¹	b j o ²
qʰ ɔ ²	qʰ ɔ ²
j ɯ ¹	j ɯ ¹
j e n ¹	j e n ¹
x ɯ ²	χ ɯ̃ ²
s r ɯ ⁴	s r i ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
ɣ j e n ⁴	n j e ⁴
x w ɯ ²	x w i ²
b ɯ ¹	b ɯ ¹
tsʰ e n ¹	tsʰ w e n ¹
m r a ŋ ¹	m j æ ¹
s w ɛ ⁴	sʰ w ɛ ⁴
ts i ¹	ts r i ¹
s o ⁴	sʰ o ⁴
d w ɛ ⁵	d w ɛ ⁵
ɣ e ¹	z r o ŋ ¹
p ɯ ³	p u ³
ts ɯ ²	ʈ ɯ ²
d r ɛ ⁵	d j ɛ ⁵
n e ⁴	n e ⁴
ɣ ɛ ⁴	tsʰ w a ⁴
b æ ¹	b æ ¹
ɖʐ u ŋ ¹	ɖʐ o ¹
m e ¹	m e ¹
ɖʐ u ŋ ¹	ɖʐ u ŋ ¹
w e n ¹	ʔ w e n ¹
tʰ j o ⁴	tʰ r o ⁴
p r r æ ⁴	p r æ ⁴
ʈ ɛ ⁴	d r ɛ ⁴
p j a ¹	p r ɔ ¹
ŋ ɯ ¹	ŋ ɯ ¹
o ŋ ²	n j o ŋ ²
ɣ o ⁴	ŋ o ³
tɕ e n ²	ɖʐ e n ²
m æ ŋ ²	m æ ²
s w a ŋ ¹	sʰ w a ŋ ¹
ʈ r æ ⁴	ʈ æ ⁴
ŋ o ²	ŋ u ²
tʰ u r ³	tʰ r u ³
ɣ o ⁴	ɕ a
m ɯ ¹	m ɯ ¹
ɣ a ⁴	ɕ w i ²
n u n ¹	n j o ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
ɖʐ u ŋ ¹	ɖʐ u ŋ ¹
j o ⁴	j ɔ ⁴
q a ŋ ¹	q a ŋ ¹
tɕʰ æ n ¹	tɕʰ æ ¹
ts o ŋ ²	ts u ŋ ²
ts i ²	ts i ²
q æ ⁴	q æ ⁴
p j o ¹	p j e ¹
p æ ⁴	p æ ⁴
s e n ⁵	s e n ⁵
s r ɯ ²	sʰ r ɯ ²
qʰ w a ⁴	qʰ w a ⁴
ɣ i ³	d i ³
ɖʐ i ⁴	ɖʐ i ⁴
ɣ ɯ ²	d r ɯ ²
s ɛ ⁴	sʰ ɛ ⁴
q ɯ ¹	q ɯ ¹
tʰ o ⁴	tʰ r o ⁴
b æ ŋ ¹	b æ ŋ ¹
d ɔ ¹	d ɔ ¹
s o ³	sʰ ɔ ³
ɣ r o ²	kʰ r o ²
m ɯ ³	m ɯ ⁵
ɣ o ¹	ŋ ɔ ¹
t ɯ ⁴	d j ɯ ²
k o ŋ ²	k o ŋ ²
ɣ i ²	s i ²
pʰ æ ¹	pʰ æ ¹
ɣ o ¹	pʰ j u ŋ ¹
tsʰ w a ŋ ²	tsʰ w a ŋ ²
qʰ ɔ ¹	qʰ ɔ ¹
m e ²	m ə ²
tsʰ o ³	tsʰ o ŋ ³
ŋ w e n ¹	ŋ w e n ¹
pʰ e ¹	pʰ e ¹
qʰ u ²	qʰ u ²
tsʲʰ i ¹	tsʰ j i ¹
p j o ²	p j ɛ ²
t w e n ²	t w e n ²
ɣ e ⁴	ɕ w i ²
k u ¹	k ɯ ¹
o ŋ ¹	n j o ¹
ɖʐ i ⁴	ɖʐ i ⁴
ɣ o ⁴	b j o ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ɣ ɔ ¹	ɣ ɔ ¹
s w a n ¹	s w a ŋ ¹
m ɔ ¹	m ɔ ¹
l ɔ ¹	l ɔ ¹
pʰ ɔ ³	pʰ ɔ ³
ɣ w u ²	kʰ w ɛ ²
s o ²	s r o ²
tɕʰ i ⁴	tsʰ j i ⁴
ŋ o ¹	ŋ o ¹
s r e ŋ ¹	sʰ r e ŋ ¹
m o ²	m ø ²
ɣ o ⁴	p j u ⁴
ɖʐ r u ŋ ⁴	ɖʐ o ⁴
s ɯ ⁴	ɕ i ⁴
ɣ o ¹	h ɔ ¹
m æ ¹	m æ ¹
x æ ŋ ¹	χ æ n ¹
ɣ ɯ ²	ɣ ɯ ²
s i ²	s j i ²
ɣ o ⁴ ¹	ʁ a ŋ ¹
b j o ²	b j ɛ ²
ɣ e ²	dʑ i ²
ɣ o ŋ ¹	ʁ o ŋ ¹
p a ⁴	b r æ ⁴
ɣ i ¹	dz i ¹
n o ŋ ¹	n o ŋ ¹
tɕ i ⁴	d i ⁴
qʰ e n ¹	qʰ e n ¹
j ɯ ⁴	j ɯ ⁴
ɣ o ³	kʰ r o ³
b e ¹	b e ¹
d e ⁴	t ɛ ⁴
q w ɛ ⁵	q w ɛ ³
tʰ r æ ⁴	tʰ j æ ⁴
ts i ²	ts i ²
ɣ ɯ ⁴	ɣ ɯ ²
s i ²	s j i ²
ts o ⁴	dz o ⁴
k o ⁵	k o ⁵
b j o ⁴	b j o ⁴
b o ³	b ɔ ³
b e ¹	b e ¹
p r i ¹	b r i ²
ts e ŋ ¹	ts r e ŋ ¹
x ɯ ²	x ɯ ³³
q ɔ ⁴	q ɔ ⁴
