g ɛ ¹	g ai ¹
b j a ¹	b j ɛ ¹
⁴ ⁴ ²	dʒ ui ²
g j u k ⁴	g j u k ⁴
w a p ⁴	w a p ⁴
g r u k ⁴	ˀk r u k ⁴
m j a ʔ ²	m j a ²
p a ŋ ¹	p a ŋ ¹
⁴ i ŋ ²	l i ŋ ²
k a ²	k a ²
p i ³	p a ³
m e ³	m i ³
m j a ⁴	g r a ³
k j u ¹	k j u ¹
ʔ a ¹	ʔ a ¹
b a ³	b a ³
⁴ u m ⁴	l u m ¹
a a k ⁴	ˀts a t ⁴
u a ¹	dz a ¹
k j a m ²	g j a m ²
⁴ a ŋ ²	l a ŋ ²
m a ŋ ²	m a ŋ ²
j a k ⁴	j a k ⁴
m u ¹	m u ¹
t a k ⁴	t a k ⁴
⁴ m a ²	dʒ a ²
m u ²	m e ²
t a ¹	t a ŋ ¹
i a m ¹	ʃ a m ¹
m i ³	n e ²
k j a ŋ ¹	k j a ŋ ¹
ˀp i g ⁴	ˀp i k ⁴
t u ¹	d ʊ ¹
ˀt a k ⁴	ˀt a p ⁴
⁴ a ŋ ³	l a ŋ ³
r a n ²	s a n ²
j u k ⁴	r u k ⁴
d a k ⁴	d a k ⁴
a a ²	d u ²
⁴ i ¹	l i ¹
n a k ³	n a p ⁴
ˀn a ŋ ¹	ˀn a ŋ ¹
k j a ŋ ³	k j a ŋ ³
a a ²	ʃ a ²
j a m ²	j a m ²
t u ²	d ʊ ²
⁴ ai ¹	ˀl ai ¹
ˀk u ²	ˀk u ²
p u k ⁴	p u k ⁴
b j a ¹	b j a ¹
⁴ a k ⁴	ˀr a k ⁴
b i ¹	b i ¹
ˀs i ¹	ˀs e ¹
g u k ⁴	ˀk i k ⁴
g a k ⁴	g r a k ⁴
ŋ j a p ⁴	ŋ j a t ⁴
j u k ⁴	j u k ⁴
ŋ a k ⁴	ŋ a k ⁴
ŋ u ³	ˀɲ u ²
ˀp j a ŋ ¹	b j a ŋ ¹
ˀs u ³	ʃ o ²
t a u ²	ˀt a ŋ ²
b a ¹	b a ¹
m a g ⁴	m i k ⁴
n i g ⁴	n i k ⁴
ˀs u u	ˀs ai ²
ˀt a ²	ˀt a ²
p i g ⁴	p i k ⁴
m ɛ p ⁴	m a t ⁴
b i ˀj ²	b i ²
a a ²	ˀr a ²
u ¹	ʔ ʊ ¹
n ɛ ¹	n ɛ ¹
a ³	t a ŋ ³
⁴ a u ⁴	ts a p ⁴
a u ³	tʃ u ²
i a ¹	ʃ ɛ ¹
j i p ⁴	j i p ⁴
p a ³	ˀp a ³
⁴ a ³	l a ³
p j a ¹	p j a ¹
m u ³	m u ²
k i ŋ ²	d i ŋ ²
ˀs a k ⁴	s u t ⁴
ŋ a k ⁴	ˀŋ a k ⁴
ŋ a n ¹	ˀŋ a n ¹
a a ²	dz a ²
k j a m ¹	k j a m ¹
⁴ a m ¹	l a m ¹
g j ɛ ¹	g j ɛ ¹
g a ²	g a ŋ ²
a a ²	l a ²
ŋ ⁴ ¹	ˀŋ a ¹
ŋ ai ¹	ŋ ai ¹
a b ¹	ʔ a p ⁴
tʃ a p ⁴	tʃ a p ⁴
⁴ i g ⁴	l i k ⁴
k j u ŋ ³	k r u ŋ ²
ˀs ɛ ²	s ɛ ²
⁴ i ŋ ³	dʒ i ŋ ³
⁴ a p ¹	dʒ a p ⁴
g u ²	g u ²
⁴ i ²	l i ²
k a ŋ ¹	d a m ¹
b j a m ¹	b j a m ¹
a k ⁴	r a k ⁴
k a ⁴	ˀtʃ a k ⁴
m j u k ⁴	m j u k ⁴
w a ¹	w a ¹
a u k ⁴	ʃ u k ⁴
s i ŋ ²	s i ŋ ²
