ŋ a k ⁴	ˀŋ a k ⁴
a a ⁴	ŋ a n ¹
p a ¹	b a ¹
k j a k ⁴	ˀk j a p ⁴
ˀp a ⁴	ˀp a ³
k u ²	g u ²
s i k ⁴	s i k ⁴
a j a ¹	b j ɛ ¹
a a ¹	n ɛ ¹
j a k ⁴	j a k ⁴
k j u t ⁴	g j u k ⁴
⁴	ˀts ai ¹
j i b ⁴	j i p ⁴
p ai ¹	b i ¹
r a ⁴	ˀn i k ⁴
a b ⁴	ʔ a p ⁴
k a ²	k ai ²
k a d ⁴	k a t ⁴
s i ŋ ²	s i ŋ ²
a j a ¹	b r ɛ ¹
k u ²	ˀk ui ²
k j a m ¹	k j a m ¹
k a ²	dz a n ²
²	ˀs ai ²
a a ¹	ˀn a ¹
a k ⁴	ts a p ⁴
g r a k ⁴	g r a k ⁴
ˀr a ²	ˀr o ²
ŋ a k ²	ŋ a k ⁴
p j a ŋ ¹	b j a ŋ ¹
k i k ⁴	k i k ⁴
ŋ a ⁴	n a p ⁴
k j a ¹	k j u ¹
m r a ŋ ¹	m r a ŋ ¹
ˀp r u ¹	p r o ¹
k a k ⁴	k a p ⁴
i ⁴	ˀs e ¹
d a k ¹	ˀt a k ⁴
a a k ⁴	dʒ a k ⁴
b i b ⁴	b u p ⁴
ʃ i ²	ʃ e ²
r a ⁴	k r a ¹
k a k ⁴	w a k ⁴
r u k ⁴	r u k ⁴
dz i ¹	dz i ŋ ¹
k a ²	s ɛ ²
s a ⁴	ʃ a ¹
u ²	ʔ ʊ ²
s i ŋ ¹	ˀr i ŋ ¹
dz u ⁴ ²	ˀts u ²
k r a ŋ ¹	k j a ŋ ¹
w a ¹	w a ¹
k a ŋ ¹	ˀn a ŋ ¹
k a t ⁴	ˀk a t ⁴
a ¹	ʔ a ¹
ʃ k ¹	ʃ i ³
a a ²	d a ŋ ²
ˀk j a k ⁴	ˀk j a k ⁴
k a m ⁴	w a m ³
k i k ⁴	g i k ⁴
m a k ²	m i k ⁴
a a k ⁴	ˀtʃ a p ⁴
ʃ a ³	s ɛ ³
w a ŋ ¹	w a ŋ ¹
ˀŋ j a k ⁴	ŋ j a k ⁴
m j i ŋ ¹	m r i ŋ ¹
a j a ³	p j ɛ ³
k a t ⁴	ˀts a t ⁴
m ai ²	ˀl ai ³
d a m ²	d u ²
k i ¹	ˀk j ai ³
s a ²	ˀr a ²
k j u ²	k j u ³
t u k ¹	d ʊ ¹
k r a ²	g j a ²
j i m ¹	ˀj i m ¹
a a k ⁴	p a k ⁴
a i ŋ ⁴	b i ŋ ³
m u ¹	m u ¹
s i ²	ˀs ui ²
p j i ŋ ⁴	b r i ŋ ³
u i ¹	ˀp e ¹
m j i k ²	b j i k ⁴
ˀk a ⁴	ˀk a m ¹
m j a k ⁴	ˀp j a t ⁴
i ¹	ʔ ʊ ¹
