x a ¹	k u ³
a ¹	a ¹
g i ³	tʰ e̠ ³
k a̠ ²	k a ŋ ²
m o ²	m o ²
kʰ i ¹	kʰ i ¹
b o ²	b o ²
k ɨ ¹	k i ¹
d a ²	d a ²
n a ²	n a ²
ɣ a ²	ɣ a ²
b o ²	b o ²
ɣ a ŋ ²	ˀl u ²
t y ²	t y ²
dz a ²	dz a ²
m i ²	m e ²
l ɛ̠ ³	l e̠ ³
ˀm ɨ ¹	m ɨ ¹
k u ³	k a ²
l a ŋ ³	tʰ u ³
ˀl i̠ ³	ˀl i̠ ³
k u ¹	kʰ u ¹
p y ²	p y ²
k u ¹	t u ¹
a ¹	a ¹
l ɛ ¹	l ɛ ¹
x a ²	x a ²
t i ¹	t i ¹
ɣ a ¹	h ɛ̠ ¹
tʰ ɛ̠ ³	tʰ e̠ ³
a ¹	a ¹
dʒ ɛ ²	dʒ ɛ ²
dz e ¹	dz e ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
dz e ²	dz i ²
t u ²	t u ²
ʒ u ²	ʒ i̠ ³
b u ¹	b ɛ ¹
v e̠ ŋ ³	v i̠ ³
ɣ e̠ ³	ʒ e ³
ˀm e ¹	ˀm ɛ ¹
l e̠ ³	l e̠ ¹
l a ¹	l a ³
p a̠ ³	p a̠ ³
tsʰ a ²	tsʰ a ²
x a̠ ³	x a̠ ³
g a ¹	g j a ¹
m a ³	m a ³³
d e̠ ¹	d e̠ ¹
m i ¹	m i ¹
x a ²	g i ¹
b ²	n u ²
tʃ a̠ ¹	tʃ ɛ ¹
ɣ e̠ ³	dʒ e ¹
k e̠ ²	k j e ²
ɣ i ¹	ɣ i ¹
kʰ o̠ ¹	kʰ o̠ ¹
ʃ a ¹	ʃ a ¹
v e̠ ³	v e̠ ³
ts a ³	ts a ³
b e̠ ³	b e̠ ³
d a ²	tʰ a ²
s a ²	s a ²
m e̠ ŋ ¹	m i̠ ¹
a ¹	a ¹
ɣ e̠ ¹	ɣ e̠ ¹
dz a ²	dz a ²
z e̠ ³	z e̠ ³
k o̠ ³	tsʰ o̠ ¹
v e̠ ŋ ³	ˀv i̠ ³
ɣ a ³	ɣ a ³
tsʰ a ¹	tsʰ a ¹
a ¹	a ¹
ʃ i ²	ʃ ɨ ²
g a ¹	g j a ¹
k u ²	k u ²
n̩ ²	n i ²
l e̠ ³	l e̠ ³
tʰ a ³	tʰ u ³
ɣ e̠ ³	ʒ e̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
s ɛ ²	s ɛ ²
a ¹	a ¹
m ²	m o ²
p ɛ̠ ¹	p ɛ̠ ¹
a ³	a ¹
d u ²	d u ²
a ³	a ¹
ˀl ɛ ¹	l i ¹
tʃ a ¹	tʃ a ŋ ¹
pʰ e̠ ³	pʰ e̠ ³
a ¹	a ¹
kʰ o ²	kʰ o ²
b y ³	b y̠ ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
g ɛ ²	g ɛ ²
ʃ a̠ ³	ʃ a̠ ³
a ¹	a ¹
k a ³	k a̠ ³
kʰ ɛ ²	kʰ j ɛ ²
ɣ i ¹	ɣ i ¹
n y ¹	n y ¹
k ɛ ¹	k ɛ ¹
kʰ o ¹	kʰ o ¹
s i ¹	s i̠ ¹
dz i̠ ¹	dz e ¹
tʰ u ¹	tʰ u ¹
ɣ i ¹	ˀŋ y ¹
d a ŋ ¹	t a ŋ ³
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ɣ y ³	ˀx a ¹
ɣ a ³	ʃ a̠ ³
s y ²	s y ²
m a ³	m a ³
kʰ ɛ ³	kʰ ɛ̠ ³
v e̠ ³	v e̠ ³
t a ³	d a ²
ˀl i ¹	ˀl i ²
m u ³	ˀm u ²
ˀm ɛ ¹	ˀm ɛ ¹
s e̠ ³	s e̠ ³
ˀl a ¹	ˀl a ¹
a ²	a ¹
ɣ y ²	s i ¹
ˀv y ²	v y ²
a ²	a ²
ˀl ɛ ŋ ³	l a ³
k y ³	ts y ³
t ɛ ¹	t ɛ ¹
t u ¹	t u ¹
ˀn ɛ ¹	n ɛ̠
ɣ ɛ̠ ³	h e̠ ³
n̩ ²	n̩ ²
m a ŋ ²	m a ŋ ²
ˀv a ¹	ˀv a ¹
ˀl y ³	ˀl y ³
k ˀm ɛ ¹	ˀm j y̠ ¹
p ɨ ²	b ɨ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ɣ i̠ ³	ɣ i̠ ³
b a ¹	tʃ a ¹
ˀn u ¹	n i ¹
ʃ a ¹	ʃ a ¹
x a̠ ²	x ɛ ²
a ²	a ²
ɣ y ¹	ɣ y ¹
ɣ ɛ ¹	ɣ ɛ ¹
ɣ i ¹	ɣ i ¹
ˀn i ²	n e ²
ɣ u ¹	h e ¹
p a̠ ³	p a̠ ³
s a ²	s a ²
b i ²	b o ²
pʰ i ²	pʰ e ²
s ɛ̠ ³	s e̠ ³
kʰ ɨ ¹	kʰ i ¹
g a ³	k a̠ ³
dz i ¹	dz e ¹
kʰ j u ²	kʰ ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
m u ²	m ɨ ²
b ³ u ²	d u ¹
p a ŋ ¹	p a ŋ ¹
pʰ j a ŋ ¹	pʰ j a ¹
kʰ o̠ ³	kʰ o̠ ³
b a̠ ¹	s o̠ ³
pʰ e̠ ²	pʰ e ²
d u ¹	d u ¹
dʒ u ³	dʒ u ³
t y ¹	t y ¹
s y ¹	s y ¹
ɣ ɛ ²	ɣ ɛ ²
k o ²	kʰ u ¹
d ɛ ²	d ɛ ²
ts i ³	ts i ³
ˀn o ŋ ³	ˀn y ¹
m̩ ²	m̩ ²
s ɛ ²	s ɛ ²
ts e ²	ts e ²
l a ²	l a ²
ˀm a ŋ ³	m a ŋ ³
m ŋ u ¹	m i ¹
m a ²	m a ²
b a ¹	h a ¹
tʃʰ i ¹	tʃʰ e ¹
k ɛ ¹	k a ŋ ¹
z a ²	z a ²
ˀn i ³	ˀn i ³
d e̠ ³	t u ¹
ɣ u ²	ʃ u ²
ɣ ɛ ³	t e̠ ³
ɲ j a ¹	ŋ j a̠ ¹
d u ¹	d u ¹
ɣ ɨ ¹	ɣ ɨ ¹
ɣ ɨ ¹	ɣ i ¹
ts ɨ ²	ts i ²
n i ²	n i ²
ˀn e̠ ŋ ³	n i̠ ¹
ˀm j a ³	ˀm a ³
n e̠ ¹	n i̠ ¹
l a ŋ ²	h a ŋ ²
k y ³	k o̠ ¹
k a̠ ³	k a̠ ³
ˀl a ³	ˀl a ŋ ³
kʰ ɛ ²	kʰ j ɛ ²
n o̠ ¹	n u̠ ¹
dz i ¹	dz e ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
b a ²	b a ²
k a ŋ ²	k j o ²
a ¹	a ¹
m o̠ ²	m o ²
g a ¹	g a ¹
n̩ ²	n̩ ²
l a ¹	l a ¹
l o̠ ³	l o̠ ¹
a ¹	a ²
tʰ a ²	tʰ a ²
n y ²	n y ²
m a ²	m a ²
d e̠ ¹	d e̠ ¹
d u ²	d e ²
ɣ a ²	s e ³
tʰ u ²	tʰ y ²
pʰ ɛ̠ ¹	pʰ e̠ ¹
l ɛ̠ ³	l e̠ ³
d a ¹	d a ¹
ˀn y ¹	ˀn y ¹
g o ²	g a ŋ ³
m̩ ²	m u ²
tʰ ŋ a ŋ ²	tʰ o ²
n a ŋ ¹	n a ¹
v e̠ ¹	v e ¹
d i ¹	d i ¹
m a ³	m a ³
t i ²	t i ²
b u ³	ɣ ɛ̠ ³
v ɛ ¹	v ɛ ¹
dz e ²	dz e ²
m e̠ ²	m e̠ ³
v a ŋ ¹	v u ¹
tsʰ a ¹	tsʰ a ŋ ¹
pʰ u ²	pʰ u ²
pʰ a ¹	pʰ j a ¹
p e ²	p e ³
tʃ i̠ ¹	tʃ ɨ̠ ¹
ɣ i ŋ ²	ɣ a ŋ ²
pʰ j i ¹	ˀŋ j a̠ ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
k u ¹	kʰ u ¹
ɣ u ¹	h e ¹
dz i ²	dʒ i ²
p o̠ ¹	p o̠ ¹
dʒ i ³	dʒ i ³
ˀn i ³	ˀn i ³
dz i̠ ¹	dz i̠ ¹
b ɛ ²	ʃ ɨ̠ ³
k a̠ ¹	k a ¹
ɣ i ¹	ɣ a ŋ ¹
v ¹	v u ¹
p y ³	b y ³
a ²	a ²
b i ³	b i ³
tʃ a̠ ³	tʃ a̠ ³
x i ¹	x ɨ ¹
k a ŋ ³	k a ŋ ²
ɣ a ¹	h a ¹
b i ²	b ɨ ¹
b y ¹	p y̠ ¹
p u ²	p j ɨ ²
tʃʰ i ³	tʃʰ i̠ ³
b u ²	p u ²
a ¹	a ¹
g i ¹	g i ¹
v a̠ ³	v e ³
m a ³	m a ³
x a ŋ ŋ ²	x a̠ ³
n a ¹	n a ¹
t o̠ ³	t o̠ ³
tʃʰ o ³	tsʰ y̠ ¹
ɣ ɨ ¹	ɣ ɨ ¹
kʰ i ²	kʰ ɨ ²
ˀm j e̠ ¹	ˀm j e̠ ¹
v ɛ̠ ²	v ɛ̠ ³
d i ¹	d i ¹
g a ²	g a ²
j a ŋ ³	j a ŋ ²
ɣ u ³	ʃ ɨ̠ ¹
pʰ y ²	pʰ j y ²
tsʰ i ¹	tsʰ u ¹
z i ³	z i ³
ɣ a ³	ɣ a ŋ ²
ʒ o̠ ¹	ʒ o̠ ¹
dz ɛ ¹	k ɛ ³
x ɛ ²	kʰ a ²
m o ¹	m o ¹
tsʰ i ¹	k i ¹
g o̠ ³	g o̠ ¹
s a ¹	s e ¹
l y ²	ˀl y ²
pʰ j ɛ ²	pʰ a ¹
ˀn i ³	ˀn i ³
b a ³	b a ³
b a ¹	t ɛ ¹
l a ³	l a ³
ˀl a ²	ˀl a ²
ˀl o̠ ¹	ˀl o̠ ¹
kʰ i ²	kʰ a ŋ ²
d y ²	d y ²
a ¹	a ¹
pʰ u ³	f u ³
dz i ²	dz i ²
s ɛ ²	s ɛ ²
a ¹	a ¹
s i̠ ¹	s i ²
t e̠ ¹	t e̠ ¹
ɲ a ³	ˀn i ³
d a ŋ ³	ts a ŋ ³
pʰ a ¹	pʰ j a ¹
ˀm a ³	m a ³³
dʒ e ¹	dʒ ɛ ¹
ʃ i ¹	ʃ i ¹
n y ¹	n y ¹
a ²	a ¹
d u ¹	d u ¹
m a ³	m a ³
a ¹	a ¹
m y ²	m ɨ ²
tʃ a ¹	tʃ u ¹
ˀv ɛ ¹	ˀv ɛ̠ ¹
d y ¹	d y ¹
ˀn a ¹	ˀn a ¹
l a ²	l a ²
tsʰ ɛ ³	tsʰ ɛ ³
s e̠ ³	s e̠ ³
b u ²	b o ¹
tsʰ y ¹	tsʰ a m ¹
g a ¹	g a ¹
b ɛ	b y ²
e ²	e ²
m a ŋ ²	m a ŋ ²
a ³	a ²
s i ²	s i ²
ts i̠ ³	ts i̠ ³
tʃʰ i ¹	tʃʰ e ¹
pʰ i ²	pʰ i̠ ³
ɲ e ¹	ɲ e ¹
dz ɛ ²	dz ɛ ²
b i ¹	b ɨ̠ ¹
d o̠ ³	tʃʰ e̠ ¹
s i̠ ¹	s i̠ ¹
n e̠ ¹	n i̠ ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
ɣ i ¹	ɣ ɨ ¹
tʰ a ³	tʰ a ³
kʰ j a̠ ¹	tʃʰ ɛ̠ ¹
ɣ e̠ ¹	ʒ e ¹
v a ³	v a ³
n y ¹	ˀn y ¹
a̠ ²	a ²
n e ¹	n e ¹
kʰ o̠ ³	kʰ o̠ ³
z e̠ ³	z e̠ ³
d i ¹	d a ŋ ¹
k i ¹	k j i ³
a ¹	a ¹
dz i ¹	dz i ¹
s o ¹	s u ¹
b a ŋ ²	t ɛ ¹
a ¹	a ¹
pʰ y ²	pʰ y ²
k y ¹	k o̠ ¹
tsʰ e̠ ³	d u ¹
b a ŋ ²	ɲ a ¹
a ¹	a ¹
x u ³	x a̠ ³
ˀl i ³	ˀl i ³
k a ¹	k a ŋ ¹
t i ¹	t i̠ ¹
l y ¹	l y ¹
pʰ u ³	pʰ u ¹
n i̠ ¹	n i̠ ¹
k j ɛ ¹	k a ¹
a ¹	a ¹
tsʰ i ²	tʃʰ u ²
i ²	i ²
k u ¹	kʰ u ¹
x ɨ ³	x ɨ̠ ³
x i ¹	ˀx y ¹
g i ¹	g ɨ ¹
l a ŋ ¹	h a ¹
v e̠ ³	v e̠ ³
b i ¹	tsʰ i ¹
l o̠ ³	ˀl o̠ ³
k u ¹	k u ¹
pʰ ɛ ³	f ɛ ³
k e̠ ²	dʒ i ²
kʰ a ²	kʰ a ²
d u ²	d u ²
l e̠ ³	l e̠ ³
ˀm j ɛ ¹	ˀm ɛ̠ ¹
p i ²	p y̠ ¹
dz a ¹	dz a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
t a ŋ ¹	t u ¹
a ¹	a ¹
l e̠ ³	l e̠ ³
l a ŋ ³	l o̠ ³
ɣ u ¹	ɣ o ³
m a ²	m a ²
b u ³	s i̠ ¹
a ³	a ²
a ¹	a ¹
g o ²	g o ²
dz i ³	dz ɿ ³
t i ²	t i ²
d e̠ ¹	d e̠ ¹
ɣ i ¹	ɣ i ¹
tʰ a ²	tʰ a ²
b a̠ ³	p a̠ ³
tʃʰ i ²	tʃʰ u ²
b a ¹	x a ¹
a ¹	a ¹
x a ¹	h ɛ̠ ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
g a ŋ ³	k a ŋ ²
ˀm a ²	m a ²
p a ¹	p a ¹
p y ³	p y ³
l o̠ ³	ˀl u̠ ¹
n a ¹	n a ¹
tʰ a ŋ ²	tʰ a ŋ ²
b a ²	b o ³
tʰ u ³	tʰ u ³
ˀn i ²	ˀɲ y ²
v a ²	v a ³
x e ¹	x e ¹
ŋ a ²	ŋ a ²
kʰ i ¹	kʰ i ¹
tʃ a ³	tʃ a ³
ˀn a ¹	ˀn a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ɣ a ²	ŋ i ²
b a̠ ³	p a̠ ³
e̠ ³	e̠ ¹
ˀl i ²	ˀl i ²
k ɛ ¹	k j o ¹
pʰ ɛ ¹	pʰ e̠ ¹
k a ²	k a ²
tʃʰ e ¹	kʰ j e ¹
a ¹	a ¹
m a ²	m a ²
x a ³	ˀx a ³
tʰ e ²	t i̠ ³
b y ³	b y ³
ʃ i ¹	ʃ i̠ ¹
n a ¹	n a ¹
s a ¹	s a ¹
tʃ a ŋ ¹	tʃ ɛ ¹
p a̠ ³	p a̠ ³
m ɛ ²	m ɛ ²
d o̠ ¹	d o̠ ¹
kʰ j i ¹	kʰ i ¹
p a ŋ ³	p ɛ ³
k ɛ ³	k ɛ ³
a ²	a ²
s ɛ ²	s e ²
p a ¹	p a ¹
b ɛ̠ ¹	b ɛ̠ ¹
v a ²	v a ²
x ɛ ²	s y ²
z a ²	z a ²
ts e ¹	ts e ¹
l a ¹	l a ¹
g o̠ ³	g o̠ ³
m a ¹	m e ¹
g u ²	kʰ y ¹
s i̠ ³	s i̠ ³
kʰ o̠ ³	kʰ o̠ ³
tʃ a ³	tʃ a̠ ³
t a ¹	t j ɛ ³³
tʃ i ¹	tʃ u ¹
b ²	n i ²
m ɛ ²	m ɛ ²
tsʰ a ¹	tsʰ a ¹
kʰ o̠ ³	kʰ o̠ ³
ˀm j o ²	ˀm y ²
tʰ a ²	tʰ a ²
kʰ a̠ ²	kʰ y̠ ¹
pʰ a ²	pʰ a ²
tsʰ ɨ ¹	tsʰ y ¹
ˀm i ³	m o ²
n e̠ ³	n e̠ ³
ts i ¹	tʃ e ¹
tsʰ e ¹	tsʰ e ¹
b e̠ ¹	b e̠ ¹
ɣ ɨ ¹	ɣ i ¹
s a ¹	s a ¹
k a ¹	x a ŋ ¹
tʰ e ²	tʃʰ ɛ ²
tsʰ i ²	dʒ ɛ ²
tsʰ a ¹	tsʰ a ¹
ts ɛ ¹	ts ɛ ¹
ɣ u ³	h e̠ ³
b e̠ ¹	b e ³
ɣ i ¹	ɣ a ŋ ¹
dz y ¹	dz i ¹
g o̠ ³	g j o̠ ¹
a ¹	a ¹
p y ¹	p y ¹
pʰ a ŋ ¹	pʰ e̠ ¹
ˀm ɛ ²	m ɛ ²
v a ŋ ŋ ²	v a ŋ ²
t a ³	t a̠ ³
k a ²	ɣ o ²
kʰ ɨ ¹	kʰ ɨ ¹
pʰ i ¹	pʰ e ¹
l a ²	l a ²
d a ¹	d a ¹
s y ²	ʃ y ²
kʰ ɛ ¹	kʰ ɛ ¹
b a ŋ ¹	b a ŋ ³
kʰ j a ²	kʰ a ²
v e̠ ³	v e̠ ³
ˀn i ³	ˀn i ³
ɣ ɛ ¹	s e ¹
tsʰ e ¹	tsʰ e ¹
g i ²	g i ²
tʰ y ¹	tʰ y ¹
b o ¹	b o ¹
d e̠ ¹	d e̠ ¹
b ²	n u ²
ˀn e̠ ¹	ˀn i̠ ¹
a ¹	a ¹
b e̠ ³	ts e̠ ³
b a ²	b a ²
l a ²	l a ²
d y ²	d y ²
ɣ ɨ ²	kʰ o ²
ˀl u ³	l u ³
k u ³	ts ɛ ³
ɛ ²	ɛ ²
a ¹	a ¹
tʰ y ²	tʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
p o̠ ¹	p u ¹
p a̠ ³	p a̠ ³
k e̠ ³	k e̠ ³
b y ²	b y ²
kʰ j y ¹	kʰ y ¹
d e̠ ²	d i ²
a ¹	a ¹
i ²	i ²
tʃʰ i ²	tʃʰ i ²
ˀm i ¹	ˀm i ¹
d a ŋ ³	d u ³
g u ³	g u̠ ³
pʰ i ²	pʰ i ²
kʰ j a ³	kʰ a ³
dz i̠ ³	dz i ³
ɣ o ³	s i ³
pʰ ɨ ¹	pʰ ɨ ¹
ˀm u ³	ˀm e̠ ¹
l y ¹	l y ¹
z a ²	z a ²
ɣ a ¹	h ɛ̠ ¹
pʰ u ¹	pʰ u ³
kʰ j ɛ ²	kʰ ɛ ²
v e̠ ³	v e̠ ³
k u ¹	k u ²
ˀv a ¹	ˀv a ¹
pʰ o ²	pʰ o ²
ˀn a ¹	ˀn a ¹
kʰ a ²	kʰ a ²
dz a ŋ ŋ ¹	k a ŋ ¹
m o̠ ¹	m o̠ ¹
b y ¹	b y ¹
ɣ e ¹	h e ¹
g y ²	g u ²
a ¹	a ¹
y ²	a ²
tsʰ i ²	tsʰ ɿ ²
b ɛ ²	b ɛ ²
ˀn i ²	ˀn e̠ ³
l u ŋ ²	l u ²
ts i ŋ ³	ts i̠ ³
m o̠ ³	m o̠ ¹
ˀl u ³	ˀl u ³
ˀm j i ³	ˀm i ³
a ¹	a ¹
ˀm i ³	ˀm j e̠ ¹
b o̠ ¹	b o̠ ¹
n y ¹	n y ¹
ɣ e̠ ¹	ʃ y ¹
s e̠ ³	ʃ e̠ ³
ɣ e̠ ¹	ɣ e̠ ¹
a ¹	a ¹
ɣ i ²	dz a ŋ ²
b a ²	ɲ a̠ ¹
pʰ ɛ ¹	pʰ ɛ ³
n e ³	n e ³
a ¹	a ¹
ˀn i ³	ˀn i ³
ˀm i ³	m ɛ ³
tsʰ a ¹	tsʰ a ¹
