p r ʃ	p r s
qˤ tˤ p	qˤ tˤ p
tˤ aː j j b	tˤ j b
b r ʃ	b u r aː θ
ɣ b	ɣ b tˤ
ʔ i	ʔ a j j
s uː b	ʕ s b
u n	θ n
ʔ i l	ʔ i l
m n	m iː n
d a θ j j	d a θ ʔ
z m r	z m r
j a r b ʕ	j a r b ʕ
b ħ r	b ħ r
ʔ a r x	ʔ a r x
p t x	p t x
x r ʃ	x r ʃ
l j	ʔ a θ a l
b l	b h l
p sˤ d	p sˤ d
qˤ p	qˤ a p j
θ b r	θ b r
p r m	p r m
ʔ a r b a ʕ	ʔ a r b a ʕ
ɬ j x	ɬ j x
p	p s ħ
p l	p iː l
ʔ x t	ʔ a x aː t
ʔ tˤ m m	tˤ m m
tˤ ħ n	tˤ ħ n
ʃ a m n	ʃ a m n
ʔ a b r	ʔ a
ʔ a t n	ʔ a n t i n a
n ʃ qˤ	n ʃ qˤ
m r u	m a r ʔ
d r	h d r
ɣ w	ɣ tˤ w
r ʕ w w	r ʕ w
θ qˤ l	θ qˤ l
ʔ	ʔ iː
ɬˤ m d	ɬˤ m d
m n a	m n
qˤ d ħ	qˤ d ħ
a j r	tˤ a j r
d a m ʕ j	d m ʕ a t
ʕ a n z	ʕ n z
ʕ r u j	ʕ a
r ħ t	r aː ħ a t
m l i	m l ʔ
r g m	r g m
k a b i d	k a b i d
ʕ a t uː d	ʕ a t uː d
ɣ u r b	ɣ aː r i b
ʃ l ɬ p	ʃ a l a ħ p a w
ʕ	ʕ m s
ʃ b ʕ	ʃ a b ʕ
ɣ u r l	ɣ u r l
m a n a t	m n
k a r i ɬ	k a r i ɬ
p a ħ m	p ħ m
w qˤ d	w qˤ d
l d	l a ʃ d
p a r w	p a r r
θˤ a l m	θˤ l m
l a	l a ʔ a j a t
r ɬ m	r ħ m
k l	k l ʔ
k b s	k b s
n x l	n x l
ʔ a n	ʔ a n aː k u
p a	p a j
z w l	z l
ð a qˤ a n	ð a qˤ a n
tˤ i n	tˤ iː n
θˤ m ʔ	θˤ m ʔ
ħ i b r	ħ b r
k m	k m a
b r sˤ	b r sˤ
ʃ ʃ	ʔ m
a ɬ r m	ɬ r m
ħ a qˤ l	ħ a qˤ l
m u x	m u x x
b uː	b ʔ
n a sˤ sˤ	n a
m x r	m x r
ħ i m aː r	ħ i m aː r
ʃ i p p	ʃ p p
ʔ a θ	ʔ a n θ a t
d l w	d l w
ɣ ʃ	ʕ a w
z b uː l	z b l
m ʔ a t	m i ʔ a t
ɬ a ʕ r	ɬ a ʕ r
ɣ z a j l	ɣ z aː l
ɬ i m l	ɬ a m ʔ aː l
j d ʕ	w d ʕ
ɬ j m	ɬ j m
k i p p a	k p
qˤ a r qˤ a r	qˤ a r qˤ a r
ħ a b l	ħ a b l
b ʕ r	b ʕ r
ʃ	ʃ a
sˤ a l l l	sˤ l
p r r	p a ʔ r
n b l	n a b i l a t
t x x	t x x
g d	g iː d
qˤ a qˤ d	qˤ d qˤ d
ʔ j t	ʔ a j a t
ʔ i r	ʔ i m m a r
k a l a t	k a l l a t
w θ b	w θ b
x n z w t	x n z z
r d	tˤ r d
j	ʔ a j a sˤ
ɬ a p a t	ɬ a p a t
ɬ a p	ɬ a j p
ʕ b qˤ	ʕ a b a qˤ
m a r r	m r r
qˤ i θ θ	qˤ θ ʔ
ʔ a ʃ l	ʔ a ʃ a l
ʃ n	ʃ m
i b n	b i n
t ʃ ʕ	t i ʃ ʕ
d w m	d w m
b r	b r qˤ
ħ u m tˤ	ħ m tˤ
ʕ i g l	ʕ i g w a l
g b	g b
i θˤ j	ʕ θˤ aː j
ʔ r t	ʔ i r a t
tˤ b x	tˤ b ħ
m ʔ d	m ʔ d
ħ a r ð w n	ħ r d
l a θ ɣ	l a θ a ɣ
z i z	z iː z
p a r ʕ	p a r ʕ
ʔ x ð	ʔ x ð
d aː d	d aː d
k r s ʕ	k u r s ʕ
b l j	b l j
sˤ r	ʕ sˤ sˤ uː r
ʃ m ħ	ʃ m aː x
ʔ n ħ n	n i ħ n u
b qˤ l	b qˤ l
qˤ p sˤ	qˤ p sˤ
n aː b	n aː b
ʃ u w	ʃ u
qˤ r sˤ a l l	qˤ r s
b t t	b t t
ʔ i t	ʔ i t
g r r	g r r
k s m	k s m
ħ m t	ħ a m aː t
g b b x	g b x
ð r ʕ	ð a r ʔ
ʔ a r b aː	ʔ a
p w qˤ	p w qˤ
p r j	p r j
ʃ ʃ m	ʃ u m ʃ u m
r ħ	r ħ ɬˤ
ʔ u z n	ʔ u ð n
ʃ m m	ʃ
ħ m r	ħ m r
m uː qˤ	m qˤ
d i b ʃ	d i b ʃ
ʃ a m k	s m k
ħ i tˤ t	ħ i n tˤ a t
ħ z w	ħ ð j
z i z	z iː ð
m a t n	m a t n
d r r	d r r
ʔ r	ʔ tˤ r
l ɣ n	l ɣ
ʃ	ʃ u m u
ʕ m d	ʕ m d
ʃ l	ʃ l
θ m n	θ a m aː n i j
ʕ a qˤ i b	ʕ a qˤ i b
k u r k i j j	k u r k i j
ʕ a k b r	ʕ a k b a r
p ħ l	p a ħ l
k ʃ d	k i ʃ aː d
b u r	b i ʔ r
ʔ a m t	ʔ a m a t
l a l	l a ʔ l a ʔ
ɬ m x	ɬ m x
ɬ b ʕ	ɬ b ʕ
g l p	g l p a t
w a w r qˤ	w r qˤ
h w j	h w j
s n uː n	s n uː n a t
b a qˤ qˤ	b a qˤ qˤ
m ʃ j	m u ʃ j
k r	k a
ʕ θ	ʕ θ θ
n ɬ	n ɬ ʔ
a r r	w
θˤ i l l	θˤ i l l
ʔ θ l	ʔ a θ l
ħ d d	ħ d d
ʃ b	θ b l
j a m n	j a m n
ɣ p r	ɣ p r
g a l g a	g l g l a t
ɬ u r b n	θ r m iː n
b ɬ r	b ɬ r
ʔ a b	ʔ a b
qˤ d ʃ	qˤ d ʃ
s uː s	s aː
l i ʔ m	l ʔ m
ʔ u r	ʔ r
j u w m	j a w m
t a j ʃ	t a j ʃ
h a j r uː n	ʔ n a r
x l a	x aː l a t
qˤ d m	qˤ d m
ʔ a l m a a t	ʔ a l m a n a t
b a ʕ l	b a ʕ l
ħ m m t	ħ m m
ʔ a r ɬˤ	ʔ a r ɬˤ
ɬ r p	ɬ r b
b n t	b i n t
θˤ a b j	θˤ a b j
k j ʃ	k
θ a l g	θ a l g
ħ ɬ	ħ l p
b r	b u r ʕ
k r ʕ	k u r aː ʕ
ʕ u n qˤ	ʕ n qˤ
ʃ l qˤ	ʃ l qˤ
sˤ a r sˤ r	sˤ a r sˤ a r
θ ʔ w	θ a ʔ a t
k w s l	k s l
t b ʕ	t b ʕ
b r j	b r j
t i n	t i ʔ i n
ʔ k l	ʔ u k l
ʃ l ʃ	ɬ a l aː θ
p r ɣ θ	p r ɣ θ
ʕ a j n	ʕ a j n
p a r θ	p a r θ
	ʔ i ʃ
x r ʃ	x r ʃ
r b k	r b k
b sˤ sˤ	b ɬˤ ɬˤ
ʃ i n n	ʃ i n n
ħ a l ʔ	ħ
g ɬ	g ɬ ʕ
ʔ b r	ʔ b r
ʕ ɬ r	ʕ a ɬ r
ħ m a ɬ d a	ħ m d r
l b ʃ	l b ʃ
g m m	g a m g a m
z a r z r	z a r z iː
k a l b	k a l b
t l aː ʕ	t l ʕ
ʔ i b r j	ʔ i b r a t
n a j	n
ʔ b l	ʔ b l
z i b l	z i b l
n b l	n a b a l
ɬ b r	ɬ b r
ʃ	m s
qˤ r r	qˤ r r
ð b b	ð b b
l w j	l w j
w r d	w r d
qˤ a l	qˤ a l b
qˤ a r n	qˤ a r n
qˤ u tˤ r	qˤ tˤ r
r b w	r b j
b a j t	b a j t
ħ u p n	ħ u p n
ɣ u	ɣ u l l
m a ʃ k	m a ʃ k
ʔ i m m	ʔ i m m
b θ	b w θ
p qˤ d	p qˤ d
ð qˤ p	z qˤ p
ʔ a x	ʔ a x
n p ʃ	n a p ʃ
p a ʔ	p a ʔ ʃ
ʃ t j	ʃ t j
t i l l	t l l
b r i k	b i
l a qˤ l a qˤ	l a qˤ l a qˤ
i ɬ l	ħ i l
qˤ	qˤ aː ʕ
d d	g d a t
m sˤ	m θˤ ʔ
θ u w r	θ a w r
ħ m	ħ a m
ʃ b u l t	ʃ u b u l a t
b ʃ l	b ʃ l
k a ɬ p a l	k a p l
b r r	b r r
ɣ r n qˤ	ɣ r n iː qˤ
r b	r u
ɣ r b t	ʕ r b
t i h aː m	t i h aː m
n ʃ	n ʃ
ʔ a tˤ	ʔ a tˤ a d
ʔ a p	ʔ a n p
ɬ r m	ɬ r m
p r ɬˤ	p r ɬˤ
d w j	d w j
ʃ qˤ j	ʃ qˤ j
x u r uː p	x r p
θ i θ n a j	θ i n aː
ʔ m d n	m d iː n
n a r	n w r
ð k j	ð k j
ħ k k	ħ k k
n p ʃ	n p ʃ
ʔ n ʃ r	n x r
b a r qˤ	b a r a qˤ
n sˤ j	n aː sˤ i j a t
ʔ a b n	ʔ a b n
d a j d	d d
n a ʕ m	n u
ʔ a m ʃ	ʔ a m ʃ a j
sˤ ɣ r	sˤ ɣ r
p n	p a n
qˤ a m ħ	qˤ a m ħ
g l	g i l ʕ
ħ a r ɬ a p	ħ a r a p
b j t	b j t
ʃ r	j ʃ r
x tˤ tˤ	x tˤ tˤ
n n	ʔ n j
ħ i w l ʔ	ħ i l
p a r	p a r ʔ
ʕ a r ʕ a r	ʕ a r ʕ a r
w ʃ n	w ʃ n
l a ʃ aː n	l i ʃ aː n
h r j	h r j
l	p l k
d aː r	d a w r
t u l i ʕ	t a w l i ʕ a t
d a m	d a m
ħ b tˤ	ħ b tˤ
b a a qˤ	b h qˤ
ʔ ʃ	ʔ i ʃ
k θˤ r	k i
g a p p	g a p p
p a x r	p x r
b u tˤ	b u tˤ m
ʃ a d	ɬ a d a w
g n n	g n n
k a n a p	k a n a p
ʃ m ʕ	ʃ m ʕ
ʃ u r m	s u r m
d u r	d r d r
ʃ tˤ	ʃ qˤ tˤ
k n	k m
d j n	d j n
m x ɬˤ	m x ɬˤ
p ʕ m	p a ʕ m
m ʕ j	m ʕ a j
ħ a r g l	ħ a r g a l
w	ɬˤ a j w
l ʃ	l ħ ʃ
ħ m θ	ħ a m θ
b a ʕ l t	b ʕ l
ð a k a r	ð a k a r
ʔ r ʃ	ʔ r ʃ
d d a	d aː d a t
w r m	r m
ʕ m qˤ	ʕ m qˤ
ʔ a j j a l	ʔ a j j a l
ʔ l ʕ	ʃ
p tˤ r	p tˤ r
m t i	m u t
g a	g i ɬ ɬ
qˤ r d	qʷˤ r d
ɬ u r ʃ	ɬ r ʃ
k a t p	k a t i p
n qˤ	n h qˤ
a l w j	l w
ʔ i b	ʔ w j
t r	t r r
b x r	b x r
ʃ l t	ʃ i l j a t
k a b	k a b ɬ
ʃ a ħ a r	ʃ a ħ r
x a m ʃ	x a m ʃ
r u ʃ	r a ʔ ʃ
ʔ a t	ʔ a n t i
x u tˤ r	x u tˤ r
d a ʔ j a	d a ʔ j
p a θ a n	b a θ a n
ɬˤ r tˤ	ɬˤ r tˤ
l ħ m	l ħ m
x i l p	x i l aː p
ʔ r k	ʔ r k
ʔ d m	d h m
p ʃ	p ʃ w
ʔ a m t	ʔ a m m a t
ʕ r p	ɣ a r p
p l	p l ħ
ɣ m d	ɣ m d
ɬ ɬ m	ɬ a ħ m
qˤ n a t	qˤ i n n
t a b n	t i b n
ɬˤ ɬˤ i	w ɬ ʔ̣
ħ a n n	ħ a n n
b ʃ	b ʔ ʃ
b ɣ j	b ɣ j
x l	x l ʃ
ɣ ɬ p r	ɣ a p a r
n a p ʃ	n a p a
qˤ b r	qˤ b r
m ɬ	m u ɬ tˤ
k i l a	k i l ʔ
b l l	b l l
b n j	b n j
ʔ d m	ʔ d m
l a b	l a b b
p i ʃ r	p ʃ r
n qˤ b	n qˤ b
d qˤ qˤ	d qˤ qˤ
n a ħ l	n ħ l
m r i	m r ʔ
θ ʕ l	θ ʕ l
ʕ qˤ	ʕ i d qˤ
tˤ ʕ m	tˤ ʕ m
ʔ a r n b	ʔ a r n a b
θˤ u r r	θˤ r r
r ʔ m	r ʔ m
m r	m u h r
ʔ a t aː n	ʔ a t aː n
ʔ b h m	b h n
sˤ	ɬˤ j qˤ
ʔ l n	ʔ a l l
h l k	h l k
sˤ n	ɬˤ a ʔ n
ʃ ʕ	θ ʕ j
ʔ a ħ a d	ʔ a ħ a d
l ħ j	l ħ j a t
b k r	b k r
l w θ	l w ʃ
p r ʕ	p r ʕ
qˤ a n	qˤ a n a j
x a m ʔ a t	x i m ʔ a t
b l	b l tˤ
r ʃ ʕ	r ʃ ʕ
g r d	g r d
ʕ ɬ r	ʕ i ɬ r uː
θ a r b	θ a r b
ʔ a n t a	ʔ a n t a
ʃ g ʕ	ʃ g ʕ
ʔ i w	ʔ a
r a ħ i m	r a ħ i m
ʔ ʃ	j θ w
d m m	d m m
ʕ z b	ʕ ð b
ʕ θˤ m	ʕ a θˤ m
ʃ	s ħ
ʔ a ɬˤ sˤ	x a m
g a r a b	g a r a b
ħ a s s	ħ a s iː s
ʕ a d	ʕ a d a j
h n n aː	h a n n i
θˤ i p r	θˤ i p r
k b r	k b r
p l	p l
d l l	d l l
ħ a r a ʃ	ħ r ʃ
z a p p	z a p p
ʃ tˤ r	ʃ tˤ r
g m r	g m r
ʃ a k	ʃ l k
p r qˤ	p r qˤ
n a x a l	n a x l
ɣ ɣ	tˤ a ɣ
k u l	k a l
d m qˤ	d m qˤ
m t qˤ	m tˤ qˤ
n ɣ r	n ɣ r
ʔ a t m	ʔ a n t u m u
p a r	p a r ɣ
m aː w	m a j
ɬˤ a r ʕ	ɬˤ r ʕ
ʔ a r	ʔ a r m
ħ b ɬ j a	ħ b ɬₓ
d aː r	d w r
ħ r b	ħ r b
r a w	r a ʔ
s m m	s m m
ħ i m t	ħ i m a t
ɬˤ i r ʃ	ɬˤ i r ʃ
b tˤ ħ	b tˤ ħ
ɣ a r	ɣ aː r
ʔ ʃ d	ʔ i ʃ d
ʃ k r	ʃ k r
qˤ w qˤ n	qˤ qˤ n
n x r	n a x iː r
ð a ʕ a t	ð ʕ a t
qˤ qˤ	qˤ a ʔ
m θ l	m θ l
d	j a d
θ a p r	θ a p r
ɣ r n	ɣ r n
p r r	p r r
a θ t n	θ j n
ɬ a r	ɬ a h r
h ð j	h ð j
n a m r t	n m r
ʃ ʕ x l	ʃ ʕ l
