ˀb u ⁵⁵	ˀb ə ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
k i ¹¹	k i ¹¹
k w a ɴ ¹¹	g l a m ¹¹
j ə ⁵⁵	j ai ⁵⁵
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
m e ¹¹	m e ¹¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
m̥ a ¹¹	m̥ a ¹¹
s r e ⁵¹	s r e ³³
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
p ə ŋ ⁵⁵	b ə ŋ ⁵⁵
⁵⁵ u ¹¹	h ou ¹¹
m ɛ ʔ̚ ⁵⁵	m ɛ ʔ̚ ⁵¹
j a ⁵⁵	j ə ⁰
kʰ o ¹¹	kʰ o ⁵⁵
pʰ l ɨ m ⁵⁵	pʰ r ɨ ɴ ⁵⁵
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
d ə ⁰	s ə ⁰
kʰ w i ¹¹	kʰ w i ¹¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
l e ¹¹	l e ¹¹
kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
n ə ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
ˀd ə ⁵⁵	ˀd ə ⁵⁵
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
kʰ l ə ⁵⁵	kʰ l i ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
l a ɴ ŋ ¹¹	l̥ a ŋ ¹¹
b r a ¹¹	b r a ¹¹
d ə ŋ ¹¹	d ə ŋ ¹¹
m ɨ n ⁵⁵	m w ɨ ɴ ⁵⁵
ʔ ɔ ¹¹	ʔ ɔ ¹¹
kʰ r a ¹¹	g r a ¹¹
d ə ʔ̚ ⁵⁵	t ə ʔ̚ ⁰
b r o ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
tʰ ⁵⁵ ⁵⁵	tʰ ɔ ŋ ⁵⁵
cʰ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
ˀd ɛ ⁵⁵	ˀd ɛ ⁵⁵
n̥ ⁵⁵ ¹¹	n̥ ɔ ɴ ¹¹
k i ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
kʰ w i ⁵¹	kʰ w i t ⁵¹
d ə ŋ ⁵⁵	k ə ⁰
j a ɴ ¹¹	j a m ¹¹
c i ¹¹	ɟ i ¹¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
cʰ a ⁵⁵	cʰ a ⁵⁵
m i ⁵⁵	m i ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
⁵⁵ ɛ t ⁵¹	h a t̚ ⁵¹
d a ⁵⁵	t ə ⁰
kʰ r ei ¹¹	kʰ r ei ¹¹
p i ¹¹	b i ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
d e ⁵⁵	d e ɴ ⁵⁵
tʰ o ¹¹	tʰ u ¹¹
s r ɔ ¹¹	s r ɔ ¹¹
s o ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
n̥ u ¹¹	n u ¹¹
r ou ¹¹	r ou ¹¹
kʰ r o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁵¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
p ⁵⁵ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
s a ⁵⁵	s ə ⁰
ˀb w a ¹¹	p j a ¹¹
kʰ l o ¹¹	kʰ l o ¹¹
kʰ l ei ¹¹	kʰ l ei ¹¹
cʰ ou ¹¹	cʰ r ou ¹¹
k ⁵⁵ ⁵⁵	k ə ⁰
ˀb ai ¹¹	ˀb a ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
n e ŋ ¹¹	n̥ e ŋ ¹¹
d ə ŋ ⁰	k ə ⁰
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
tʰ o ⁵⁵	tʰ au ⁵⁵
k a ʔ̚ ¹¹	k ə ʔ̚ ⁰
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
kʰ u ¹¹	kʰ u ¹¹
d ⁵⁵ ⁰	s u ⁵⁵
m e ¹¹	m̥ e ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
k i ⁵⁵	k i ⁵⁵
k ə ⁵⁵	k ɨ ⁵⁵
p r u ⁵⁵	p r u ⁵⁵
m ə ¹¹	m ə ¹¹
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
l ou ⁵⁵	kʰ r ou ⁵⁵
ʔ e ¹¹	ʔ e ¹¹
j a ⁵⁵	r j a ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
m a ⁵⁵	m̥ a ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
j ou ¹¹	j ou ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
