tʃʰ i̠ ¹	ˀm j y̠ ¹
ˀn o̠ ³	ˀn u̠ ³
ˀl a ³	ˀl a ŋ ³
ɣ a ŋ ²	v a ŋ ²
ʒ o̠ ¹	ʒ o̠ ¹
kʰ o̠ ³	kʰ o̠ ³
s u ²	ʃ u ²
ʒ a ²	m a ²
pʰ i ²	pʰ i ²
ɣ a ¹	ˀv a ¹
b j i ²	pʰ u ¹
m a ²	ˀm u ¹
a ¹	a ¹
k ɨ ¹	k j o ²
k ɛ ³	k u ²
l i ¹	ˀl i ¹
ɣ i ²	ɣ o ³
tʃʰ ¹	e ²
a ¹	a ¹
ˀɲ i ¹	ˀn i ¹
p u ²	b a ŋ ²
b y ¹	p ɨ̠ ¹
n e̠ ³	n e̠ ³
l ¹	e̠ ¹
g j y ²	g y ²
l y ³	ˀl y ³
s i̠ ¹	s o̠ ³
m e ³	m i ¹
kʰ a ŋ ³	kʰ o̠ ³
ˀn e ²	n e ²
x a̠ ³	x a̠ ³
ɣ i ¹	ɣ i ¹
z a ²	z a ²
m ɛ ²	m ɛ ²
b j a ²	b j a ²
s i̠ ³	ʃ i ³
a ¹	a ¹
g o ²	g u ²
l a̠ ³	l ɛ̠ ³
ˀm j e̠ ¹	ˀm j e̠ ¹
ˀm j e ³	ˀm i ³
pʰ i ²	pʰ e ²
a ¹	a ¹
ɣ i ³	ɣ i̠ ³
ʒ e ¹	dz ɿ ³
k i ¹	k i ¹
ɣ i ²	v u ¹
a ¹	a ¹
h a ²	h a ¹
ts i ¹	ts u ¹
ˀm a ³	m a ³
b o̠ ¹	b o̠ ¹
m j a ¹	m j a ŋ ¹
v a ³	v a ³
b j i ³	b j e̠ ³
m a ³	m a ³
h a ²	h a ŋ ²
b o ² ¹	b a ²
d a ²	d a ²
a ¹	a ¹
ɣ ²	i ²
tʃʰ i ³	tʃʰ i̠ ³
a ²	a ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ˀn i ¹	n i ¹
ˀn ɛ ¹	n ɛ̠
l i ¹	ˀl i̠ ³
p a ¹	p a ¹
ɣ a ³	ɣ a ³
n e ¹	n e̠ ¹
k o̠ ³	k o̠ ¹
dʒ e ²	dz e ²
k o̠ ¹	k o̠ ³
pʰ ɛ ²	pʰ e ²
d u ¹	d u ¹
s u ³	s e ³
tsʰ i̠ ²	kʰ j i ²
ɣ u ¹	t ɛ ¹
ɣ i̠ ¹	ɣ a ŋ ²
a ²	a ²
g o̠ ²	g o̠ ³
g i ¹	g i ¹
p u ²	pʰ u ²
b y ¹	b y ¹
tsʰ e ¹	tsʰ u ¹
s e̠ ³	s e̠ ³
a ¹	a ¹
n u ²	n i ²
a ¹	a ¹
l y ¹	l y ¹
m u ²	ˀm u ¹
l o̠ ¹	l u̠ ¹
b o ¹	b ɨ̠ ¹
kʰ o̠ ¹	kʰ o̠ ¹
l a ŋ ¹	l a ŋ ¹
a ¹	a ¹
l i̠ ³	l e̠ ³
v i̠ ³	ˀv i̠ ³
k u ²	d u ²
t e ¹	t i̠ ¹
m i̠ ³	ˀm u ²
dz i̠ ¹	dz e ¹
ɣ a ¹	ˀv a ¹
m ɛ ²	m ɛ ²
ˀm e̠ ³	ˀm e̠ ¹
l a ²	l a ²
ts i̠ ³	ts e̠ ³
pʰ ɛ ¹	pʰ ɛ ³
d y ²	d y ²
n y ¹	n y ¹
tʃʰ u ³	tsʰ y̠ ³
z i ²	z i ²
l a ¹	l a ¹
a ²	a ¹
tsʰ e ¹	tsʰ e ¹
l a ²	l a ²
s a ¹	s u ¹
tʰ e̠ ¹	tʰ e̠ ¹
d i ²	d i ²
a ¹	a ¹
dʒ ɛ ²	dʒ ɛ ²
m a ³	m a ³
k u ¹	kʰ u ¹
b y ³	b y ³
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
k u ¹	k u ²
l i ²	ˀl i ²
ʒ o̠ ¹	p o̠ ¹
k a ³	d u ³
ˀl y ¹	ˀl y ¹
ʒ e̠ ¹	ɣ e̠ ¹
s y ¹	s y ¹
tsʰ ɨ ¹	tsʰ y ¹
z e̠ ³	z e̠ ³
ˀx a ²	x a ²
tʃʰ a ¹	d a ŋ ¹
pʰ j a ¹	pʰ j a ¹
x i̠ ³	dʒ i ²
a ¹	a ¹
pʰ e ²	pʰ e ²
d i̠ ¹	d i ¹
ʒ a ¹ ³	n i̠ ³
kʰ i ¹	kʰ i ¹
d e̠ ³	d ɛ̠ ³
ˀn i ³	ˀn i ³
pʰ ɛ ¹	pʰ ɛ ³
ʃ i ¹	ʃ i̠ ¹
kʰ o ŋ ³	kʰ j o ³
z a ²	z a ²
k ³ ¹	kʰ y ¹
m i ¹	m ɨ ²
k o̠ ¹	k a ¹
dz y ¹	dz y ¹
b u ²	tʃ u ²
tʃʰ i ²	tʃʰ i ²
kʰ i ¹	kʰ i ¹
ɣ a ¹	g j a ¹
m a ³	m a ³
pʰ e̠ ³	pʰ e̠ ³
ɣ a ¹	b a ŋ ³
l a̠ ²	l a ²
ts a ³	ts a ³
m i̠ ²	m o ²
ʒ o ²	m o ²
kʰ ɛ ³	dʒ e ¹
m o ¹	m o ²
ts e ¹	ts e ¹
ˀn i ³	ˀn i ³
kʰ a ¹	kʰ a ³
tsʰ e ¹	tsʰ e ¹
tʰ y ³	tʰ y ¹
s o ¹	ɣ u ²
l e̠ ³	l e̠ ³
ɣ y ¹	dz i ¹
l a ²	l a ²
k a ŋ ²	k a ŋ ²
k u ¹	k u ¹
k a ¹	k a̠ ³
ɣ u ³	p ɛ ³
ts ɛ ³	ts ɛ̠ ³
a ¹	a ¹
n u ²	n i ²
s e ¹	s e ¹
d u ²	d i ²
tʃʰ u ¹	d i ¹
d a ¹	d a ŋ ¹
s a ¹	s a ¹
z e̠ ³	z e̠ ³
x i̠ ¹	k u ¹
kʰ a ³³	kʰ a ³
ɣ a ²	ɲ a̠ ¹
l o ³	k j i ³
ɣ a ³	g a ³
tsʰ y ¹	tsʰ a m ¹
t a ¹	t a ⁵⁵
k y ³	k j o̠ ³
k y ¹	t u ¹
tʰ a ²	tʰ a ²
ʃ i ¹	ʃ i̠ ¹
k a ³	k a ¹
l a ŋ ³	l a ³
s ³ ²	m o ²
p y ¹	p y ³
g i ³	tʰ e̠ ³
t a ¹	t a ⁵⁵
n ɛ̠ ¹	n ɛ ³
s ɛ̠ ³	s ɛ̠ ³
dʒ a ¹	dʒ a ¹
a ¹	a ¹
tsʰ i̠ ¹	k i ¹
ɣ a ²	x a ¹
l i ¹	l i ¹
g o̠ ²	g o̠ ³
l e̠ ² ³	l e̠ ³
ts i ³	tʃ i̠ ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
p a̠ ³	p a̠ ³
t o̠ ³	d o̠ ³
p a ¹	p a ¹
ʒ o̠ ¹	ʒ o̠ ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
pʰ ɛ ²	pʰ ɛ ²
v e ¹	v e ¹
a ²	a ²
t u ¹	t u ²
m o̠ ²	m o̠ ¹
dz i ¹	dz i ¹
t e ¹	t i ¹
ˀm i ³	m i ¹
m j a ²	m j y ²
s a̠ ³	ʃ a̠ ³
ɣ ɨ ¹	ɣ i ¹
ɣ ²	ɛ ²
b ɛ̠ ¹	b ɛ̠ ¹
t a̠ ³	t a̠ ³
t i ³	t a ³
ɣ o ²	ɣ o ¹
ɣ i ¹	ɣ i ¹
l e ³	ˀl u̠ ¹
ɣ i̠ ³	dz i̠ ¹
v ¹	v u ¹
tsʰ i̠ ²	tsʰ i ²
tʰ a ²	tʰ a ²
k a ²	k a̠ ³
l e̠ ³	l e̠ ¹
m j e ³	m j a ³
k ɛ ³	f ɛ ³
pʰ y ¹	pʰ y ²
a e̠	a ²
ɣ ɛ ¹	ˀm ɛ ¹
ˀm e̠ ³	ˀm j e̠ ¹
dz i̠ ²	dz i ³
t e ²	t i ²
kʰ i ²	kʰ ɨ ²
kʰ a ²	kʰ a ²
tʰ e ³	tʰ e̠ ³
kʰ ɛ̠ ¹	kʰ a̠ ¹
t y ²	t y ²
tʰ u ¹	tʰ u ¹
a ²	a ¹
l a ŋ ²	l a ŋ ²
tsʰ e̠ ¹	tsʰ e̠ ³
b i ²	b j o ²
b u ¹	p e ¹
tʃ a̠ ³	tʃ a̠ ³
ŋ a ¹	ŋ a ¹
g o ²	g u ²
z a ²	z a ²
pʰ ɨ ¹	pʰ ɨ ¹
l i ²	ˀl i ²
s i ¹	ʒ a ¹
k i̠ ²	k u ³
a ¹	a ¹
a ²	a ²
s i ¹	s i ¹
a ¹	a ¹
n i̠ ¹	n i̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
ɣ a̠ ¹	g a ¹
tʃ a̠ ³	tʃ ɛ̠ ³
a ²	a ²
s ɛ ²	s ɛ ²
ɣ e̠ ¹	v e ³
dʒ i ¹	dʒ i ¹
b y̠ ³	b y̠ ³
s a ²	s a ²
a ¹	a ¹
ts e ¹	tsʰ e ¹
m j a ²	m j a ²
ʒ i ²	pʰ ɨ ²
ɣ u ŋ ¹	x e ¹
m a ²	m ɛ ²
tʃ a ³	tʃ a ³
k a ¹	k j i ³
h a ²	h a ŋ ²
ˀl a a ŋ ¹	ˀl u ²
ts e ¹	ts e ¹
tsʰ e̠ ³	d u ¹
tsʰ i ²	tʃʰ u ²
l a ²	l a ²
t e̠ ¹	t e̠ ¹
kʰ e ²	kʰ ɨ ²
tʃ i ¹	tʃ u ¹
dz a ²	dʒ ɛ ²
ɣ e̠ ²	p a̠ ³
g a ²	g i ²
ˀx i ¹	x ɨ ¹
tʃʰ e ²	tʃʰ e ¹
tʃʰ e ¹	tʃʰ e̠ ¹
tʰ a ŋ ²	tʰ a ŋ ²
tsʰ u ²	tsʰ ɛ ²
t i ²	t i ²
g a ³	g a ³
k ¹ i̠ ¹	m i ¹
l y̠ ³	ˀl y̠ ³
pʰ a ²	pʰ a ²
ɣ o̠ ¹	t u ¹
ʒ i ¹	dz i̠ ¹
k i ¹	k i ¹
p e̠ ²	p j ɨ ²
m o ¹	m o ²
n e̠ ³	n e̠ ³
ɣ i ²	pʰ ɨ ²
ʃ e ¹	ˀx y ¹
d e ¹	d e ³
l u ¹	pʰ u ¹
b a̠ ¹	b ɛ̠ ¹
s y ²	ʃ y ²
l a ¹	h a ¹
m o ³	m u ³
tsʰ i ²	tʃʰ i ²
kʰ ɨ ¹	kʰ i ¹
v a ²	v a ²
s a ³	j a ŋ ²
z i ³	x i̠ ³
d e ¹	d e ³
tʃʰ e ¹	kʰ j e ¹
g ɛ ²	kʰ u ²
ʃ a ¹	ʃ a ¹
s o ²	s y ²
ʃ e ¹	x e ¹
m a ¹	m o ²
m a ²	m a ²
kʰ u ¹	kʰ u ¹
a ²	a ²
kʰ i ¹	kʰ i ¹
m ²	m̩ ²
k u ¹	k u ²
pʰ i ²	p i ²
ɣ ²	e ²
tʃʰ e ³	t i̠ ³
pʰ a ²	pʰ a ²
m a ³	m a ³
tʃʰ ²	ɨ̠ ³
ɣ y ¹	ˀn i ¹
ʒ i̠ ¹	ˀŋ j a̠ ¹
p a̠ ³	p a̠ ³
k ɛ ¹	k j ɛ ¹
b a ŋ ¹	ɲ a ¹
ɣ a ³	tsʰ ɛ̠ ¹
z a ²	z a ²
l e̠ ³	l e̠ ³
d e ¹	d i ¹
d i̠ ³ ¹	ˀm j y̠ ¹
m o̠ ³	m o̠ ³
pʰ y ²	pʰ j y ²
a ¹	a ¹
pʰ o ²	pʰ o ²
b e ²	v y ²
ʃ ɨ ²	ʃ ɨ ²
kʰ u ¹	kʰ u ¹
s e ¹	s ɛ ²
b ɛ ¹	b ɛ ¹
k a ³	k o̠ ³
z a ²	s u ¹
s ¹ ¹	ʃ y ¹
n a̠ ¹	n a ¹
s e ¹	s e ¹
ˀv e̠ ¹	ˀv e̠ ¹
t e ²	t e ²
a ¹	a ¹
ˀx i ²	x ɨ ²
tsʰ o ³	tsʰ y̠ ¹
v e̠ ³	v e̠ ³
pʰ i ²	p i ²
n i ²	n i ²
m a ²	m o̠ ³
dz i̠ ²	dz i ²
ɣ i ¹	ɣ ɨ ¹
h e ¹	h e ¹
dz i̠ ²	dʒ i ²
ˀn i ³	ˀn i ³
d a ¹	d a ¹
g u ¹	g a ¹
ʃ a ³	ʃ ɨ̠ ³
n y ¹	n y ¹
