ɛ j ɛ ³	p j ɛ ³
² e ³	tʃ i ²
ɛ a ¹	p a ŋ ¹
b j a m ¹	b j a ŋ ¹
s a ⁴	ʃ a ¹
ŋ a n ¹	ˀŋ a n ¹
² a k ⁴	p a k ⁴
a i ¹	n i ¹
ŋ u ¹	ŋ u ¹
d u ²	tʃ u ²
ˀn ² ¹	ˀn a ŋ ¹
k j a m ¹	k j a m ¹
g j o k ⁴	ˀk r u k ⁴
g j a ²	g j a m ²
n ɛ ¹	n ɛ ¹
t a b ⁴	d a t ⁴
a ɛ b ¹	ˀtʃ a t ⁴
l a ŋ ³	l a ŋ ³
ŋ a ¹	ˀŋ a ¹
t a ²	d ʊ ²
r a k ⁴	r a k ⁴
d a ²	d a ŋ ²
a ¹	ʔ a m ¹
² o ²	ˀr o ²
ŋ j ɛ p ⁴	ŋ j a t ⁴
ˀtʃ i ŋ ³	dʒ i ŋ ³
j a ¹	j a ŋ ¹
b a ⁴	ˀp a ³
ŋ a ¹	ŋ a ¹
s a k ⁴	ˀs a k ⁴
ts a ²	ts a ²
b a ¹	b a ¹
d i ŋ ²	d i ŋ ²
s u m ²	s u m ²
a r ai ¹	m j i ¹
m a p ²	m a t ⁴
s a ŋ ²	s i ŋ ²
k ai ²	k ai ²
ˀtʃ a p ⁴	dʒ a k ⁴
ŋ u ²	ˀɲ u ²
a a ¹	dz a ¹
a a ⁴	ʃ a m ¹
b j a p ⁴	b j a k ⁴
a ɛ p ⁴	tʃ a p ⁴
t a ³	ˀt a ³
t o ʔ ²	d o ²
² a p ⁴	ˀr a k ⁴
t u ⁴	d ʊ ¹
ɛ ² ¹	s a m ¹
j a ³	w a m ³
ts a m ⁴	ts a m ¹
k ɛ p ⁴	k a p ⁴
a p ⁴	w a k ⁴
a ai ¹	ˀm ai ¹
ŋ i k ⁴	s u t ⁴
ŋ a k ⁴	ˀŋ a k ⁴
² ɛ ²	ˀts a t ⁴
t u ŋ ²	t u ŋ ²
m r a ŋ ¹	m r a ŋ ¹
ŋ a	ŋ a n ¹
d a k ⁴	d a k ⁴
k r u ²	k j u ³
s a n ²	s a n ²
j i m ¹	ˀj i m ¹
j a m ¹	j a m ¹
b i g ⁴	b i k ⁴
ts i ¹	tʃ i ¹
n u ³	n u ³
g j u g ⁴	g j u k ⁴
g i n ²	g a n ²
j i b ⁴	j i p ⁴
² a p ⁴	tʃ a k ⁴
t a ²	ˀt a ²
g j a ²	g j a ²
ˀl ai ¹	ˀl ai ¹
a ŋ ²	ˀk j i ²
² a t ²	k a t ⁴
ˀt a ŋ ²	ˀt a ŋ ²
n i g ⁴	n i k ⁴
b ² ¹	ˀp e ¹
m i ²	m e ²
g i g ⁴	ˀk i k ⁴
g r a g ¹	g r u k ⁴
g j ² ²	ˀk j u ³
ˀtʃ r a ²	dʒ a ²
ts ai ⁴	ˀts ai ¹
g j i k ⁴	ˀk j a k ⁴
s a a ⁴	ˀs u t ⁴
b i g ⁴	ˀp i k ⁴
j a ⁴	ˀn i k ⁴
b j a p ⁴	ˀp j a t ⁴
dz a ²	dz a ²
m a ⁴	m a ³
a ¹	ʃ a ŋ ¹
ˀp u k ⁴	p u k ⁴
j a ¹	w a ¹
ŋ a p ⁴	ˀŋ a p ⁴
m u ²	m u ²
m a ŋ ²	m a ŋ ²
² ai ²	ˀs ai ²
r u k ⁴	r u k ⁴
⁴ i m ⁴	l u m ¹
b j i ŋ ¹	b j i ŋ ¹
g r a k ⁴	g r a k ⁴
