u n	θ n
b tˤ l	b tˤ l
ʔ i	ʔ i m m a r
b t u l	b a t uː l
b r	ɬ b r
d k	ð k j
k b r	k b r
sˤ t	x a m
b l l	b l
θ ʕ	ʃ g ʕ
ɣ j	ɣ θ j
l i b b	l i b b
x a ʃ ʃ	ħ a s iː s
k i l	k i l ʔ
l b ʃ	l b ʃ
k a r aː	k a r a θ
p l	p l ħ
d i b r	d a
ð k r	ð k r
sˤ a r ʕ	ɬˤ r ʕ
ʔ r	ʔ tˤ r
ɬ a h r	ɬ a h r
p qˤ	p w qˤ
ʕ a n z	ʕ n z
qˤ l	qˤ l ħ
ɬ i m ʔ aː l	ɬ a m ʔ aː l
tˤ n	tˤ iː n
ħ a m	ħ a m
t a ɬ ʃ	t a j ʃ
ʔ a m t	ʔ a m a t
ʕ t d	ʕ a t uː d
t r	t a m a r
n ʕ m	n u
i ħ l l	ħ i l
ɣ l p	ɣ l p
ð aː d	ð
ʃ k r	ʃ k r
n qˤ	ʕ n qˤ
k p p l t	k a p l
ʔ a r b a ʕ	ʔ a r b a ʕ
sˤ j	ɬˤ a j w
ʔ x ð	ʔ x ð
r ʃ ʕ	r ʃ ʕ
x u r p	x r p
ʔ r	ʔ r
m a	m a j
ʃ j	ʃ i
d m qˤ	d m qˤ
θ i i	θ a qˤ i d
b l	p l k
r ʔ a j	ʔ r aː w
l ʃ	ɬ a l aː θ
p a r t	p a ʔ r
ʃ l p p	ʃ a l a ħ p a w
ʔ a m t	ʔ a m m a t
k a b d	k a b i d
ħ m ɬ a m	ħ m d r
ʃ ʔ l	ʃ ʔ l
k ʃ	k s m
ʔ n	ʔ a n aː k u
x z a r	x z iː r
b r	b r m
ɬ r m	ɬ r m
d aː r	d w r
r b ɬˤ	r b ɬˤ
qˤ a n	qˤ a n a j
ʃ b l	ʃ u b u l a t
θˤ	ʔ a j a sˤ
n w m	n w m
ɬ r m	ɬ r m
ħ	ħ p ɬ
qˤ d ʃ	qˤ d ʃ
b j t	b j t
ħ b	ħ u b b
n ʕ r	n ʕ r
k r m	k r m
p r tˤ	p r tˤ
k ʃ	k s
l p	l p ʔ
tˤ r d	tˤ r d
l m	ʃ l m
d j d	d d
n p j j	n p j
k m r	k m r
n n	n t n
d a m	ʔ d m
l ɣ	l u ɣ
i θˤ sˤ	ʕ θˤ aː j
ʃ	ʃ u m u
p a ħ m	p ħ m
ʃ p l	ʃ p l
m i r r t	m r r a t
θ b l	ʔ b l
n	n aː b
ʔ t i n	ʔ a n t i n a
θ i t	ʃ i t
θ	θ a ʔ a t
θ p r	θ a p r
tˤ j r	tˤ a j r
l m θˤ	l a m θˤ
z n	w z n
θˤ a b j	θˤ a b j
k r ʃ ʕ	k u r s ʕ
b b l	ʔ b b l
d a θ θ j j	d a θ ʔ
g m d	k m d
k b	k b s
ʔ p ʕ	ʔ a p ʕ a w
n h qˤ	n h qˤ
ʔ u r x	ʔ u r x
ħ l	x aː l a t
qˤ r qˤ a r	qˤ a r qˤ a r
k p sˤ	qˤ p sˤ
sˤ r	ɬˤ r tˤ
g r r	g r r
ʔ d h m	d h m
k n	k m
d aː d	d aː d
ʃ r p	ɬ r p
ʔ a p a	ʔ p j
ħ m ɬˤ	ħ m ɬˤ
b θ	b w θ
sˤ ɣ r	sˤ ɣ r
k p	k s p
ʔ a r n b	ʔ a r n a b
ɣ a ɣ	ɣ a
s l qˤ	ʃ l qˤ
l b ʔ	l a b ʔ
b	b ʔ
	x ɬ p
d m r	ð m r
ʔ x aː t	ʔ a x aː t
ʔ ʃ l	ʔ a ʃ a l
ʕ a m m	ʕ a m m
qˤ n t	qˤ i n n
t a l	ʔ a θ a l
ʃ b	s b ʔ
g a r a b	g a r a b
p r ʕ	p r ʕ
l	θ l
qˤ r b	qˤ r b
n qˤ b	n qˤ b
ʔ l p	ʔ a l p
ʕ a p a r	ʕ a p a r
ɣ b tˤ	ɣ b tˤ
θ a l g	θ a l g
ʕ m d	ʕ m d
l w ʃ	l w ʃ
d b	d u b b
ʔ a b	ʔ a b
s k r	s k r
p a θ n	b a θ a n
l i ʃ aː n	l i ʃ aː n
k r b	k r b
j a r b ʕ	j a r b ʕ
ʔ a b n	ʔ a b n
l qˤ l qˤ	l a qˤ l a qˤ
ɬ p r	ɬ p r
p r g	p a r g
n r	n w r
p	ɬ p
b x r	b x r
ʃ n b	s i
p r r	p r r
ʃ n	ʃ m
qˤ i r d	qʷˤ r d
g d d	g d d
θ m aː n	θ a m aː n i j
sˤ i b i t j	sˤ b w
n p x	n p x
ʔ r x	ʔ a r x
ʕ n qˤ	ʕ n qˤ
m	m s
s m ʃ m	ʃ u m ʃ u m
r b	r u
b ʃ l	b ʃ l
θˤ l m	θˤ l m
ʃ tˤ r	ʃ tˤ r
ʃ ʕ aː l	ʃ ʕ l
b u r	b i ʔ r
z b l	z b l
d a m	d a m
ð l l	z l
ʔ t i	ʔ a n t i
ʔ i ʃ d	ʔ i ʃ d
ʔ b r	ʔ b r
d m	d w m
w b i l	w aː b i l
l	ʔ a θ l
a r x	w a r x
n k k p t	n a k a p a t
l i ʔ m	l ʔ m
ʃ ʔ b	ʃ ʔ b
ʕ ʃ t	ʕ a ʃ t
r a qˤ qˤ	r a qˤ qˤ
ʕ a d i	ʕ a d a j
θ m	θ uː m
ħ tˤ	ħ m tˤ
w ʃ n	w ʃ n
l j l	l a j l i j
z z	z iː z
m a l ʔ	m l ʔ
k ʃ	k
p ʕ m	p a ʕ m
b a qˤ qˤ	b a qˤ qˤ
x n n t	x n z z
p l g	p l g
t i l l	t l l
a ɬ m	ɬ a ħ m
k m t	k a m ʔ a t
ʔ r j j	ʔ a r w i j
j ʃ r	j ʃ r
d a r d aː r	d a r d a r
qˤ ʕ	qˤ aː ʕ
k u r ʕ	k u r aː ʕ
ħ l	ħ a
ʔ i t	ʔ i r a t
n b l ʔ	n a b a l
r ħ	r qˤ ħ
n ħ l	n ħ l
r	r a ʔ
m i n	m n
a d	j a d
ʔ ħ d	ʔ a ħ a d
ħ i m t	ħ i m a t
n x r	n a x iː r
ħ l	ħ
ʔ ʃ k l	ʔ θ k aː l
ɬˤ	ɬˤ j qˤ
ʃ r qˤ	ʃ r qˤ
b r qˤ	b r qˤ
p l	p a l g
m ʔ a	m i ʔ a t
ʕ z b	ʕ ð b
r d	w r d
j b	ɬ j b
ʔ a x	ʔ a x
ʔ n θ	ʔ n ʃ
p r sˤ	p a r ɬˤ
sˤ a w r	sˤ a w a r
b ħ r	b ħ r
m x r	m x r
ɬˤ ʔ ɬˤ ɬˤ	w ɬ ʔ̣
ʃ t	ʃ t j
r a ħ i m	r a ħ i m
ʔ k l	ʔ u k l
k a r ɬ	k a r i ɬ
k b	k a b ɬ
p r k	p r k
ʔ r b j j t	r b j
ħ b tˤ	ħ b tˤ
l a	l aː
z qˤ p	z qˤ p
θ b r	θ b r
qˤ p	qˤ a p j
p qˤ qˤ uː ʕ	p qˤ ʕ
ʃ m	ʃ m
b u k r	b k r
d r ʃ	d r s
ʔ j j a l	ʔ a j j a l
ʔ b m	b h n
ʃ m ħ	ʃ m aː x
m u x x	m u x x
j l	x l
h w j	h w j
m m	g a m g a m
ɬ ʕ r	ɬ a ʕ r
p r	p a r ʔ
ʕ l qˤ	ʕ a l a
r m	r m
h a n n	h a n n i
ʔ m r	ʔ m r
ʔ r k	ʔ r k
r ħ ɬˤ	r ħ ɬˤ
tˤ ħ n	tˤ ħ n
p ħ l	p a ħ l
n r n	ð n m
ð b b	ð b b
k n	k w n
p ʃ r	p ʃ r
p r ʃ	p r s
ɣ u l l	ɣ u l l
s k t	ʃ k t
p r ɬˤ	p r ɬˤ
k l	k l ʔ
p r r	p a r r
r ħ	r aː ħ a t
θˤ m ʔ	θˤ m ʔ
ɣ z l	ɣ z aː l
t x x	t x x
ħ i b r	ħ b r
θˤ i l l	θˤ i l l
ħ z	ħ ð j
l qˤ ħ	l qˤ ħ
n a x a l	n a x l
sˤ a r sˤ r	sˤ a r sˤ a r
ʔ i θ	j θ w
ʔ r	ʕ a r w
d i m t	d i m
ɣ u r l	ɣ u r l
ħ r p	ħ a r a p
b n	b a j n
ʔ a t a	ʔ a n t a
p l l	p l l
qˤ l b	qˤ a l b
d a ʔ j	d a ʔ j
ʔ a	ʔ iː
b r	b u r ʕ
sˤ a l l l	sˤ l
ʃ ʃ m	ʔ m
a r qˤ	w r qˤ
n i m r	n a m i r
m ʔ n t	m n
ʃ l k	ʃ l k
m	h m
θ qˤ l	θ qˤ l
ʔ i ʃ k	ʔ i
g b b	g a b b
p l ħ	p l ħ
r u ɣ t	r u ɣ w a t
b r θ	b u r aː θ
ʕ ɬ r	ʕ a ɬ r
d a r	d a w r
l j	l w j
b a r sˤ	b r sˤ
r b k	r b k
l ʃ d	l a ʃ d
tˤ b x	tˤ b ħ
h d a d	h a d a d
x i l a p	x i l aː p
g l t	g l g l a t
j b	ʕ s b
b r k	b i
ʔ l aː n	ʔ a l l
ʃ a m n	ʃ a m n
θ x t	ʃ a x j
ʃ a m a	ʃ a m a j
k r	k a
r	w r j
ħ r	ħ m r
ɬˤ i l ʕ	ɬˤ i l a ʕ
ʔ x r	ʔ x r
l ɣ	l a θ a ɣ
n ʃ p	n ʃ p
ʔ p	ʔ a n p
d l	d a l w
ʃ l ħ	ʃ l ħ
l x m	l x m
x l sˤ	l x sˤ
l h b	l a h b
r	z w r
m ʔ d	m ʔ d
ʃ i n n	ʃ i n n
n a m r	n m r
b n j	b n j
k k m m	k m
qˤ a ɬ	qˤ a j ɬ
ʃ i n	ʃ i n a
k a n p	k a n a p
r a ʔ ʃ	r a ʔ ʃ
ʕ i ɬˤ	ʕ i ɬˤ
n ɬˤ u	ʕ sˤ sˤ uː r
r	ɬ r ɬ uː r
ħ l p t	ħ l p
b i n	b i n
n ɬ ʔ	n ɬ ʔ
s a r b	θ a r b
ħ l qˤ	ħ l qˤ
a ɣ b	ɣ b j
θˤ i p r	θˤ i p r
d i k a r	ð a k a r
x u r ɬˤ	x a r uː sˤ
b a ʕ l	b ʕ l
p qˤ d	p qˤ d
n	ʔ n j
ħ a n n	ħ a n n
r d	r a ʕ d
k l	w k l
ʔ m ʃ	ʔ a m ʃ a j
z i b l	z i b l
ɬ m	ɬ j m
	ʃ a
k a k a b	k a b k a b
d ħ p	d ħ p
p	p a j
t i t	t i ʔ i n
ʔ a t aː n	ʔ a t aː n
g b ʃ	g b ʃ
g m r	g m r
m k	s m k
b k j	b k j
x r ʃ	x r ʃ
ʕ i g l	ʕ i g w a l
ħ i l l	ħ i l
ɬ a p t	ɬ a p a t
r ħ	r ħ m
p l θ	p l ʃ
m a n	m a n n
n ʃ	n ʃ
r qˤ qˤ	r qˤ qˤ
ʔ a θ r	ʔ a θ a r
b l l	b l l
ɣ p r	ɣ p r
ɣ a r i b	ɣ aː r i b
ʃ i k a r	ʃ i k a r
θ d	ɬ a d a w
ʔ n ħ	n x r
ħ a m t	ħ a m aː t
m r	m a r ʔ
g r d	g r ð
ʕ a j n	ʕ a j n
θ ʕ l	θ ʕ l
ʔ	ʔ w j
p a r ʕ	p a r ɣ
m t	m w t
n ʃ qˤ	n ʃ qˤ
ð u b b	ð b b
ʃ m t	w ʃ m
k a p p	k a p p
qˤ d ħ	qˤ d ħ
ħ m m t	ħ m m
x tˤ r	x u tˤ r
p l	p iː l
h l l	h l l
j x	ɬ j x
p l j	p l
sˤ a r ɣ t	sˤ r n ʕ a t
d u r r	d r r
p r qˤ	p r qˤ
ʕ i ɬ r	ʕ i ɬ r uː
r m	r g m
ʔ t m	ʔ t m
s u n	ʃ u
m t n	m a t n
ð a r ʕ	ð a r ʔ
n a ɬˤ a	n a
ʃ p i l	ʃ a p uː
d k ʃ	d g ʃ
ħ a b l	ħ a b l
r i ʔ m	r i ʔ m
s ʃ	s aː
x a m i ʃ	x a m ʃ
t r	t r r
x r p	x r p
ʔ m	tˤ m m
sˤ b ɣ	sˤ b ɣ
qˤ b t	qˤ b a t
ɬ m ʃ	ɬ a m ʃ
m ʃ t	m u ʃ j
d n	d j n
b qˤ l	b qˤ l
ʔ k l	ʔ k l
ʃ i p p	ʃ p p
z r z r	z a r z iː
b k n	b i k a j
qˤ j	qˤ j
l b x	l i
m n m	m iː n
l u ɣ	l ɣ
g r d	g r d
r r	ʕ u
ʕ a qˤ b	ʕ a qˤ i b
z a p b	z a p p
n b	n uː b
ʔ t	ʔ a n t u m u
r ħ	r i ħ a j
b h qˤ	b h qˤ
k k	k a
k a b	k b w
n p ʃ	n a p a
ʔ θ	ʔ a n θ a t
d l w	d l w
g n n	g n n
m x	ɬ m x
d ʕ	w d ʕ
ʔ ħ n	n i ħ n u
s i n u n t	s n uː n a t
ɬˤ a b ʕ	ɬˤ b ʕ
ʃ a n t	ʃ a n a t
g ɬ	g ɬ ʕ
d u r	d r d r
p n	p a n
ʃ r	ʃ r j
n l	ʃ l
b	b t t
j ʕ r	w
	g d a t
ʔ i l	ʔ i l
j m	j a w m
sˤ θˤ p	ʕ ɬˤ p
ʔ ð n	ʔ u ð n
x tˤ tˤ	x tˤ tˤ
qˤ a l	qˤ r b
t i h aː m	t i h aː m
ɣ r n qˤ	ɣ r n iː qˤ
g sˤ a	g uː g
qˤ i ɬˤ	qˤ j sˤ
m x ɬˤ	m x ɬˤ
ɣ r	ɣ aː r
m θˤ ʔ	m θˤ ʔ
ʔ r a ʃ	ʔ r ʃ
m ʃ a n	ɬ a ʔ n
n p ʃ	n p ʃ
d m ʕ	d m ʕ a t
n qˤ	j n qˤ
ð a n b	ð a n a b
t l ʕ	t l ʕ
k r sˤ a l	qˤ r s
ɣ tˤ	ɣ tˤ w
ʕ a ɬ	ʕ m s
ʃ m ʕ	ʃ m ʕ
p ɬ	p s ħ
ʃ tˤ	ʃ qˤ tˤ
	ɬₓ m a t
