a r r	ʔ a r r
l qˤ ħ	l qˤ ħ
n a x l	n a x l
ħ k k	ħ k k
d aː r	d a w r
n ʃ p	n ʃ p
k a n l a t	k a l l a t
g g	g uː g
t a l i ʕ	t a w l i ʕ a t
qˤ d m	qˤ d m
m n ɬ	m n j
ʔ i r b j	ʔ a
p a r ʕ	p a r ʕ
k i b a	k b w
b a sˤ sˤ	b ɬˤ ɬˤ
ʕ a p a r	ʕ a p a r
ʕ g l	ʕ i g w a l
p n j	p a n
b r	ɬ b r
ʔ i b r	ʔ i b r a t
b ʔ ʃ	b ʔ ʃ
b qˤ l	b qˤ l
ɬˤ w	ɬˤ a j w
sˤ ɣ r	sˤ ɣ r
b l j	b l j
ʕ r p	ɣ a r p
b r r	b r r
p l	p l ħ
ɣ r b	ʕ r b
k a l b	k a l b
k a p p	k a p p
n θ k	n θ k
p r ʕ	p a r ɣ
θ qˤ j	ʃ qˤ j
b r	ʔ b r
k ʃ	k a
ʃ i n n	ʃ i n n
qˤ j ʔ	qˤ j
d aː d	d aː d
ʃ ʃ	ʃ u m ʃ u m
b	g b
m	ɬ m
b l l	b l
r b j j a t	r b j
qˤ a r n	qˤ a r n
m u x x	m u x x
r a	ɬ r m
g a r a b	g a r a b
t i ʃ ʕ	t i ʃ ʕ
a m ʃ	ʔ a m ʃ a j
θ m aː n	θ a m aː n i j
d r r	d r r
qˤ a m ħ	qˤ a m ħ
ʔ a r ɬˤ	ʔ a r ɬˤ
ð k r	ð k r
θ ʕ l	θ ʕ l
z a p p	z a p p
r d ʔ	r d ʔ
ɬˤ	ɬˤ j qˤ
b a ʕ l	b a ʕ l
g r n	g u r n
ʕ m qˤ	ʕ m qˤ
ɬ i m aː l	ɬ a m ʔ aː l
g m r	g m r
p a r θ	p a r θ
m h r	m u h r
sˤ a w r	sˤ a w a r
ʕ a z	ʕ z
p r k	p r k
θ	ʔ i ʃ
θ θ m	ʔ m
ɬˤ a b ʕ	ɬˤ b ʕ
sˤ ʕ n	θˤ ʕ n
ħ m tˤ tˤ	ħ m tˤ
ʔ l p	ʔ a l p
r b ɬˤ	r b ɬˤ
t i h aː m	t i h aː m
b t uː l	b a t uː l
g r a d	g r ð
m r	m a r ʔ
ħ a b l	ħ a b l
l ħ ʃ	l ħ ʃ
ʃ a b ʕ	ʃ a b ʕ
ɬˤ b	ɬˤ b tˤ
b a n m t a	p
b ɣ j	b ɣ j
ʔ k l	ʔ u k l
a sˤ a	x a m
d ʕ t	ð ʕ a t
sˤ a j r ʕ	ɬˤ r ʕ
ʔ n ħ n	n i ħ n u
ʔ k l	ʔ k l
t a m r	t a m a r
ʃ b l t	ʃ u b u l a t
n x iː r	n a x iː r
j a m	j a w m
d i b r	d a
ʔ n ħ r	n x r
ʃ t	ʕ a ʃ t
p r tˤ	p r tˤ
ʕ a d	ʕ a d a j
ħ l	ħ a
ħ l p	ħ l p
ʔ θ	ʔ n ʃ
ʃ qˤ tˤ	ʃ qˤ tˤ
p qˤ d	p qˤ d
m a n t	m n
b w ʔ	b w ʔ
θ	ʃ u
p r ɬˤ	p r ɬˤ
n ʃ qˤ	n ʃ qˤ
d w r	d w r
ʃ a l iː t	ʃ i l j a t
g r d	g r d
n n aː	ʔ n j
a r m	ʔ a r m
ħ m θ	ħ a m θ
r ʔ m	r i ʔ m
k l	k a l
a	ɬₓ m a t
r ħ	r qˤ ħ
m aː j	m a j
a p a t	ɬ p
j a r i x	w a r x
ʃ l ħ	ʃ l ħ
ð k j	ð k j
j r j	w r j
k a t p	k a t i p
qˤ a qˤ a d	qˤ d qˤ d
x i m ʔ a t	x i m ʔ a t
b h	b w θ
k i l ʔ	k i l ʔ
d a ʔ j a	d a ʔ j
j θ b	w θ b
l a qˤ l a qˤ qˤ	l a qˤ l a qˤ
θˤ a b j	θˤ a b j
j b l	w b l
n a p a ʃ	n a p a
ħ m sˤ a t	ħ u m sˤ a t
h r	h r j
ʕ a j n	ʕ a j n
b r	b i ʔ r
x u tˤ r	x u tˤ r
tˤ ʕ m	tˤ ʕ m
r d j	r d j
ʔ x z	ʔ x ð
ɬ j b	ɬ j b
s k r	s k r
qˤ l l	qˤ l ħ
b aː r k	b i
b r	b u r ʕ
ʔ aː j t	ʔ a j a t
h uː w	ʃ u
ʔ i ʃ aː t	ʔ i ʃ
θˤ m ʔ	θˤ m ʔ
r a m	r m
l aː	l aː
d aː r	d w r
z b b	ð b b
a z r	ʔ a z
d i j n	d j n
ɣ r	ɣ aː r
qˤ i θ θ aː ʔ	qˤ θ ʔ
ħ a s iː s	ħ a s iː s
x l	x l
r	ʔ a r w i j
ʕ r r	ʕ u
d h a m	d h m
x j l	x j l
θ	ʃ a
a ħ m	ɬ a ħ m
qˤ qˤ n	qˤ qˤ n
ʕ qˤ a	ʕ i d qˤ
z z	z iː z
ʔ a n t m	ʔ a n t u m u
n k	n j k
p l θ	p l ʃ
m t	m u t
qˤ tˤ r	qˤ tˤ r
r b k	r b k
n a ʕ m	n u
m a n n	m a n n
ɣ ʃ	ʕ a w
d qˤ ʃ	d g ʃ
ɣ l p	ɣ l p
ʃ i n a t	ʃ i n a t
b ʕ iː r	b ʕ r
ħ a r a p	ħ a r a p
t a b n	t i b n
b i n	b i n
g p p	g a p p
t i t n	t i ʔ i n
θ	k
k a m a t	k a m ʔ a t
b tˤ n	b u tˤ m
b ɬ r	b ɬ r
p a r ɣ a ʕ	p r ɣ θ
p a ħ l	p a ħ l
b k r	b k r
ʔ a j j a l	ʔ a j j a l
p tˤ r	p tˤ r
l a b x	l i
tˤ a j r	tˤ a j r
d h p	d ħ p
p r p r	p r p r
n ʃ	n ʃ
m x r	m x r
ʔ i l	ʔ i l
b tˤ ħ	b tˤ ħ
ð qˤ p	z qˤ p
ʕ l j	ʕ l j
	qˤ aː ʕ
n	n aː b
qˤ a b l b	qˤ a l b
s m k	s m k
d a d	d d
p ʃ r	p ʃ r
k i p p a	k p
qˤ a n	qˤ a n a j
p x	p s ħ
d aː d a	d aː d a t
ɬ j b t	ɬ a j b a t
l b ʔ	l a b ʔ
a ʃ l	ʔ a ʃ a l
g b b ħ	g b x
ʃ ʔ l	ʃ ʔ l
ħ i m t	ħ i m a t
k r k j j	k u r k i j
ʃ m m	ʃ
n aː sˤ	n aː sˤ i j a t
ʃ x n	ʃ x n
ʃ θ	ʃ i d θ
i r	n sˤ r
x a m ʃ	x a m ʃ
p a l g	p a l g
d r	h d r
ʕ ʃ b	ʕ s b
ɣ m d	ɣ m d
ħ a d θ	ħ d θ
ʕ i sˤ sˤ	ʕ θˤ aː j
n	n
ʕ a b qˤ	ʕ a b a qˤ
tˤ iː n	tˤ iː n
ʕ ð b	ʕ ð b
ʕ a l a qˤ	ʕ a l a
ʔ a	ʔ iː
s i n uː n t	s n uː n a t
b j t	b j t
l l	p l l
ð a r ʔ	ð a r ʔ
ʃ k r	ʃ k r
ʔ ħ x r	ʔ x r
m a t n	m a t n
ʔ a r n a b	ʔ a r n a b
l a m sˤ a t	l a m θˤ
p sˤ d	p sˤ d
w k l	w k l
d m	ʔ t m
θ ɣ r	θ ɣ r
b	b t t
h w j	h w j
x l	x aː l a t
a ħ l	n ħ l
x r ʃ	x r ʃ
g a	g i ɬ ɬ
a t i	ʔ a n t i
θ	θ a ʔ a t
ħ l i l	ħ i l
ʔ ð n	ʔ u ð n
ʔ a m t	ʔ a m a t
ɣ r a n	ɣ r n
ɬ u r iː n	θ r m iː n
m θ l	m θ l
g a r w	g uː r
ʔ a tˤ a d	ʔ a tˤ a d
r ʕ	r ʕ w
ʃ ʔ b	ʃ ʔ b
ʃ ħ t	ʃ a x j
k a r aː θ	k a r a θ
m i ʕ w	m ʕ a j
n ɣ r	n ɣ r
d m	d w m
b a h qˤ	b h qˤ
s k t	ʃ k t
n p ʃ	n a p ʃ
θ ʕ	ʃ g ʕ
qˤ tˤ p	qˤ tˤ p
θˤ r r	θˤ r r
ʔ i n	ʃ i n a
p a r	p a r ʔ
z b ʔ	s b ʔ
θ m m aː ħ	ʃ m aː x
ɣ ɣ	tˤ a ɣ
tˤ b x	tˤ b ħ
g m g m m	g a m g a m
j a l a d	w l d
ʃ l qˤ	ʃ l qˤ
ʃ i ʃ t	ʃ i t
ħ a r g l	ħ a r g a l
ʔ r t	ʔ i r a t
k m m	k m
b h	b h n
d ʃ	d w ʃ
ɬˤ i l a ʕ	ɬˤ i l a ʕ
p iː l	p iː l
ɬ a p a t	ɬ a p a t
n w m	n w m
z	ð n m
s s	s aː
l b ʃ	l b ʃ
ʔ a l m a l a t	ʔ a l m a n a t
ʔ r r	ʔ r
b tˤ l	b tˤ l
qˤ r b	qˤ r b
ħ a l sˤ	ħ l sˤ
l	k l ʔ
sˤ sˤ d	qˤ sˤ d
p r ʃ	p r s
ħ ɬ j ɬ	ħ b ɬₓ
x l qˤ	x l qˤ
θ a r	θ a w r
r a qˤ qˤ	r a qˤ qˤ
ʔ m r	ʔ m r
m tˤ	m u ɬ tˤ
l ħ t	l ħ j a t
ʃ r n	ʃ u
ʔ a n θ	ʔ a n θ a t
ð a k a r	ð a k a r
h d a d	h a d a d
m t	m w t
b k	b i k a j
ʔ i ʃ k a	ʔ i
ʃ m	w ʃ m
ɬ r p	ɬ r b
qˤ d ħ	qˤ d ħ
ʃ a n a t	ʃ a n a t
a z	ʔ a
d w ʔ	d w j
k a b ɬ	k a b ɬ
θ qˤ l	θ qˤ l
n a sˤ sˤ	n a
k m	k m a
l l ʔ	l a ʔ l a ʔ
k	k s
ʔ a r b a ʕ	ʔ a r b a ʕ
d r r	d r d r
x tˤ m	x u tˤ m
b ʃ l	b ʃ l
p r ʕ	p r ʕ
ʔ a n p	ʔ a n a p a t
ħ m r	ħ m r
d a l	d a l w
n a p ʃ	n p ʃ
m ʔ a t	m i ʔ a t
h n a	ʃ m
tˤ j j b	tˤ j b
ɣ p r	ɣ p r
l i b b	l i b b
d ʃ	d ʃ m
ʃ r p	ɬ r p
n ʃ b	n ʃ b
ʔ a l	ʔ a j l
ʕ n qˤ	ʕ n qˤ
ʔ p	ʔ p j
ʃ m	ʃ m ʕ
s m b	s i
m qˤ qˤ	m qˤ
b l	b qˤ l
d b b	d u b b
r ʃ ʕ	r ʃ ʕ
ɬ ʕ r	ɬ a ʕ r
r b j	r b j
p t l	p t l
ɬ sˤ p	ʕ ɬˤ p
ʃ p l	ʃ p l
ð i m r	ð m r
tˤ ħ n	tˤ ħ n
k m d	k m d
p d j	p d j
ʔ i t	ʔ i t
r g	p a r g
θˤ p r	θˤ i p r
ħ i b r	ħ b r
m a d n	m d iː n
k a	ð
l ɣ	l ɣ
z w l	z l
qˤ sˤ	qˤ j sˤ
l x m	l x m
sˤ a l l l	sˤ l
ɬ j m	ɬ j m
d l l	d l l
θˤ l m	θˤ l m
ʃ a p l	ʃ a p uː
m t qˤ	m tˤ qˤ
ʔ a ħ a d	ʔ a ħ a d
n x l	n x l
b l tˤ	b l tˤ
qˤ a r qˤ a r	qˤ a r qˤ a r
r i ħ a j	r i ħ a j
k p ɬˤ	qˤ p sˤ
w ʃ n	w ʃ n
ʃ l	ʃ l
j a ʕ r	w
x n z iː r	x z iː r
l w	l w j
p ʃ ʃ a	p ʃ w
ʔ a n t i n	ʔ a n t i n a
k r aː ʕ	k u r aː ʕ
b u k r	b k r
θ aː d	k i ʃ aː d
ʕ a θˤ m	ʕ a θˤ m
j n qˤ	j n qˤ
ʃ ʕ aː l	ʃ ʕ l
r a ħ m	r a ħ i m
ħ a j j a	ħ a n n
k i sˤ r	k i
p a x r	p x r
p ʕ m	p a ʕ m
p t ħ	p t ħ
j qˤ d	w qˤ d
θ a r b	θ a r b
ɬ ʔ n	ɬ a ʔ n
b a	b ʔ
g l	g l p a t
ʃ l p p	ʃ a l a ħ p a w
ʕ a r ʕ a r	ʕ a r ʕ a r
n ʕ r	n ʕ r
b ɬˤ r	b ɬˤ r
sˤ sˤ r	ʕ sˤ sˤ uː r
p r	p r j
k a r m	k r m
ð ʔ b	ð i ʔ b
p l g	p l g
qˤ l p t	qˤ l p a t
ɬ b ʕ	ɬ b ʕ
ɣ tˤ	ɣ tˤ w
ħ a qˤ l	ħ a qˤ l
r b ɬˤ	r u
ʔ u r ħ	ʔ u r x
qˤ qˤ r	qˤ r r
m r	k m r
ħ i l	ħ i l
h l k	h l k
n p x	n p x
k r ʃ ʕ	k u r s ʕ
b i n t	b i n t
j a r qˤ	w r qˤ
ʔ a b b ʕ aː t	b ʕ b ʕ
n r	n w r
k s m	k s m
ʕ a t uː d	ʕ a t uː d
x i l p	x i l aː p
ʕ ʃ	ʕ m s
l	p l k
θ b l t m	θ b l
qˤ d ʃ	qˤ d ʃ
p r r	p r r
qˤ θ	qˤ a j ɬ
ħ u p n	ħ u p n
h u l h a l	h l l
d m m	d m m
sˤ i l l	θˤ i l l
ʃ r qˤ	ʃ r qˤ
ɬ	m s
d qˤ qˤ	d qˤ qˤ
ʃ i p p	ʃ p p
ɬˤ m d	ɬˤ m d
l ɣ	l u ɣ
k	k w n
ʃ a ħ a r	ʃ a ħ r
ɣ b tˤ	ɣ b tˤ
k a p p a l	k a p l
p ʃ	p a ʔ ʃ
ʔ a b n	ʔ a b n
ɬ r ʃ	ɬ r ʃ
m ʃ	m u ʃ j
p qˤ	p w qˤ
b aː b	ð
m r ʔ	m r ʔ
l a j l	l a j l i j
g r r	g r r
b sˤ sˤ r	b n θˤ u r
ʃ t j	ʃ t j
b r	b r j
sˤ i b t j	sˤ b w
a b b l	ʔ b b l
