b r	b u r ʕ
d aː r	d a w r
k i θˤ r	k i
ʃ ʃ m	ʃ u m ʃ u m
b	ʔ w j
m r	z m r
ʃ a m n	ʃ a m n
ʕ a d i	ʕ a d a j
x r ʃ	x r ʃ
ʃ i θ n a j	θ i n aː
ð a d k a	ð
g a p p	g a p p
w b l t	w aː b i l
ɬ b r	ɬ b r
ɬ m a t	ɬₓ m a t
ħ i b r r	ħ b r
ʔ a m ʃ i	ʔ a m ʃ a j
ʃ a p l	ʃ a p uː
d ʃ m	d ʃ m
ɣ u r l a	ɣ u r l
m a n n	m a n n
ʃ a m m	ʃ
ʕ i l qˤ	ʕ a l a
g m r	g m r
n s b	n ʃ b
d a θ ʔ j j	d a θ ʔ
m a j	m a j
m ɬ j	m ɬ
k a b i d	k a b i d
a d a t	h a d a d
ɬ b ʕ	ɬ b ʕ
p i ʔ t	p i ʔ a t
θ a l g	θ a l g
l ħ j t	l ħ j a t
n h qˤ	n h qˤ
ħ w	ħ θˤ θˤ
l a h a b	l a h b
ʔ r n	ʔ n a r
n p ʃ	n p ʃ
k a r ɬ	k a r i ɬ
ʃ a ħ a r	ʃ a ħ r
n ʃ p	n ʃ p
ʔ b b t	b ʕ b ʕ
n θ k θ	n θ k
d aː d	d aː d
qˤ b	qˤ r b
b	b ʔ
p ɬ s	p s ħ
qˤ a r qˤ a r	qˤ a r qˤ a r
g n n	g n n
l a m a	l a m θˤ
b u r	b i ʔ r
k a l b	k a l b
ð i b l	z i b l
n a p i ʃ	n a p a
d t	ð ʕ a t
w r d	w r d
b r j	b r j
m r	m u h r
	z iː ð
θ n	θ n
p ʔ ʃ	p a ʔ ʃ
t x x	t x x
tˤ ħ l	tˤ i ħ aː l
k a k a b	k a b k a b
n ʃ qˤ	n ʃ qˤ
ɣ b	ɣ b tˤ
ɬ a p a p r	ɬ p r
ʔ b i n	b i n
ʔ aː t	ʔ a j a t
k b	k b w
b a sˤ sˤ	b ɬˤ ɬˤ
ɬ m	ɬ m
ʔ r ʕ u	r ʕ w
b a r u m	b r m
l ʃ	l ħ ʃ
qˤ a r n	qˤ a r n
n t n	n t n
ð r ʔ	ð a r ʔ
j d ʕ	w d ʕ
n ɬ ʔ	n ɬ ʔ
a t	ʕ z
ʔ ʕ r	ʕ a r w
ʔ a p	ʔ a n p
ʔ ʃ	ʔ i ʃ
θ ʕ r	θ ɣ r
t a b n	t i b n
ʔ i r	ʔ i b r a t
ʃ t	ʃ i t
g r	g r ð
ʔ a l p	ʔ a l p
x i m ʔ a t	x i m ʔ a t
b r qˤ	b r qˤ
d m m	d m m
ʃ l	ʔ b l
p a r ʕ	p a r ʕ
g r w	g uː r
l a θ ɣ	l a θ a ɣ
qˤ i d ħ	qˤ d ħ
b l	b l tˤ
k s p	k s p
ɬ j b	ɬ a j b a t
d a r d a r	d a r d a r
n a x a l	n a x l
g a g a	g uː g
ʃ p p	ʃ p p
p r tˤ	p r tˤ
k i s l	k s l
g a ʃ ɬ	g i ɬ ɬ
m a n n	m n
s i n n t	s n uː n a t
x l qˤ	x l qˤ
d w ʔ	d w j
tˤ	tˤ iː n
ʃ a l ħ	ʃ l ħ
ɬ i j m	ɬ j m
ʔ n ħ n	n i ħ n u
tˤ b x	tˤ b ħ
ħ l sˤ	ħ l sˤ
k i r	k a
g i r r	g r r
n a r	n w r
ħ u tˤ t	ħ i n tˤ a t
ʕ a j n	ʕ a j n
ɬ ʃ ɬ r	ɬ r ɬ uː r
ʔ b h n	b h n
a l w	l w
ʕ a qˤ i b	ʕ a qˤ i b
ʔ i ʃ k	ʔ i
d ħ p	d ħ p
j ʃ r	j ʃ r
ħ a l ʔ	ħ
n p i ʃ	n a p ʃ
r b w	r b j
ʃ r qˤ	ʃ r qˤ
ħ d w	ħ ð j
x a m i ʃ	x a m ʃ
w r w	w r j
w ɬ r	w ɬ r
θˤ u p r	θˤ i p r
ħ a	ħ a n n
ħ u p n	ħ u p n
b l	z b l
ɬˤ i l l	θˤ i l l
x ð r	x z iː r
ʕ a t d	ʕ a t uː d
m t	m w t
g l	g i l ʕ
j m	j a w m
qˤ n n a t	qˤ i n n
t a r	t r r
r	n sˤ r
ɬ r m	ɬ r m
b j t	b j t
ɣ	ɣ tˤ w
ɬˤ m d	ɬˤ m d
θ qˤ l	θ qˤ l
ʔ x r	ʔ x r
g r d	g r d
h u	ʃ u
ʔ m r	ʔ m r
b i n r	b n θˤ u r
ð k r	ð k r
k a l j t	k l j a t
s k t	ʃ k t
ħ k k	ħ k k
ɣ aː j l	ɣ z aː l
ħ b	ħ b tˤ
ʕ ɬ r	ʕ a ɬ r
p r r	p r r
p l j	p l
p l	p iː l
ʕ ɬ r a	ʕ i ɬ r uː
ʔ u ð n	ʔ u ð n
r j	h r j
ʃ k r	ʃ k r
k a p p	k a p p
n a sˤ	n a
ʔ r w j j	ʔ a r w i j
i ʃ t	ʕ a ʃ t
m a θ n	θ j n
b r ɣ θ	p r ɣ θ
r b	r u
w l	z l
k i i m m	k m
j a r a x	w a r x
ʔ i ʃ t	ʔ i ʃ
ʔ m d i n	m d iː n
l qˤ ħ	l qˤ ħ
x a r p	x r p
x i l aː p	x i l aː p
m	ʕ m s
a ɬ	ħ a ɬ j
ɣ ʃ	ʕ a w
m ʔ d	m ʔ d
x u tˤ r	x u tˤ r
t a j ʃ	t a j ʃ
p a l g	p a l g
g m	k m d
n p j	n p j
g l p t	g l p a t
ɣ p a p r	ɣ a p a r
ʃ t	θ b l
p a r	p a r ɬˤ
r d	r d j
d a ʔ j a t	d a ʔ j
qˤ p	z qˤ p
k s s	k a
ʃ b ʔ	s b ʔ
b ʕ j	b ɣ j
k i p p a t	k p
p t l	p t l
qˤ a m ħ	qˤ a m ħ
r ʔ m	r ʔ m
qˤ a l b	qˤ a l b
ð a qˤ a n	ð a qˤ a n
ʃ i n n	ʃ i n n
d r	h d r
d a m	d a m
t b ʕ	t b ʕ
m ʔ n	ɬ a ʔ n
ʕ r r	ʕ u
ʔ a r x	ʔ a r x
x r ʃ	x r ʃ
ʔ tˤ m	tˤ m m
b u k r	b k r
n n	ð n m
p ʃ ʃ	p ʃ w
ɣ a b ɣ b	ɣ a
ʔ a x	ʔ a x
ʔ sˤ	ʔ a j a sˤ
ɬˤ a r ʕ	ɬˤ r ʕ
qˤ p	qˤ a p j
ɬ a p a t	ɬ a p a t
ʔ a t aː n	ʔ a t aː n
ɬ r m	ɬ r m
ɬˤ ʔ ɬˤ a ʔ	w ɬ ʔ̣
p ħ l	p a ħ l
l l	ħ i l
s a l m	ʃ l m
d ʃ	d g ʃ
ʔ a s	ʔ a
l u ɣ	l ɣ
ɬˤ ʕ p	ʕ ɬˤ p
ð k j	ð k j
b ʕ l t	b ʕ l
ʔ d g d	g d a t
ɬˤ i l a ʕ	ɬˤ i l a ʕ
ʔ a k a l	ʔ u k l
qˤ d ʃ	qˤ d ʃ
m t qˤ	m tˤ qˤ
n a b l t	n a b i l a t
qˤ l i p	qˤ l p a t
ħ a r d n	ħ r d
b tˤ ħ	b tˤ ħ
b b	ð b b
ħ m ɬˤ	ħ m ɬˤ
h j	ʃ i
qˤ u tˤ r	qˤ tˤ r
a h r	θˤ a h r
ɣ r n	ɣ r n
h l l	h l l
m x r	m x r
w k l	w k l
g j d	g iː d
ħ a r ɬ a p	ħ a r a p
a r r	z a r z iː
d i j n	d j n
p a	p a j
ʔ a p ʕ	ʔ a p ʕ a w
b n	b a j n
b qˤ l	b qˤ l
m ħ ɬˤ	m x ɬˤ
m	h m
x l t	x aː l a t
p r p r	p r p r
ħ p ʃ	ħ p ɬ
ɬ a b	ɬ a j p
l k	p l k
ʔ a m m r	ʔ i m m a r
ħ b ɬ t	ħ b ɬₓ
g d d	g d d
m ɬ	m u ɬ tˤ
p l ħ	p l ħ
t l	t l ʕ
ʔ a m t	ʔ a m a t
ħ m	ħ a m
p a r r	p a r r
j ʕ s b	ʕ s b
k i r b	k r b
ʃ r n	ʃ u
d i w ʃ	d w ʃ
ʔ a x t	ʔ a x aː t
m n	m n
k u r k w j	k u r k i j
ɬ u r b n	θ r m iː n
r d	tˤ r d
s a m k	s m k
ʃ x n	ʃ x n
ð b aː b	ð
k	k
d aː r	d w r
a r b	ʕ a
ɬ m a l	ɬ a m ʔ aː l
x tˤ i m	x u tˤ m
p tˤ r	p tˤ r
ʔ	ʔ a j j
p r r	p a ʔ r
θˤ r r	θˤ r r
s x	ʃ a x j
ʕ θˤ m	ʕ a θˤ m
k s s	k s
b i i r r	b r r
p l	p l ħ
ʕ g l	ʕ i g w a l
t i l l	t l l
θˤ a b j	θˤ a b j
ʕ b qˤ	ʕ a b a qˤ
j b l	w b l
tˤ ʕ m	tˤ ʕ m
r ʔ m	r i ʔ m
a r g	p a r g
n j k	n j k
p r ʃ	p r s
ɬ ʕ r	ɬ a ʕ r
b a qˤ qˤ	b a qˤ qˤ
r a qˤ qˤ	r qˤ qˤ
ʔ a b n	ʔ a b n
ɬˤ a b ʕ	ɬˤ b ʕ
ɬˤ qˤ	ɬˤ j qˤ
ʔ a tˤ d	ʔ a tˤ a d
ʔ u r r	ʔ r
ʔ θ k l	ʔ θ k aː l
j n qˤ	j n qˤ
n i ʃ	n ʃ
p r ɬˤ	p r ɬˤ
ʔ θ l	ʔ a θ l
b a h qˤ	b h qˤ
x tˤ tˤ	x tˤ tˤ
p a ħ m	p ħ m
ʕ a l i	ʕ a l a j
m r ɬˤ	m r ɬˤ
ʃ m aː x	ʃ m aː x
t i h m t	t i h aː m
ʃ g ʕ	ʃ g ʕ
ʔ a l m a n a t	ʔ a l m a n a t
ð m r	ð m r
ʕ qˤ	ʕ i d qˤ
l	l aː
θˤ m ʔ	θˤ m ʔ
p ʕ m	p a ʕ m
b a r sˤ	b r sˤ
ʃ tˤ r	ʃ tˤ r
k n a	k m
l a l ʔ	l a ʔ l a ʔ
a r a l	ʔ a θ a l
ʃ r p	ɬ r p
b l	b l
m u ʃ j	m u ʃ j
k ʃ	k
ɬ j b	ɬ j b
m ʔ a t	m i ʔ a t
n qˤ b	n qˤ b
s b ʕ	ʃ a b ʕ
k r s ʕ	k u r s ʕ
w a l d	w l d
ɬˤ r	ɬˤ r tˤ
tˤ a j r	tˤ a j r
ħ a r g l	ħ a r g a l
ʃ	θ ʕ j
θ b r	θ b r
b l l	b l
p a r ʔ	p a r ʔ
b r r ħ	b r ħ
ʔ ɣ b	ɣ b j
b ʔ ʃ	b ʔ ʃ
ʔ a b	ʔ a b
d i b i r	d a
s ʔ b	ʃ ʔ b
ʔ u r x	ʔ u r x
g ð	gʷ a z
r	z w r
ʃ l ħ p	ʃ a l a ħ p a w
n m t	n u
p a n j	p a n
i ɬˤ r	ʕ sˤ sˤ uː r
qˤ l	qˤ l ħ
ʃ	ʃ u
ʔ a d a m	ʔ d m
ʔ a θ r	ʔ a θ a r
r b k	r b k
n p x	n p x
p a r θ	p a r θ
b a ʕ l	b a ʕ l
l i ʃ d	l a ʃ d
ʃ i n a	ʃ m
w a r i d	w a r iː d
d u r r t	d r r
m n	m iː n
n a ħ l	n ħ l
ʔ a n p	ʔ a n a p a t
j a m n	j a m n
x l sˤ	l x sˤ
b ʔ	b w ʔ
ʃ b l t	ʃ u b u l a t
ʕ u n qˤ	ʕ n qˤ
qˤ b r	qˤ b r
x r p	x r p
g a b b	g a b b
d m	d w m
d i b ʃ	d i b ʃ
j a r qˤ	w r qˤ
r u ɣ t	r u ɣ w a t
ʔ a r n a b	ʔ a r n a b
ʔ l n	ʔ a l l
ʔ n ʃ	ʔ n ʃ
n m	n w m
l ħ m	l ħ m
b ʕ r	b ʕ r
θ m	θ uː m
sˤ b j j	sˤ b w
ʔ a ħ a d	ʔ a ħ a d
n	n
ɬ u r ʃ	ɬ r ʃ
a r sˤ a l	qˤ r s
l ɣ	l u ɣ
ʔ b b i l	ʔ b b l
d a j d	d d
ɣ m d	ɣ m d
l θ	l w ʃ
ħ qˤ l	ħ a qˤ l
	sˤ ħ w
ð ʔ b	ð i ʔ b
qˤ j ʔ	qˤ j
ɣ l p	ɣ l p
sˤ ʕ r	sˤ ɣ r
d r s	d r s
ʔ a	ʔ iː
ɬ b a t	ɬₓ b a j
ħ d d	ħ d d
x n t	x n z z
k u l	k a l
g l g a t	g l g l a t
ʃ r w	ʃ r j
ħ i m t	ħ i m a t
m sˤ a t	ħ u m sˤ a t
d m ʕ	d m ʕ a t
r ħ m	r ħ m
ħ a s s	ħ a s iː s
θ r	θ a w r
qˤ r d	qˤ r d
p r ʕ	p r ʕ
ħ m t r	ħ m d r
b a ʃ l	b ʃ l
l	ʃ l
b a t l	b a t uː l
n x r	n a x iː r
ħ r a ʃ	ħ r ʃ
ʔ r ʃ	ʔ r ʃ
n n aː	ʔ n j
n b	n uː b
n b l ʔ	n a b a l
sˤ d	qˤ sˤ d
m a l ʔ	m l ʔ
n ɣ r	n ɣ r
n a h r	n a h r
a n n	h a n n i
n sˤ j	n aː sˤ i j a t
ʔ r k	ʔ r k
l p a	ħ l p
ʃ qˤ tˤ	ʃ qˤ tˤ
ʃ i n a t	ʃ i n a t
s i n b u ʔ	s i
qˤ i θ θ aː ʔ	qˤ θ ʔ
p r j	p r j
p i qˤ	p w qˤ
ʃ θ t	ʃ i d θ
ɣ ɣ	tˤ a ɣ
ɣ r n qˤ	ɣ r n iː qˤ
ɣ d r	ɣ d r
ʔ a m a t	ʔ a m m a t
a b b	z a p p
l a b n	l a b b
g ɬ ʔ	g ɬ ʕ
n ʕ r	n ʕ r
n i m r	n a m i r
r a ħ t	r aː ħ a t
θ a p r	θ a p r
s a s	s aː
ʕ b	ʕ ð b
ʔ d m	d h m
s l qˤ	ʃ l qˤ
l b ʃ	l b ʃ
d r	d w r
a k b r	ʕ a k b a r
qˤ r d	qʷˤ r d
ħ i m r	ħ i m aː r
g u r n	g u r n
ʕ r p	ɣ a r p
i	z iː z
r d ʔ	r d ʔ
m a n t	ħ m m
ʕ a p r	ʕ a p a r
s k r	s k r
p θˤ	qˤ p sˤ
b n j	b n j
a x	x a m
s ʕ aː l	ʃ ʕ l
l ʔ m	l ʔ m
b a r qˤ	b a r a qˤ
m r ʔ	m a r ʔ
ð n	w z n
b ħ r	b ħ r
ħ l i qˤ	ħ l qˤ
ʔ i l	ʔ i l
t l	t a w l i ʕ a t
p a x r	p x r
ħ b l	ħ a b l
b ħ l	b h l
ʔ k l	ʔ k l
ʔ a r	ʔ a z
p qˤ d	p qˤ d
d a l	d a l w
k a b ɬ	k a b ɬ
a d	ɬ a d a w
b ɬ r	b ɬ r
	qˤ aː ʕ
r k b	r k b
b r aː ʃ	b u r aː θ
p l g	p l g
ʃ t j	ʃ t j
ɬˤ	ɬˤ a j w
ʔ a s r	ʔ s r
ʔ a r ɬˤ	ʔ a r ɬˤ
l i b b	l i b b
θ a s l	θ l
ħ r b a ʔ i	ħ r b
ʃ i m	w ʃ m
sˤ a l a	sˤ l
ʕ n	ʕ n z
ħ m aː t	ħ a m aː t
ɬ n qˤ	ɬ n qˤ
m a θ l	m θ l
b a θ n	b a θ a n
r a	r a ʔ
l w	l a ʔ a j a t
ʃ qˤ j	ʃ qˤ j
r ʃ ʕ	r ʃ ʕ
