ˀtʃ a ŋ ³	dʒ i ŋ ³
ˀk o ²	ˀt o ŋ ²
ˀk ai ²	ˀk ui ²
m j a ²	m j a ²
ˀk r a ⁴	b j a ¹
m j a ŋ ¹	m r a ŋ ¹
g a ŋ ¹	g a ŋ ¹
ˀk ŋ a k ¹	g i k ⁴
k j a ŋ ³	k j a ŋ ³
ˀk ɛ ³	s ɛ ³
ˀp a t ⁴	ˀp a t ⁴
t u ¹	d ʊ ¹
d a p ⁴	ˀt a p ⁴
p j ɛ ³	p j ɛ ³
m a k ²	m i k ⁴
d a m ⁴	d a ŋ ²
ˀk a ¹	k a m ¹
l a ŋ ³	l a ŋ ³
ˀk j a ¹	b j a m ¹
g a ³	g j a ³
ˀk a k ⁴	k a k ⁴
k u ²	ˀk u ²
tʃ a p ⁴	tʃ a p ⁴
l ai ²	l i ²
ˀk a m ¹	j a m ¹
m a ¹	ʔ a ¹
k j a m ¹	k j a m ¹
n a m ¹	n a m ²
ʃ i ³	ʃ i ³
ˀk a p ²	t i ŋ ³
ai t ⁴	j i p ⁴
ˀk a p ⁴	ˀtʃ a p ⁴
ˀk a ²	k a ²
ˀk i ¹	ˀp e ¹
b j a k ¹	b j a k ⁴
t i ŋ ³	ˀt i ŋ ³
tʃ a ŋ ³	tʃ a ŋ ³
n a ¹	n ai ¹
b j a ŋ ¹	b r i ŋ ¹
g a ¹	g ai ¹
r o ¹	r o ¹
m j u k ⁴	m j u k ⁴
b a ³	b a ³
j a ¹	j a ¹
ʃ i n ²	ʃ a n ²
d i ²	d i ŋ ²
t o ²	d o ²
r a k ⁴	s i k ⁴
g a k ⁴	ˀk a k ⁴
w ɛ p ⁴	w a p ⁴
ˀk a n ²	s a n ²
d i k ⁴	ˀt i k ⁴
m j a ŋ ²	m j a ŋ ²
ˀk a ²	ˀl ai ³
k j a ŋ ¹	k j a ŋ ¹
m a ⁴	m ai ²
w a ¹	w a ¹
ˀk a m ²	j a m ²
ˀk j i k ³	k j i k ⁴
ˀk a t ¹	k a t ⁴
ˀk a k ⁴	ˀt a k ⁴
m a n ³	m a n ³
d ai ³	ˀt i ³
d ɛ p ⁴	d a p ⁴
l a ŋ ²	l i ŋ ²
p j a ¹	p j a ¹
g j a k ⁴	g r u k ⁴
ˀk i ŋ ¹	ˀr i ŋ ¹
ˀk a ²	ʃ a ²
ˀtʃ a k ⁴	dʒ a k ⁴
ˀk a ²	ˀtʃ a k ⁴
d a k ⁴	d a k ⁴
ˀŋ a n ¹	ˀŋ a n ¹
j i k ⁴	ˀj i k ⁴
g a k ⁴	g j u k ⁴
ˀk i ²	dʒ ui ²
ˀk i ⁴	ˀs e ¹
b j a ¹	b r a ¹
ˀk a m ¹	s a m ¹
m j i ŋ ¹	m r i ŋ ¹
ˀk a ¹	ʃ a m ¹
b a n ²	b a n ²
p a p ⁴	p a k ⁴
ˀn a p ³	n a p ⁴
b j i ²	b j e ²
p j u ³	p r o ¹
p u k ¹	p u k ⁴
k r u ²	k j u ³
n a ŋ ¹	n a ŋ ¹
m i ²	n e ²
b j a ŋ ¹	b j a ŋ ¹
l i ²	ˀl i ²
ˀts a p ⁴	ts a p ⁴
ˀk a ⁴	ˀk j u ³
k j ɛ p ⁴	k j a p ⁴
w a m ¹	w a m ¹
d a ²	ˀt a ²
ˀk i ŋ ¹	dʒ i m ¹
w a m ³	w a m ³
ŋ a ²	ŋ a ²
b a ŋ ³	b i ŋ ³
r a k ⁴	s u t ⁴
ˀk i ²	ʃ e ²
ˀk a ¹	b j ɛ ¹
p a ²	p a ³
ˀk j i ⁴	ˀk j u ¹
g u ²	g u ²
ˀk a ŋ ¹	s a ŋ ¹
m i ²	m e ²
b i k ⁴	ˀp i k ⁴
d u ŋ ¹	d u ŋ ¹
ˀts a ¹	ts a m ¹
b j a p ⁴	b j i k ⁴
a m ¹	ʔ a m ¹
w ai ¹	w ai ¹
k j a ⁴	k j u ¹
ˀts u ²	ˀts u ²
ˀk r a ²	dʒ a ²
u k ¹	r u k ⁴
r u m ²	s u m ²
ŋ u ¹	ŋ u ¹
ˀk a p ⁴	k i k ⁴
b a n ¹	b a n ¹
n i k ⁴	n i k ⁴
b j a ¹	ˀp r o ¹
b a ¹	b ui ¹
n ai ³	n i ³
m j a ³	dz i ŋ ¹
ˀk i ²	ˀr o ²
r j a ŋ ³	k r a ¹
ˀn a ¹	ˀn a ¹
ŋ j a p ⁴	ŋ j a t ⁴
ˀk a ¹	ˀŋ a ¹
ˀl a p ¹	ˀl a p ⁴
t a k ⁴	t a k ⁴
ˀk a ¹	j a ŋ ¹
ˀk a ³	m i ³
ˀk a ²	ˀr a ²
ˀk u k ⁴	j u k ⁴
j a ⁴	ˀn i k ⁴
ˀts i ¹	tʃ i ¹
d i ²	tʃ u ²
j a p ⁴	j a p ⁴
m a ŋ ¹	m i ŋ ¹
u ²	ʔ ʊ ²
m a k ¹	m a k ⁴
