kʰ i ⁵⁵	kʰ ə ⁰
n̥ l ɨ m ⁵⁵	n ɨ m ⁵⁵
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
g ə ⁰	k ə ⁰
cʰ a ⁵⁵	cʰ a ⁵⁵
m u ¹¹	m u ¹¹
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
h w a ⁵⁵	g w a ⁵⁵
s ə ŋ ⁵⁵	c ə ŋ ⁵⁵
l o ɴ ⁵⁵	l o ⁵⁵
r e ¹¹	r e ¹¹
k l a ⁵⁵	k l a ⁵⁵
r l u ʔ ⁵¹	k l ə ʔ̚ ⁵¹
kʰ l i ⁵⁵	kʰ l ei ⁵⁵
b ə a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
ʔ a m ¹¹	ʔ a m ¹¹
ˀb j a ¹¹	p j a ¹¹
kʰ a ŋ ⁵⁵	g a ŋ ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
ˀd e ⁵⁵	ˀd e ⁵⁵
cʰ a ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
ʔ r ⁵⁵ ⁵⁵	t r e ⁵⁵
ʔ ⁵⁵ ɴ ¹¹	ʔ j ɛ n ¹¹
kʰ o ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
n̥ w ɛ ¹¹	n̥ w ɛ ¹¹
kʰ w i ʔ ⁵¹	kʰ w i t ⁵¹
tʰ u ¹¹	tʰ u ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
ʔ w i ¹¹	ʔ w i ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
ˀd a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
tʰ e ¹¹	tʰ e ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
s e ⁵¹	s r e ³³
tʰ ei ⁵⁵	tʰ ei ⁵⁵
l o ŋ ¹¹	l o ŋ ¹¹
n̥ u ¹¹	n u ¹¹
m e ¹¹	m̥ e ¹¹
ɴ ei ⁵⁵	n̥ ei ⁵⁵
l̥ i m ¹¹	l i n ¹¹
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
l̥ i ɴ ⁵⁵	l ei ⁵⁵
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
cʰ ei ¹¹	cʰ ei ¹¹
tʰ u ¹¹	tʰ u ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
kʰ l ⁰ ¹¹	kʰ l ɔ ¹¹
s a ¹¹	s a ¹¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
b l e ⁵⁵	b l e ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
m ə ¹¹	m ə ¹¹
s a ⁵⁵	s r a ⁵⁵
m ei ¹¹	m̥ ei ¹¹
j o ⁵⁵	j o ⁵⁵
s ou ¹¹	s ou ¹¹
kʰ l a ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
d o ŋ ¹¹	d o ŋ ¹¹
g a ʔ ¹¹	k ə ʔ̚ ⁰
s ə ⁰	s ə ⁰
kʰ l e ⁵⁵	kʰ l i ⁵⁵
ʔ a a ¹¹	k o t ⁵⁵
cʰ i ⁵¹	kʰ r w i t ⁵¹
j o ʔ ⁵¹	j o ʔ̚ ⁵¹
s j u ⁵⁵	c u ⁵⁵
h ɛ ⁵¹	h a t̚ ⁵¹
ˀd a ⁵⁵	ˀd a ⁵⁵
p l e ⁵⁵	p l e ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
ˀb ou ¹¹	ˀb ə ¹¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
s w a ¹¹	s w w a ¹¹
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
g ə ⁰ ⁰	k ə ⁰
s a ¹¹	s a ¹¹
l a ¹¹	l̥ a ¹¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
d ou ¹¹	d ou ¹¹
n a ¹¹	n a ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
kʰ o ¹¹	kʰ o ¹¹
b l a ¹¹	b l a ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
m ə ŋ ¹¹	m ə ŋ ¹¹
ˀd ei ɴ ⁵⁵	ˀd ei ⁵⁵
d a ʔ ⁵¹	d a ʔ̚ ⁵¹
tʰ a ¹¹	tʰ a ¹¹
n e ⁵⁵	n̥ e ⁵⁵
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
g i ⁵⁵	k i ⁵⁵
n ei ⁵⁵	n ei ⁵⁵
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
l̥ i ⁵⁵	l ei ⁵⁵
r l o ŋ ¹¹	k l ə ŋ ¹¹
s ɔ ¹¹	s r ɔ ¹¹
s a ⁰	j ə ⁰
m̥ a ¹¹	m̥ a ¹¹
j ɛ ʔ ⁵⁵	j ɛ ʔ ⁵¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
l ou ¹¹	l̥ ou ¹¹
tʰ o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
kʰ w au ⁵⁵	kʰ w au ⁵⁵
s i ¹¹	s r ei ¹¹
tʰ a ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
tʰ ə ɴ ⁵⁵	tʰ ə ɴ ⁵⁵
b e ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
k i ¹¹	k i ¹¹
g o ¹¹	g o ¹¹
ɴ r a ⁵⁵	ŋ j ai ⁵⁵
m a ¹¹	m a ¹¹
p a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
ˀb a ɴ ⁵⁵	ˀb a ⁵⁵
l i ⁵⁵	l̥ w i t̚ ⁵⁵
l̥ ei ⁵⁵	l ei ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
b r a ⁵⁵	b r a ⁵⁵
p w a ⁵⁵	ˀb w w a ⁵⁵
ˀd ou ɴ ⁵⁵	ˀd ə ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s w i ¹¹	s w i ¹¹
kʰ l o ¹¹	kʰ l o ¹¹
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
