i̠ i̠ ¹	ˀm j y̠ ¹
a ¹	a ¹
ʒ i ³	ts i ³
ʃ ɛ ¹	ʃ ɛ ¹
k e̠ ¹	k o̠ ¹
kʰ i̠ ¹	kʰ u ¹
³ y ²	b o ²
t o̠ ³	t o̠ ³
t a ŋ ¹	t a ŋ ¹
n a ²	n a ²
s i̠ ²	s e ²
a ²	a ²
kʰ a ŋ ²	kʰ a ŋ ²
ʒ o̠ ³	ʒ o̠ ³
pʰ ² ²	pʰ e ²
m a ³	m a ³
h a e̠ ³	h e̠ ³
m u ²	m j u ²
kʰ a ¹	kʰ ɨ̠ ³
p e̠ ¹	pʰ e̠ ¹
v i̠ ³	v i̠ ³
ɣ ɛ ²	ɣ ɛ ²
tʃ u ¹	tʃ a ŋ ¹
p e̠ ³	p e ³
kʰ ɛ ²	kʰ j ɛ ²
a ²	a ²
v ɛ ³	ˀv ɛ ²
m ²	m u ²
pʰ e̠ ¹	pʰ e̠ ¹
i̠ u ¹	pʰ u ³
ɣ a ¹	s e ¹
m y ¹	m y ¹
m o̠ ²	m o ²
¹ ɛ ³	ts ɛ ³
d ɛ ²	d ɛ ²
¹ o̠ ³	t u ³
p a ³	p a̠ ³
d u ³	d u ¹
s i̠ ³	s i ³
b i ³	b i ³
k e̠ ¹	k j o ¹
m i̠ ³	m ɛ ³
l a ²	l a ²
¹ ¹ ¹	m j a ²
l u ¹	l u ¹
kʰ a ²	kʰ a ²
ʃ a ¹	ʃ a ¹
g a ²	g j a ²
ʒ ¹ ¹	ɣ ɛ ¹
z a ²	z a ²
b j a ²	b a ²
kʰ a̠ ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
tsʰ a ¹	tsʰ a ¹
¹ ¹ ¹	m u ²
ʃ ɛ ¹	ʃ ɛ ¹
d a ¹	d a ²
i̠ u ¹	d u ¹
a ¹	a ¹
tʃʰ i ³	d i ³
d a ¹	d a ¹
ts i ³	ts i̠ ³
d e ¹	d i ¹
tsʰ ɨ ¹	tʃʰ ɨ ¹
ʃ a ¹	h a ¹
ʒ o̠ ²	ʒ o̠ ³
k a ³	k a̠ ³
ɣ i ¹	ɣ i ¹
ˀl y ²	ˀl y ²
s ¹ ³	ʃ ɨ̠ ¹
dz i ³	dz ɿ ³
d o̠ ³	d a ²
tsʰ u ¹	tsʰ u ¹
dz y ¹	dz y ¹
tʃʰ u ¹	d u ¹
pʰ i ¹	pʰ e ¹
¹ y ¹	tsʰ y ¹
ɲ j a ²	ɲ a ²
v a ³³	v a ³
p i ²	p j ɨ ²
l i̠ ³	l e̠ ³
k ¹ ³	k e̠ ³
tʰ u ¹	tʰ u ¹
b e̠ ³	b e̠ ³
¹ i ¹	tsʰ i ¹
kʰ j ɨ ¹	kʰ ɨ ³
kʰ ɛ ²	kʰ j ɛ ²
¹ ¹ a ŋ ¹	b j y ¹
pʰ y ²	pʰ y ²
tsʰ a ¹	tsʰ a ¹
m a ³	m a ³
s ɛ ¹	s ɛ ²
b o̠ ¹	b o̠ ¹
k o̠ ¹	k a ¹
ɣ a ¹	g ɨ ¹
kʰ o ¹	kʰ o ¹
ɣ y ¹	ɣ a ŋ ¹
tsʰ i ²	tʃʰ u ²
ˀm e̠ ²	m ɨ ²
n u ¹	n u̠ ¹
kʰ e̠ ¹	kʰ e̠ ¹
ʃ e ¹	x e ¹
t a ¹	t a ³
n e̠ ¹	n i̠ ¹
ˀl y ³	ˀl y ³
z a ²	z a ²
a ¹	a ¹
ʃ i ³	ʃ i̠ ¹
ts i ¹	ts i ¹
ts e ¹	tʃ e ¹
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
tʰ u ³	tʰ u ³
a ¹	a ²
a ¹	a ¹
h o̠ ²	h e ¹
k o ³	k o ¹
b a ²	b a ²
kʰ o ³	kʰ y̠ ¹
ɣ ɣ ³	dz ɛ̠ ³
kʰ y ²	kʰ y ²
ˀn a ¹	ˀn a ¹
z a ²	z a ²
ɣ ɨ ¹	ɣ i ¹
s o ¹	s i ³
s a ²	s a ²
a ¹	a ¹
¹ i ¹	kʰ i ¹
b o ³	b o ³
m ɨ ³	m ɨ̠ ³
tʰ e ¹	t i̠ ³
a ¹	a ¹
dz a ¹	dz a ŋ ¹
ˀm e ¹	m i ¹
a ²	a ¹
t u ³	t e̠ ³
¹ u ¹	d u ¹
ˀm j y̠ ¹	ˀm y̠ ¹
n u ²	n ɛ ²
ˀl a̠ ²	ˀl a ²
ˀx y ¹	x y ¹
l a ¹	l a ŋ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
h e̠ ²	h ɛ ²
ts i ²	ts i ²
s a̠ ²	ʃ a̠ ³
e e ¹	h ɛ̠ ¹
kʰ y ¹	kʰ y ¹
dz e ¹	dz e ¹
dz i ³	dz i ³
u u ¹	pʰ u ¹
dʒ ɛ ¹	dʒ ɛ ¹
l i̠ ³	l e̠ ³
ɣ y ¹	ˀx a ¹
² a ²	n u ²
³ e̠ ³	tʃ e̠ ³
d a ¹	t a ŋ ³
kʰ o̠ ²	kʰ u ²
t a̠ ³	t a̠ ³
e̠ u ²	ts u ²
ʒ i ²	ʒ i̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ɣ ɛ ²	s ɛ ²
ˀx ɨ ³	x ɨ̠ ³
h i ¹	ɣ a̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
g a ¹	g i ¹
ʃ u ¹	s e ¹
t o̠ ³	t o̠ ³
ɲ i ³	ˀn i ³
a ¹	a ¹
¹ a ¹	d a ŋ ¹
tʰ a j ²	tʰ a ŋ ²
m a ³	m o ²
s o ¹	ɣ u ²
b j a ²	b a ²
k e̠ ²	k j ɛ ²
ˀl u ¹	ˀl u ¹
ˀm j e̠ ²	m e̠ ³
kʰ y ²	kʰ o ²
pʰ i ¹	pʰ e̠ ¹
¹ a ¹	ˀv a ¹
g j u ¹	g o ŋ ¹
¹ o ¹	g a ŋ ³
kʰ a ¹	kʰ a ²
z y ²	z y ²
dz a ²	dz a ²
b o ²	b o ²
l y ²	l y ²
ʃ i ¹	ʃ i ¹
tsʰ ɨ ²	tsʰ ɿ ²
l y ¹	l y ³
ˀɲ a ²	ˀn e̠ ³
ˀm j e̠ ¹	ˀm j e̠ ¹
m e ³	m ɨ ²
m a ŋ ²	m a ŋ ²
tʰ a ²	tʰ a ²
ɣ y ¹	ɣ i ¹
g a ²	g a ²
m i̠ ³	m o ²
n u ²	n i ²
ɣ e̠ ¹	x i ¹
b i a ¹	b ɨ ¹
b e̠ ¹	b e̠ ¹
p u ³	p u ¹
kʰ j ɛ ¹	kʰ ɛ ²
ɣ a ²	ɣ a ŋ ²
ɣ ɨ ¹	ɣ ɨ ¹
ɣ a ²	ɣ a ŋ ²
b y ¹	b y ¹
m ²	m̩ ²
h a ¹	h a ¹
m a ³	m a ³
n u ²	n̩ ²
dz ɛ ²	dz ɛ ²
h a ¹	h a ¹
k a ²	k a ŋ ²
tʃʰ ɨ ²	tʃʰ ɨ ²
h e ¹	h e ¹
kʰ o̠ ³	kʰ o̠ ³
¹ ²	n̩ ²
tsʰ ɨ ¹	tsʰ i̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
ˀl a ¹	ˀl a ¹
¹ a ²	dz a ŋ ²
a a ¹	dz a ¹
b u ³	pʰ u ²
³ u ¹	pʰ u ¹
ʒ o ¹	ʒ u ¹
e ²	i ²
ŋ e ¹	n e ¹
z i ²	z i ²
ɣ a ²	ɣ a ŋ ²
ɣ ɨ ¹	ɣ i ¹
m ɨ ¹	m ɨ ¹
g j o ²	g j ɛ ²
m a ¹	m a ¹
p a̠ ³	p a̠ ³
l y ¹	l y ¹
g a ²	g a ²
kʰ a ¹	g a ³
g j o̠ ³	g o̠ ³
ˀn a ¹	ˀn a ¹
b a ³	b a ³
s i̠ ¹	s i̠ ¹
¹ ɛ ²	m ɛ ²
n a ²	n a ²
k ɨ ¹	k ɨ ¹
ŋ i ³	ˀn i ³
b a ²	b a ²
s ɛ ²	s e ²
d i ¹	d i ¹
dz a ³	ɣ o ²
s a ²	tsʰ i ²
a ²	a ²
ʒ i̠ ³	ʒ i̠ ³
¹ e ²	dz e ²
k o̠ ³	k o̠ ¹
m a ³	m a ³
² y̠ ²	m u ²
¹ ɛ ²	s y ²
n u ²	n i ²
t ɛ ¹	t ɛ ¹
a ¹	a ¹
ʃ j a ¹	s y ¹
ɲ i ¹	ˀn i ¹
k e̠ ²	k j ɛ ²
ˀx ɨ ¹	x ɛ ²
b y ³	b y ³
² a ¹	tʃ a ¹
ɣ i ¹	ɣ i ¹
b o ²	b o ²
a ¹	a ¹
a ²	a ²
k a ³	k a ŋ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
x a ¹	k u ³
³ i̠ ²	b i ²
pʰ ɛ ³	p ɛ ³
ˀn a ¹	ˀn a ¹
a ¹	a ¹
s y ²	s y ²
k ɛ ¹	k ɛ ¹
s i̠ ¹	s i̠ ¹
d o̠ ¹	d o̠ ¹
ɣ i ¹	ɣ ɨ ¹
tʰ a ŋ ²	tʰ a ŋ ²
p ɨ ²	p ɨ ²
b y ¹	b y ¹
ŋ a ¹	ŋ a ¹
a ¹	a ¹
b y ²	b a ²
pʰ a̠ ¹	p a̠ ³
pʰ a ¹	pʰ j a ¹
tʃ i ¹	tʃ ɨ̠ ¹
s y ¹	s y ¹
s a ¹	s a ¹
d ɛ ²	d ɛ ²
g i ²	g j u ²
n i ²	n i ²
z a ²	z a ²
v ɛ̠ ³	v ɛ̠ ³
p a̠ ³	p a̠ ³
b i ¹	b i ¹
g y ¹	g y ¹
ɣ e̠ ²	b y ²
a e ²	dz i ²
m o ²	m e ²
e̠ a ²	ʃ a ²
ˀn a ²	ˀn a ²
a a ŋ ¹	ts u ¹
b a ŋ ²	v a ŋ ²
ɣ ¹ ²	v y ²
l o̠ ¹	l u̠ ¹
¹ y ¹	ˀn y ¹
¹ o ³	ɣ ɛ̠ ³
k ¹ ²	k j o ²
² ² ²	n a ²
m a ŋ ¹	m a ŋ ³
a ²	a ²
tʰ a ²	tʰ a ²
m a̠ ²	m ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
ʃ a ¹	ʃ a ¹
k e̠ ²	k j e ²
b ɛ ¹	b ɛ ¹
pʰ i ²	pʰ e ¹
kʰ u ³	k a ²
ˀn y̠ ³	ˀn y̠ ³
k y ¹	k o̠ ³
ɣ a̠ ²	x a̠ ³
¹ i ¹	tʰ u ³
dz a ¹	dz a ¹
a ¹	a ¹
² i ²	p y̠ ¹
ˀm a ²	m a ²
n u ²	n u ²
ˀn a ²	ˀn a ²
tsʰ a ²	tsʰ a ²
¹ i ¹	tʰ a ²
¹ o ¹	d u ¹
pʰ e̠ ³	pʰ e̠ ³
ˀm j e ¹	ˀm i ¹
g o̠ ¹	g j o̠ ¹
a ¹	a ¹
l a ¹	l a ¹
ɣ y ¹	ɣ a ŋ ¹
k a ¹	k ɛ ³
y̠ ¹	ɨ̠ ¹
ˀn a ¹	ˀn a ²
s i ²	s i ²
ɣ a ²	ɣ a ²
b u ¹	b e ³
g o ¹	g u ¹
ˀl y ³	ˀl u ³
s i̠ ¹	s i̠ ¹
ˀm j e̠ ¹	ˀm j e̠ ¹
t o̠ ¹	t o̠ ³
d e̠ ³	d ɛ̠ ³
tsʰ y ¹	tsʰ y ¹
b e̠ ³	b e̠ ³
n e̠ ³	ˀn e̠ ³
tʃʰ e ¹	tʃʰ e ¹
m ²	m u ²
v i̠ ³	v i̠ ³
ɣ ɛ ²	ɣ ɛ ²
kʰ ɨ ³	kʰ ɨ̠ ³
s i̠ ¹	s i̠ ¹
d o̠ ¹	ts a ŋ ³
p y ¹	p y ¹
m o ¹	m u ¹
g a ³	g a̠ ³
² ¹	e̠ ¹
ɣ ɨ ²	ɣ ɨ ²
¹ o̠ ¹	n u ²
d ¹ ¹	d a ŋ ¹
ts a ¹	ts a ¹
ˀm j o̠ ¹	m o̠ ¹
ɣ ² ³	ˀx o̠ ¹
pʰ y̠ ³	pʰ y̠ ³
n a ŋ ¹	n a ¹
ɲ j a ³	ɲ a̠ ³
n u ²	n̩ ²
tʃ ɨ ³	tʃ ɨ̠ ¹
l e̠ ³	l e̠ ³
z i ³	z i ³
kʰ ɨ ¹	kʰ i ¹
k a ŋ ¹	k a ŋ ¹
k e̠ ²	k j e ²
v ɛ ¹	v ɛ ¹
h a ¹	h a ¹
p a̠ ³	p a̠ ³
g u ³	g u ³
ʃ a̠ ³	ʃ a̠ ³
ɣ e̠ ²	tʃʰ e ²
ˀn o̠ ³	ˀn u̠ ³
ˀl a ³	ˀl a ŋ ³
² a ŋ ²	v a ŋ ²
ʒ o̠ ¹	ʒ o̠ ¹
kʰ o̠ ³	kʰ o̠ ³
s u ²	ʃ u ²
¹ a ²	m a ²
pʰ i ²	pʰ i ²
¹ a ¹	ˀv a ¹
b j i ²	pʰ u ¹
m a ²	ˀm u ¹
a ¹	a ¹
k ɨ ¹	k j o ²
k ɛ ³	k u ²
l i ¹	ˀl i ¹
ɣ ² ¹	ɣ o ³
e ¹	e ²
a ¹	a ¹
ˀɲ i ¹	ˀn i ¹
p u ²	b a ŋ ²
b y ²	p ɨ̠ ¹
n e̠ ³	n e̠ ³
² ³	e̠ ¹
g j y ²	g y ²
l y ³	ˀl y ³
s i̠ ¹	s o̠ ³
ˀm j e ³	m i ¹
kʰ a ŋ ³	kʰ o̠ ³
ˀn e ²	n e ²
x a̠ ³	x a̠ ³
ɣ i ¹	ɣ i ¹
z a ²	z a ²
m ɛ ²	m ɛ ²
b j a ²	b j a ²
s i̠ ³	ʃ i ³
a ²	a ¹
g o ¹	g u ²
l ɛ̠ ³	l ɛ̠ ³
ˀm j e̠ ³	ˀm j e̠ ¹
ˀm j e ³	ˀm i ³
pʰ i ²	pʰ e ²
a ¹	a ¹
ɣ i ³	ɣ i̠ ³
¹ e ¹	dz ɿ ³
k i ¹	k i ¹
² i ¹	v u ¹
a ¹	a ¹
h a ¹	h a ¹
ts i ¹	ts u ¹
ˀm a ³	m a ³
b o̠ ¹	b o̠ ¹
m j a ¹	m j a ŋ ¹
v a ³	v a ³
b j i ³	b j e̠ ³
m a ³	m a ³
h a a ²	h a ŋ ²
b ¹ o ¹	b a ²
¹ a ²	d a ²
a ¹	a ¹
e ²	i ²
tʃʰ i ³	tʃʰ i̠ ³
a ²	a ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
n i ¹	n i ¹
ˀn ɛ ¹	n ɛ̠
l i ¹	ˀl i̠ ³
p a ¹	p a ¹
ɣ a ³	ɣ a ³
n e ¹	n e̠ ¹
k o̠ ³	k o̠ ¹
dʒ e ²	dz e ²
k o̠ ¹	k o̠ ³
pʰ ɛ ²	pʰ e ²
tʃʰ u ¹	d u ¹
s u ³	s e ³
tsʰ i̠ ²	kʰ j i ²
³ u ¹	t ɛ ¹
ɣ i̠ ¹	ɣ a ŋ ²
a ²	a ²
g o̠ ³	g o̠ ³
g i ¹	g i ¹
¹ u ²	pʰ u ²
b y ¹	b y ¹
tsʰ i ¹	tsʰ u ¹
s e̠ ³	s e̠ ³
a ¹	a ¹
n u ²	n i ²
a ¹	a ¹
l y ¹	l y ¹
m u ²	ˀm u ¹
l o̠ ¹	l u̠ ¹
b o ¹	b ɨ̠ ¹
kʰ o̠ ¹	kʰ o̠ ¹
l a ŋ ¹	l a ŋ ¹
a ¹	a ¹
l i̠ ³	l e̠ ³
v i̠ ³	ˀv i̠ ³
¹ u ²	d u ²
t a ¹	t i̠ ¹
¹ e ³	ˀm u ²
dz i̠ ¹	dz e ¹
¹ a ¹	ˀv a ¹
m ɛ ²	m ɛ ²
ˀm o ³	ˀm e̠ ¹
l a ²	l a ²
ts i̠ ³	ts e̠ ³
pʰ ɛ ¹	pʰ ɛ ³
d y ²	d y ²
n y ¹	n y ¹
u u ³	tsʰ y̠ ³
z i ²	z i ²
l a ¹	l a ¹
a ³	a ¹
tsʰ e ¹	tsʰ e ¹
l a ²	l a ²
s a ¹	s u ¹
tʰ e̠ ¹	tʰ e̠ ¹
d i ²	d i ²
a ¹	a ¹
dʒ ɛ ²	dʒ ɛ ²
m a ³	m a ³
k u ¹	kʰ u ¹
b y ³	b y ³
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
k u ¹	k u ²
l i ²	ˀl i ²
¹ o̠ ¹	p o̠ ¹
k a ³	d u ³
ˀl y ¹	ˀl y ¹
ʒ e̠ ¹	ɣ e̠ ¹
s y ¹	s y ¹
tsʰ ɨ ¹	tsʰ y ¹
z e̠ ³	z e̠ ³
ˀx a ²	x a ²
tʃʰ a ¹	d a ŋ ¹
pʰ j a ¹	pʰ j a ¹
u i̠ ³	dʒ i ²
a ¹	a ¹
pʰ e ²	pʰ e ²
d i̠ ¹	d i ¹
¹ a e̠ ³	n i̠ ³
kʰ i ¹	kʰ i ¹
d e̠ ³	d ɛ̠ ³
ŋ i ³	ˀn i ³
pʰ ɛ ¹	pʰ ɛ ³
ʃ i ¹	ʃ i̠ ¹
kʰ o ŋ ³	kʰ j o ³
z a ²	z a ²
k y̠ ¹	kʰ y ¹
m i ¹	m ɨ ²
k a ¹	k a ¹
dz y ¹	dz y ¹
¹ u ²	tʃ u ²
tʃʰ i ²	tʃʰ i ²
kʰ i ¹	kʰ i ¹
¹ a ¹	g j a ¹
m a ³	m a ³
pʰ e̠ ³	pʰ e̠ ³
b a ¹	b a ŋ ³
l a̠ ²	l a ²
ts a ³	ts a ³
m i̠ ²	m o ²
¹ o ²	m o ²
¹ o ³	dʒ e ¹
m o ¹	m o ²
ts e ¹	ts e ¹
ˀn i ³	ˀn i ³
kʰ a ¹	kʰ a ³
tsʰ e ¹	tsʰ e ¹
tʰ y ³	tʰ y ¹
s o ¹	ɣ u ²
l e̠ ³	l e̠ ³
ɣ ɣ ¹	dz i ¹
l a ²	l a ²
k ɣ ²	k a ŋ ²
k u ¹	k u ¹
k a ¹	k a̠ ³
¹ ² ¹	p ɛ ³
ts a̠ ³	ts ɛ̠ ³
a ¹	a ¹
n u ²	n i ²
s e ¹	s e ¹
d u ²	d i ²
tʃʰ u ¹	d i ¹
d a ¹	d a ŋ ¹
s a ¹	s a ¹
z e̠ ³	z e̠ ³
x i̠ ¹	k u ¹
kʰ a ³³	kʰ a ³
ɣ a ³	ɲ a̠ ¹
² o ³	k j i ³
ɣ a ²	g a ³
tsʰ y ¹	tsʰ a m ¹
t a ¹	t a ⁵⁵
k y ³	k j o̠ ³
k y ¹	t u ¹
tʰ a ²	tʰ a ²
ʃ i ¹	ʃ i̠ ¹
k a ³	k a ¹
l ¹ ³	l a ³
¹ o ²	m o ²
p y ¹	p y ³
a i ³	tʰ e̠ ³
t a ¹	t a ⁵⁵
n ɛ̠ ¹	n ɛ ³
s ɛ̠ ³	s ɛ̠ ³
dʒ a ¹	dʒ a ¹
a ¹	a ¹
tsʰ i ¹	k i ¹
ɣ a ¹	x a ¹
l i ¹	l i ¹
g i ²	g o̠ ³
l e̠ ¹ ³	l e̠ ³
¹ i ¹	tʃ i̠ ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
p a̠ ³	p a̠ ³
t o̠ ³	d o̠ ³
p a ¹	p a ¹
ʒ o̠ ¹	ʒ o̠ ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
pʰ ɛ ²	pʰ ɛ ²
v e ¹	v e ¹
a ²	a ²
t u ²	t u ²
m o̠ ¹	m o̠ ¹
dz i ¹	dz i ¹
t e ¹	t i ¹
ˀm i ¹	m i ¹
m j a ²	m j y ²
s a̠ ³	ʃ a̠ ³
ɣ ɨ ¹	ɣ i ¹
ɛ ²	ɛ ²
b ɛ̠ ¹	b ɛ̠ ¹
t a̠ ³	t a̠ ³
t i ³	t a ³
ɣ o ¹	ɣ o ¹
ɣ i ¹	ɣ i ¹
l e ³	ˀl u̠ ¹
e̠ i̠ ¹	dz i̠ ¹
v ¹	v u ¹
tsʰ i̠ ²	tsʰ i ²
tʰ a ²	tʰ a ²
k a̠ ²	k a̠ ³
l e̠ ³	l e̠ ¹
m a ³	m j a ³
¹ ɛ ³	f ɛ ³
pʰ y ¹	pʰ y ²
a ¹	a ²
¹ ɛ ¹	ˀm ɛ ¹
ˀm e̠ ³	ˀm j e̠ ¹
¹ i̠ ¹	dz i ³
t e ²	t i ²
kʰ i ²	kʰ ɨ ²
kʰ a ²	kʰ a ²
tʰ e ³	tʰ e̠ ³
kʰ ɛ̠ ¹	kʰ a̠ ¹
t y ²	t y ²
tʰ u ¹	tʰ u ¹
a ²	a ¹
l a ŋ ²	l a ŋ ²
tsʰ e̠ ¹	tsʰ e̠ ³
b i ²	b j o ²
b u ¹	p e ¹
tʃ a̠ ³	tʃ a̠ ³
ŋ a ¹	ŋ a ¹
g o ²	g u ²
z a ²	z a ²
pʰ ɨ ¹	pʰ ɨ ¹
l i ²	ˀl i ²
s i ¹	ʒ a ¹
¹ i̠ ²	k u ³
a ¹	a ¹
a ²	a ²
s i ¹	s i ¹
a ¹	a ¹
n i̠ ¹	n i̠ ¹
tʃʰ i ³	tʃʰ i̠ ³
ɣ a ¹	g a ¹
tʃ a̠ ³	tʃ ɛ̠ ³
a ²	a ²
s ɛ ²	s ɛ ²
¹ e̠ ¹	v e ³
dʒ i ¹	dʒ i ¹
b y̠ ³	b y̠ ³
s a ²	s a ²
a ¹	a ¹
ts e ¹	tsʰ e ¹
m j a ²	m j a ²
¹ i ²	pʰ ɨ ²
ɣ u ¹	x e ¹
m e ²	m ɛ ²
tʃ a ³	tʃ a ³
k a ¹	k j i ³
h a ²	h a ŋ ²
ˀl ŋ a ŋ ²	ˀl u ²
ts e ¹	ts e ¹
tsʰ e̠ ³	d u ¹
tsʰ i ²	tʃʰ u ²
l a ²	l a ²
t e̠ ¹	t e̠ ¹
kʰ e ²	kʰ ɨ ²
tʃ i ¹	tʃ u ¹
dʒ a ²	dʒ ɛ ²
¹ e̠ ²	p a̠ ³
g a ²	g i ²
ˀx i ¹	x ɨ ¹
tʃʰ e ¹	tʃʰ e ¹
tʃʰ e ¹	tʃʰ e̠ ¹
¹ a ²	tʰ a ŋ ²
tsʰ u ²	tsʰ ɛ ²
t i ²	t i ²
g a ³	g a ³
¹ ² u ¹	m i ¹
l y̠ ³	ˀl y̠ ³
pʰ a ²	pʰ a ²
¹ o̠ ¹	t u ¹
¹ i ¹	dz i̠ ¹
k i ¹	k i ¹
p e̠ ²	p j ɨ ²
m o ¹	m o ²
n e̠ ³	n e̠ ³
¹ ² ²	pʰ ɨ ²
s e ¹	ˀx y ¹
d e ¹	d e ³
² u ¹	pʰ u ¹
b a̠ ¹	b ɛ̠ ¹
s y ²	ʃ y ²
² a ¹	h a ¹
m o ¹	m u ³
tsʰ i ²	tʃʰ i ²
kʰ ɨ ¹	kʰ i ¹
v a ²	v a ²
¹ a ³	j a ŋ ²
¹ i ³	x i̠ ³
d e ¹	d e ³
tʃʰ e ¹	kʰ j e ¹
g ɛ ²	kʰ u ²
ʃ a ¹	ʃ a ¹
s o ²	s y ²
ʃ e ¹	x e ¹
m a ¹	m o ²
m a ²	m a ²
kʰ u ¹	kʰ u ¹
a ²	a ²
kʰ i ¹	kʰ i ¹
m ²	m̩ ²
k u ¹	k u ²
pʰ i ²	p i ²
e ²	e ²
tʃʰ e ³	t i̠ ³
pʰ a ²	pʰ a ²
m a ³	m a ³
y̠ ²	ɨ̠ ³
² y ¹	ˀn i ¹
¹ a ¹	ˀŋ j a̠ ¹
p a̠ ³	p a̠ ³
k ɛ ¹	k j ɛ ¹
¹ a ŋ ¹	ɲ a ¹
u a ¹	tsʰ ɛ̠ ¹
z a ²	z a ²
l e̠ ³	l e̠ ³
d e ¹	d i ¹
³ ɛ ¹	ˀm j y̠ ¹
m o̠ ¹	m o̠ ³
pʰ y ²	pʰ j y ²
a ¹	a ¹
pʰ o ²	pʰ o ²
¹ e ²	v y ²
ʃ ɨ ²	ʃ ɨ ²
kʰ a ¹	kʰ u ¹
s e ¹	s ɛ ²
b ɛ ¹	b ɛ ¹
k a ³	k o̠ ³
z u ²	s u ¹
s o ¹	ʃ y ¹
n a ¹	n a ¹
s e ¹	s e ¹
ˀv e̠ ¹	ˀv e̠ ¹
t e ²	t e ²
a ¹	a ¹
ˀx i ²	x ɨ ²
tsʰ o ¹	tsʰ y̠ ¹
v e̠ ³	v e̠ ³
pʰ i ²	p i ²
n i ²	n i ²
m ² ²	m o̠ ³
dz i̠ ²	dz i ²
ɣ i ¹	ɣ ɨ ¹
h e ¹	h e ¹
dz i̠ ²	dʒ i ²
ŋ i ³	ˀn i ³
d a ¹	d a ¹
g a ¹	g a ¹
ʃ a ³	ʃ ɨ̠ ³
n y ¹	n y ¹
u i ³	dʒ i ³
dʒ a ŋ ¹	dʒ a ŋ ¹
