m w z n	w z n
n ʃ p	n ʃ p
r d	w r d
b r qˤ	b r qˤ
ʔ a r	ʔ tˤ r
ð b	ð
l a ʔ	l a b ʔ
p ʔ a t	p i ʔ a t
a k a b r	ʕ a k b a r
tˤ r d	tˤ r d
p r h	p a r ɣ
ʔ r k	ʔ r k
z b l	z b l
b n j	b n j
ʕ a θˤ m	ʕ a θˤ m
n w m	n w m
ʃ m x	ʃ m aː x
ʕ a m m	ʕ a m m
ʔ a k l	ʔ u k l
ʃ x n	ʃ x n
l ʔ	l a ʔ a j a t
j d ʕ	w d ʕ
d r	d w r
r ʃ a ʕ a	r ʃ ʕ
p l	p l
r	r ħ ɬˤ
n h qˤ	n h qˤ
k n	k m
ʔ i l	ʔ i l
x i m ʔ a t	x i m ʔ a t
m a t n	m a t n
sˤ ɣ r	sˤ ɣ r
ʕ θ θ	ʕ θ θ
l g l a t	g l g l a t
m j	m a j
n k	n θ k
l a h a b	l a h b
n a ʕ m a t	n u
z a p p	z a p p
k k m m	k m
m a ʃ k	m a ʃ k
ʃ a m j j	ʃ a m a j
ʃ t i	ʕ a ʃ t
g a j ʔ	g a w i ʔ
ʔ r ʕ	r ʕ w
ɣ a p	ɣ p
ʃ i qˤ d	θ a qˤ i d
r	r qˤ ħ
z qˤ p	z qˤ p
p l ħ	p l ħ
l w θ	l w ʃ
k r s	k u r s ʕ
ħ a l ʔ	ħ
r ħ m	r ħ m
b a r sˤ	b r sˤ
l p ʔ	l p ʔ
qˤ r ʕ	qˤ r b
l ʃ d	l a ʃ d
n a p i j	n p j
k i p p a	k p
ʃ i r	n sˤ r
b ʔ ʃ	b ʔ ʃ
a b tˤ	ɬˤ b tˤ
b h l	b h l
qˤ r r	qˤ r r
qˤ a r n	qˤ a r n
b k j	b k j
ħ z w	ħ ð j
ʔ n ħ n	n i ħ n u
r r	ʕ u
x l sˤ	l x sˤ
ʔ a t a m	ʔ a n t u m u
ʕ a ʕ l	ʕ a l a j
s k r	s k r
p r p i r	p r p r
x z iː r	x z iː r
θ a r b	θ a r b
w a	ʃ u
ɬ r b	ɬ r b
p iː l	p iː l
ʃ l qˤ	ʃ l qˤ
ʔ a r b a ʕ	ʔ a r b a ʕ
ʃ a ħ a r	ʃ a ħ r
ʃ i θ n a	θ i n aː
b r	b k r
ʕ a i n z	ʕ n z
ʔ a p a j	ʔ p j
n ʔ	n ɬ ʔ
qˤ tˤ p a	qˤ tˤ p
ʔ a ɣ	ɣ b j
θ m	θ uː m
d r r a w	d r r
w w	b t t
d r s	d r s
θ b r	θ b r
d r r	d r d r
z k j	ð k j
ʔ a x t	ʔ a x aː t
ʔ b r	ʔ b r
ʔ a m d n	m d iː n
x a r p	x r p
h i n	ʃ i n a
ɣ r b t	ʕ r b
m t qˤ	m tˤ qˤ
l l	sˤ l
ʕ a ɬ r	ʕ a ɬ r
s a p p r	ɬ p r
qˤ r d	qʷˤ r d
k a r i j	k a r i ɬ
ɬ b ʕ a	ɬ b ʕ
ɣ l p	ɣ l p
m r	m r r
p s s	p s ħ
d	g d a t
m ʔ a t	m i ʔ a t
l a b n	l a b b
k l	k l ʔ
ɬ a j b t	ɬ a j b a t
ʔ a r qˤ	w r qˤ
n qˤ b	n qˤ b
ʔ i ħ	ħ i l
b r j	b r j
a m θ	ħ a m θ
ʃ qˤ j	ʃ qˤ j
p a l g	p a l g
p a qˤ	p qˤ ʕ
p ʕ a m	p a ʕ m
k u r ʕ	k u r aː ʕ
b a qˤ	b a qˤ qˤ
d h p a	d ħ p
ħ i l a l ʔ	ħ i l
m ʃ n	ɬ a ʔ n
ʃ b l m	θ b l
ħ a l	ħ l p
ʔ u m m	ʔ i m m
b tˤ ħ	b tˤ ħ
d l l	d l l
ʔ n ʃ	ʔ n ʃ
p l g	p l g
r i ħ a	r i ħ a j
p r tˤ	p r tˤ
i ʃ	ʔ i ʃ
qˤ	ɬˤ j qˤ
k i l a	k i l ʔ
ʔ a b r	ʔ a
x tˤ r	x u tˤ r
ɣ a b ɣ b	ɣ a
ʕ m qˤ	ʕ m qˤ
ʔ a ħ a d	ʔ a ħ a d
b u r	b i ʔ r
n a p a ʃ	n a p a
d aː d	d aː d
ʔ a j l	x l
ʔ a r	ʔ a r ɬˤ
p a t x	p t x
g a r w	g uː r
n ʃ qˤ	n ʃ qˤ
ɣ r	ɣ aː r
m qˤ	m qˤ
ʕ m	ʕ m s
l	l aː
ɬ u r ʃ	ɬ r ʃ
tˤ a j r	tˤ a j r
ɬˤ a b ʕ	ɬˤ b ʕ
l a l a qˤ	l a qˤ l a qˤ
a w w w	ɬˤ a j w
s x	s ħ
k r	k i
h a d a d	h a d a d
ħ a l sˤ j	ħ l sˤ
z i b l	z i b l
ʔ r	ʔ r
m a θ n	θ j n
g n n	g n n
ʔ i t	ʔ i t
ʔ a n t i	ʔ a n t i
d i b ʃ	d i b ʃ
k l j t	k l j a t
p a r	p a r ɬˤ
k a r m	k r m
ħ b i j	ħ b ɬₓ
sˤ sˤ r	b ɬˤ r
tˤ aː l	tˤ i ħ aː l
qˤ a n n a t	qˤ i n n
m i	m s
ð r	ð a r ʔ
ħ a w ʔ	ħ u b b
qˤ d ħ	qˤ d ħ
	x ɬ p
h l k	h l k
b a ʕ l	b a ʕ l
j a m	j a w m
k i b	k b w
ħ a d a θ	ħ d θ
n b l	n a b a l
p ʃ r	p ʃ r
r a ħ m	r a ħ i m
b k j	b i k a j
ʔ a r n a b	ʔ a r n a b
t i b n	t i b n
b ħ r	b ħ r
p a r θ	p a r θ
s n n iː t	s n uː n a t
k m r	k m r
ħ u p n	ħ u p n
n a p a ʃ	n p ʃ
ɣ r n	ɣ r n iː qˤ
g i ʃ j	g i ɬ ɬ
ħ a n a w	ħ a n n
b x r	b x r
ʃ a b ʕ	ʃ a b ʕ
n j k	n j k
t i h aː m a t	t i h aː m
p ħ l	p a ħ l
t r	t r r
p a r	p a r ʕ
n p ʃ	n a p ʃ
θˤ r r	θˤ r r
m a n	m a n n
d a b	d u b b
ɬ r m	ɬ r m
ʔ i ʃ k	ʔ i
p l x	p l ħ
θˤ m ʔ	θˤ m ʔ
m n w	m n j
ɣ b tˤ	ɣ b tˤ
n p x	n p x
ɬˤ r tˤ	ɬˤ r tˤ
ħ a r a w n	ħ r d
ħ a l	ħ a qˤ l
k a l b	k a l b
ʃ r qˤ	ʃ r qˤ
m a ʔ n n	m n
p l l	p l l
z iː z	z iː ð
ʕ i g l	ʕ i g w a l
u r x	ʔ u r x
w a r i k	w a r i k
b ʔ	g b
ʕ i	ʕ i ɬˤ
ʃ r n	ʃ u
n sˤ j	n aː sˤ i j a t
w a r	ʔ r aː w
d a ʃ a	d ʃ m
θ a l l	θ l
ʔ m r	ʔ m r
m ʔ d	m ʔ d
p	ħ p ɬ
d w r	d w r
ʔ a w j	ʔ a j j
m	k m d
n a h r	n a h r
r ʃ	ħ r ʃ
r ɣ t	r u ɣ w a t
tˤ w w b	tˤ j b
ʕ a j n	ʕ a j n
ʃ ʕ aː l	ʃ ʕ l
ʃ ʕ	θ ʕ j
m n a	m n
θ a l	θ ʕ l
k m	k m a
b l	b l
ʃ l m	ʃ l m
ʔ b h n	b h n
ɣ p r	ɣ p r
g r a	g r ð
b ʃ	g b ʃ
x l qˤ	x l qˤ
ʃ m	ʔ m
d l w	d a l w
ʃ a n a t	ʃ a n a t
ʕ a d	ʕ a d a j
s m k	s m k
x tˤ tˤ	x tˤ tˤ
k s m	k s m
j a m iː n	j a m n
ʔ b i n	b i n
r b sˤ	r b ɬˤ
r j	w r j
ʔ x r	ʔ x r
m x r	m x r
b r	b u r ʕ
w ɬ r	w ɬ r
ʔ a j l	ʔ a j l
p n	p a n
i j	ʕ θˤ aː j
ʕ a z	ʕ ð b
w θ b	w θ b
n θˤ r	n θˤ r
ɬˤ m d	ɬˤ m d
ʃ k r	ʃ k r
qˤ a n	qˤ a n a j
l l ʔ	l a ʔ l a ʔ
r a ʔ ʃ	r a ʔ ʃ
t i t n	t i ʔ i n
k a p p	k a p p
b r	b ɬ r
g p	g a p p
ʔ a l n	ʔ a l l
ʃ a l	ʃ l
ħ r b	ħ r b
l m	l ħ m
n a b l a	n a b i l a t
p w qˤ	p w qˤ
n ʕ r	n ʕ r
qˤ j ʃ	qˤ a j ɬ
ɬ i m a a l	ɬ a m ʔ aː l
ħ	sˤ ħ w
ʕ a l a qˤ	ʕ a l a
m r u ʔ	m a r ʔ
ʔ i θ	j θ w
ʃ l ʃ	ɬ a l aː θ
k s	k s p
j a	ʃ i
p a r	p a r g
ʔ a ʃ a l	ʔ a ʃ a l
m t	m u t
b ɣ j	b ɣ j
ʔ a tˤ a d	ʔ a tˤ a d
ʃ a m n	ʃ a m n
m a ʕ	m ʕ a j
s b	ʕ s b
θˤ l m	θˤ l m
m sˤ j	m θˤ ʔ
θ a p r	θ a p r
n x iː r u	n a x iː r
g l	g i l ʕ
ð ʕ t	ð ʕ a t
p a θ n	b a θ a n
ħ d d	ħ d d
ʕ p a	ʕ ɬˤ p
qˤ a sˤ l l j	qˤ r s
g a r a b	g a r a b
p r k	p r k
ɬˤ a j r ʕ	ɬˤ r ʕ
b a r qˤ	b a r a qˤ
g j ʔ	g ɬ ʕ
d w ʃ	d w ʃ
j b l	w b l
b a sˤ sˤ	b ɬˤ ɬˤ
qˤ m sˤ	qˤ j sˤ
m t	m w t
tˤ ʕ m	tˤ ʕ m
sˤ a r sˤ r	sˤ a r sˤ a r
l ħ ʃ	l ħ ʃ
n a m r t	n m r
ħ a m a t	ħ a m aː t
b r ʃ	b u r aː θ
n qˤ	ʕ n qˤ
t x x	t x x
θ a r	θ a w r
ʃ l p	ʃ a l a ħ p a w
d a m	d a m
θˤ i l l	θˤ i l l
ħ m tˤ tˤ	ħ m tˤ
m n	m iː n
a t d	ʕ a t uː d
h ð j	h ð j
ʔ θ l	ʔ θ k aː l
i d	j a d
ʔ ʃ m	ʃ m
d m m	d m m
ħ a l qˤ	ħ l qˤ
m ħ d	ħ m d r
qˤ b	qˤ b a t
ɣ tˤ	ɣ tˤ w
p r j	p r j
sˤ b ɣ	sˤ b ɣ
m x sˤ	m x ɬˤ
r	ɬ r ɬ uː r
qˤ j ʔ	qˤ j
l ħ j	l ħ j a t
r d ʔ	r d ʔ
ħ m m	ħ m m
g m r	g m r
k a n a p	k a n a p
m ɬ tˤ	m u ɬ tˤ
z w l	z l
