k a ⁵⁵	ŋ̊ a ⁵⁵
r w i ¹¹	r w i ¹¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
w ɛ ⁵⁵	w ɛi ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
s o ʔ̚ ¹¹	s o ¹¹
tʰ u ¹¹	tʰ u ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
cʰ ei ¹¹	cʰ ei ¹¹
s r ei ¹¹	s r ei ¹¹
k l ɨ ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
k u ⁵⁵	k u ⁵⁵
m i ɴ ⁵⁵	m i n ⁵⁵
r w i ʔ̚ ⁵¹	r̥ w i ʔ̚ ⁵¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
s ei ⁵⁵	s ei ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
ˀd o ¹¹	ˀd o ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ˀd u ¹¹	ˀd ə ŋ ¹¹
k j e ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
cʰ a ⁵⁵	cʰ a ⁵⁵
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
l a ¹¹	l̥ a ¹¹
n e ⁵⁵	n̥ e ⁵⁵
j ə ⁵⁵	j ai ⁵⁵
r̥ ə ŋ ⁵⁵	r̥ e ŋ ⁵⁵
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
kʰ w o ⁵⁵	kʰ w au ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
ˀd e ⁵⁵	ˀd e ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
c a ¹¹	ɟ a ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
s ə ⁰	ɲ̊ a ¹¹
l o ŋ ¹¹	l o ŋ ¹¹
pʰ w i ⁵⁵	pʰ w i ⁵⁵
p l ɔ ɴ ¹¹	p l ɔ ŋ ¹¹
k ə ⁰	g ə ⁰
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
d ou ¹¹	d ou ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
kʰ r ei ¹¹	kʰ r ei ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
s a ɴ ⁵⁵	s a ɴ ⁵⁵
n̥ ei ⁵⁵	n ei ⁵⁵
m a ⁵⁵	m a ⁵⁵
m e ¹¹	m e ¹¹
s a ¹¹	s a ¹¹
ˀb w w a ⁵⁵	ˀb w w a ⁵⁵
m ei ¹¹	m̥ ei ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
c ei ¹¹	ɟ i ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
r̥ ə ŋ ¹¹	r o ŋ ¹¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
tʰ o ⁵⁵	tʰ au ⁵⁵
kʰ r r a ¹¹	g r a ¹¹
l a ⁵⁵	ˀl a ⁵⁵
p j a ¹¹	p j a ¹¹
j o ⁵⁵	j o ⁵⁵
p e ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
n e ¹¹	n e ¹¹
k ə ⁰	g ə ⁰
n a ¹¹	n a ¹¹
ŋ w ə ¹¹	ŋ w i ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
p l o ŋ ¹¹	p l o ŋ ¹¹
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
l ei ¹¹	l̥ ai ¹¹
m a ⁵⁵	m̥ a ⁵⁵
l a ŋ ¹¹	l̥ a ŋ ¹¹
w i ⁵⁵	w i ⁵⁵
l u ¹¹	l u ɴ ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
