ɖʐ j o ⁴	ɖʐ o ⁴
ts o ŋ ²	ts u ŋ ²
d r o ŋ ¹	d r o ŋ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
ɕ w e ⁴	ts w ɛ ⁴
ɣ ɯ̃ ²	ɣ ɯ ²
ɣ o ⁴	ɣ u ⁴
qʰ ɔ ¹	qʰ ɔ ¹
m æ ¹	m æ ¹
sʰ o ⁴	sʰ o ⁴
d ɔ ⁴	d r o ⁴
tʰ r o ⁴	tʰ r o ⁴
qʰ ɔ ²	qʰ ɔ ²
sʰ r o ŋ ¹	s o ŋ ¹
tɕʰ j æ n ¹	tɕʰ æ ¹
p u ²	p ɯ ²
ŋ o ²	ŋ u ²
n ɛ ⁴	n e ⁴
ʈ j ɯ ²	ʈ ɯ ²
s e n ⁵	s e n ⁵
ɖʐ i ¹	ɖʐ i ¹
tsʰ j i ¹	tsʰ j i ¹
ɣ o ⁴	tsʰ w a ⁴
s u ¹	s r u ¹
q ɯ ¹	q ɯ ¹
b ɯ ¹	b ɯ ¹
s j e ŋ ¹	s j e n ¹
z ɔ ¹	z ɔ ¹
ŋ j o ²	ŋ j o ²
n w o ⁴	b j o ⁴
ɕ o ⁴	ɕ a
tɕ e n ²	ɖʐ e n ²
q ɛ ¹	q ɛ ¹
ts j j e n ⁵	ts j e n ⁵
ɣ o ³	g o ŋ ³
p ɯ ²	p ɯ ²
k w a ⁴	k w a ⁴
p ɯ ⁴	ʁ ɯ ⁴
b e ²	b e ²
l o ŋ ¹	l o ŋ ¹
g o ŋ ¹	ɣ o ŋ ¹
tɕ j æ ⁴	tɕ æ ¹
q w ɛ ⁵	q w ɛ ³
tʰ u ²	tʰ j u ²
sʰ r ɯ ²	sʰ r ɯ ²
s r u ⁵	s r o ⁵
p r i ŋ ⁵	b a ŋ ⁴
d j ɯ ¹	d j ɯ ¹
sʰ r o ⁵	s r o ⁴
tsʰ j e ¹	tsʰ j e n ¹
m æ ŋ ²	m æ ²
p a ŋ ¹	ʁ a ŋ ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
ɖʐ o ⁴	ɖʐ u ŋ ⁴
tʰ u ³	tʰ r u ³
j a ⁴	j a ⁴
tsʰ u ³	tsʰ u ³
k a ŋ ¹	k a ŋ ¹
q ɯ ¹	q ɯ ¹
tɕʰ ə ⁴	tʰ e ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
m ɔ ŋ ²	m ø ²
ɣ ɯ ¹	ɣ ɯ ¹
n o ²	n o ²
q æ ⁴	q æ ⁴
g ɯ ¹	g ɯ ¹
j a ⁴	j a ⁴
ɖʐ u ŋ ²	ɖʐ u ŋ ²
sʰ w ɛ ⁴	sʰ w ɛ ⁴
p ɔ ¹	ŋ ɔ ¹
q æ n ²	q æ n ²
ts ɔ ⁵	ts o ⁵
ts ɔ ⁴	dz o ⁴
t w e n ¹	t w e n ¹
d r ɯ̃ ¹	d r ɯ̃ ¹
m ɯ ⁴	m ɯ ⁴
tʰ e ⁴	tʰ r e ⁴
d r ɯ ³	d r ɯ ³
qʰ ɛ ¹	qʰ e n ¹
pʰ r a ⁴	pʰ r a ⁴
tʰ r o ⁴	tʰ r o ⁴
l ɔ ¹	l ɔ ¹
ts o ŋ ¹	dz o ŋ ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
ts i ²	ts i ²
x e n ¹	x e n ¹
j o ²	ŋ j o ²
p o ⁴	ŋ o ³
s r i ⁴	s r i ⁴
ɣ æ ⁴	ɣ æ ⁴
qʰ ɔ ¹	qʰ o ŋ ¹
m ɛ ¹	m ɛ ¹
dʑ j i ¹	dʑ e n ¹
d ɯ ²	dʑ ɯ ²
m ɛ ³	m i ¹
m i ¹	m e ¹
tʰ r e ²	tʰ j e ²
h w i ²	kʰ w ɛ ²
ɣ ɯ ²	ɣ ɯ ²
d ɔ ¹	d ɔ ¹
q a ŋ ¹	q a ŋ ¹
b r i ¹	b r i ²
n j o ŋ ¹	n j o ¹
m æ ⁴	m æ ⁴
qʰ æ ⁴	qʰ æ ⁴
m ɛ ¹	m ɛ ¹
d o ŋ ²	d j o ŋ ²
ɕ o ⁴	ɕ o ⁴
qʰ u ¹	qʰ u ¹
b o ³	b ɔ ³
tsʰ e ¹	tsʰ r e ŋ ¹
ts i ²	ts i ²
χ ɯ ²	χ ɯ̃ ²
b a ⁴	b a ⁴
s r o ¹	s r o ¹
d i ¹	dz i ¹
m ɛ ¹	m ɛ ¹
pʰ ɯ ¹	pʰ ɯ ¹
ŋ w ɛ ⁴	b j ɛ ⁴
