p o ²	p j o ²
tsʰ j e ¹	tsʰ j i ¹
k o ŋ ¹	k o ŋ ¹
q w a ⁴	q w a ⁴
kʰ o ³	kʰ r o ³
d o ¹	d r o ŋ ¹
ʔ w e n ¹	ʔ w e n ¹
m ɛ ²	m ɛ ²
g ɔ ¹	g ɔ ¹
m ɯ ¹	m ɯ ¹
m i ³	m i ¹
ŋ ɯ ²	p u ²
