n ɔ ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
m a ⁵⁵	m a ⁵⁵
t a ʔ̚ ⁵⁵	t a ʔ̚ ⁵¹
j o ⁵⁵	j o ⁵⁵
d o ¹¹	d o ¹¹
l ou ¹¹	l̥ ou ¹¹
k au ŋ ⁵⁵	g a ŋ ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
pʰ ɨ ¹¹	p ɨ ¹¹
cʰ a ⁵⁵	c a ⁵⁵
m a ¹¹	m a ¹¹
m ɨ ¹¹	m ɨ ¹¹
b l a ¹¹	b l a ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
b ə ʔ̚ ⁰	b ə ʔ̚ ⁰
pʰ a ¹¹	pʰ a ¹¹
b i ¹¹	b i ¹¹
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
w i ⁵⁵	w i ⁵⁵
ˀm a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
tʰ w u ɴ ¹¹	tʰ u ɴ ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
cʰ w u ɴ ¹¹	cʰ u ɴ ¹¹
b l a ¹¹	b l a ¹¹
ˀd o ¹¹	ˀd o ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
ˀb l a ⁵⁵	p l a ⁵⁵
s r a ⁵⁵	s r a ⁵⁵
n ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
ˀm a ¹¹	m̥ a ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
pʰ l ɨ ⁵⁵	pʰ r ɨ ɴ ⁵⁵
l̥ ɛ ⁵⁵	l w ɛ ⁵⁵
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
k ə ⁵⁵	p ə ⁰
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
p l o m ¹¹	p l o m ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
b r i ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
c u ⁵⁵	c u ⁵⁵
w a ⁵⁵	g w a ⁵⁵
n a ¹¹	n a ¹¹
r ə ⁵⁵	r ɔ ⁵⁵
n̥ ə ⁵⁵	n̥ i ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
m ɛ ʔ̚ ⁵⁵	m ɛ ʔ̚ ⁵¹
ˀb l a ¹¹	p l a ¹¹
m a ⁵⁵	m̥ a ⁵⁵
s i ⁵⁵	s ei ⁵⁵
p l ɔ ɴ ŋ ¹¹	p l ɔ ŋ ¹¹
ɟ w i k̚ ⁵¹	c w i k̚ ⁵¹
k ə ⁰	d ə ŋ ⁵⁵
ˀm ei ⁵⁵	m̥ ei ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
ˀd ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
k w i ¹¹	ŋ w i ¹¹
s a ¹¹	s a ¹¹
d e ɴ ⁵⁵	d e ɴ ⁵⁵
r ou ¹¹	r ou ¹¹
l w i ¹¹	l w i ¹¹
m u ¹¹	m u ¹¹
m e ¹¹	m̥ e ¹¹
kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
n e ŋ ¹¹	n̥ e ŋ ¹¹
pʰ ə ¹¹	pʰ ə ¹¹
k ə ⁵⁵	k ə ʔ ⁰
l u ŋ ¹¹	l u ɴ ¹¹
l o ⁵⁵	l o ⁵⁵
pʰ a ⁵⁵	pʰ a ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
ʔ a ⁵⁵	s ə ⁰
b r e ⁵⁵	b r e ⁵⁵
ˀm ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
p l e ⁵⁵	p l e ⁵⁵
k ə ⁰	k ə ⁰
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
kʰ a ¹¹	kʰ a ¹¹
j a ⁵⁵	r j a ⁵⁵
ˀd ə ⁵⁵	ˀd ə ⁵⁵
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
k ə ⁵⁵	k ə ⁰
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
ʔ e ¹¹	ʔ e ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
m ɨ ¹¹	m̥ ɨ ¹¹
n e ¹¹	n e ¹¹
m a ¹¹	m̥ a ¹¹
k ə ⁰	k ə ⁰
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
r ə ⁵⁵	t r e ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
l a ⁵⁵	ˀl a ⁵⁵
l ɛ ¹¹	l ɛ ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
k ə ⁰	k ə ʔ̚ ⁰
cʰ ə ¹¹	cʰ r ou ¹¹
cʰ ei ¹¹	cʰ ei ¹¹
tʰ w a ŋ ¹¹	tʰ w a ɴ ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
b o ¹¹	b o ¹¹
k ə ⁵⁵	t ə ⁰
r a ɴ ¹¹	r a ɴ ¹¹
k ou ¹¹	h ou ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
ˀb i ¹¹	ˀb i ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
d ə ¹¹	d ə ¹¹
p ə ¹¹	p ə ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
ˀd e ¹¹	ˀd e ¹¹
k w a m ¹¹	g l a m ¹¹
l u ⁵⁵	l u ⁵⁵
cʰ ə m ⁵⁵	cʰ u ɴ ⁵⁵
m i ⁵⁵	m i ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
cʰ j a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
