k o ʔ̚ ⁵⁵	j o ʔ̚ ⁵¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
m ə ¹¹	m ə ¹¹
k w i ¹¹	ŋ w i ¹¹
d a ʔ̚ ⁵⁵	d a ʔ̚ ⁵¹
ˀd ə ɴ ⁵⁵	ˀd ə ⁵⁵
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
k l o ŋ ¹¹	k l ə ŋ ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
m ɨ ¹¹	m̥ ɨ ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
k ə ⁰	l a ʔ̚ ³³
r w i t ⁵¹	r̥ w i ʔ̚ ⁵¹
d ə ⁵⁵	t ə ʔ̚ ⁰
l ɛ m ¹¹	l̥ ɛ m ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
c ɔ ¹¹	c ɔ ¹¹
s a ¹¹	s a ¹¹
kʰ r ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
tʰ ə ¹¹	tʰ ə ¹¹
ˀb a ⁵⁵	ˀb a ⁵⁵
k i ¹¹	k i ¹¹
b l a ¹¹	b l a ¹¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
r r i ⁵⁵	t r e ⁵⁵
n w i t ⁵⁵	ˀn w e t̚ ⁵¹
s w i ¹¹	s w i ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
tʰ w a ɴ ¹¹	tʰ w a ɴ ¹¹
m a ⁵⁵	m̥ a ⁵⁵
k ə ⁵⁵	s ə ⁰
m ei ¹¹	m̥ ei ¹¹
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
w ɛ ⁵⁵	w ɛi ⁵⁵
ʔ ɔ ¹¹	ʔ ɔ ¹¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
g ə ɴ ⁵⁵	k ɨ ⁵⁵
l ei ¹¹	l̥ ai ¹¹
n u ¹¹	n u ¹¹
l i ¹¹	l̥ i ¹¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
k ə ⁰	p ə ⁰
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
t ə ⁰	d ə ŋ ⁵⁵
d e ⁵⁵	d e ɴ ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
p l a ⁵⁵	p l a ⁵⁵
ˀd ou ¹¹	ˀd ə ŋ ¹¹
tʰ w ə n ⁵⁵	tʰ w ɨ ɴ ⁵⁵
kʰ l au ¹¹	kʰ l ɔ ¹¹
pʰ ə ¹¹	pʰ ə ¹¹
s r e ⁵¹	s r e ³³
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
l ɛ ⁵⁵	l w ɛ ⁵⁵
kʰ r w i t ⁵¹	kʰ r w i t ⁵¹
m u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
cʰ a m ⁵⁵	cʰ u ɴ ⁵⁵
s ə ⁵⁵	s ə ⁰
kʰ u ¹¹	kʰ u ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
j a m ¹¹	j a m ¹¹
d o ¹¹	d o ¹¹
m a ¹¹	m̥ a ¹¹
l ou ¹¹	l̥ ou ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
l a ⁵⁵	ˀl a ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
kʰ a ¹¹	kʰ a ¹¹
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
ˀb a ¹¹	ˀb a ¹¹
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
pʰ ə ¹¹	p ɨ ¹¹
tʰ u ¹¹	tʰ u ¹¹
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
tʰ ə ⁰	tʰ u ¹¹
m̥ ei ⁵⁵	m̥ ei ⁵⁵
t a ⁰	t ə ʔ̚ ⁰
j a t̚ ⁵⁵	ŋ j a t̚ ⁵¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
r e ¹¹	r e ¹¹
k ə ⁰	s ə ⁰
tʰ u ɴ ⁵⁵	tʰ u ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
k ə ⁰	k ə ʔ ⁰
b e ŋ ⁵⁵	b e ŋ ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
ʔ w i ¹¹	ʔ w i ¹¹
