ts ɛ̠ ¹	ts ɛ ¹
tʃʰ i ³	tʃʰ i̠ ³
t ² ³	t u ¹
d a ²	d u ²
ˀn i ¹	ˀn i ¹
p u ²	p u ²
s y ¹	s y ¹
d u ²	d u ²
ʒ e̠ ¹	ɣ e̠ ¹
tsʰ a ²	tsʰ a ²
ʒ a ¹	ʒ a ŋ ¹
ˀn ɛ ¹	n ɛ̠
g u ²	g o ²
t ɛ ¹	t u ¹
dz e ¹	dz e ¹
k a̠ ³	x a̠ ³
ɣ i ¹	ɣ a ŋ ¹
s a ³	g a ³
¹ a ¹	ˀv a ¹
v a ²	v a ²
ɲ j a ¹	ŋ j a̠ ¹
n a ²	ˀn a ²
dʒ a ŋ ¹	dʒ a ŋ ¹
m ɛ ²	m ɛ ²
s i ²	ʃ y ¹
k ɛ ¹	k j ɛ ¹
ˀl y ¹	ˀl y ¹
pʰ i ¹	pʰ e̠ ¹
p a̠ ³	p a̠ ³
b y ¹	b y ¹
l a ²	l a ²
m a ³	m a ³
a ¹	a ¹
d u ¹	d u ¹
tʰ y ¹	tʰ y ¹
pʰ e̠ ¹	pʰ e̠ ¹
dz y ²	dz y ²
a ¹	a ²
n u ²	n u ²
m a ²	m a ²
pʰ u ¹	pʰ u ¹
a ¹	a ¹
h a ²	h a ¹
dz e ²	dz i ²
m j a ŋ ¹	m j a ŋ ¹
v e̠ ³	v e̠ ³
¹ ɛ ²	b a ŋ ²
l a̠ ²	l a ²
dz a ³	ɣ o ²
¹ a ¹	ˀv a ¹
a ³	a ²
g a ³	g a ³
d o̠ ²	tʃʰ e̠ ¹
h e̠ ³	h e̠ ³
d o̠ ¹	t u ¹
kʰ y ¹	kʰ o̠ ¹
a ²	a ¹
ˀn a ¹	ˀn a ¹
d o̠ ¹	d o̠ ¹
m a ŋ ²	m a ŋ ²
g a ¹	g a ¹
tʰ a ŋ ²	d u ¹
k u ³	k u ³³
dz i ¹	dz e ¹
m̩ ²	m u ²
pʰ a ²	pʰ a ²
kʰ e̠ ¹	kʰ e̠ ¹
d i ¹	d a ŋ ¹
ˀl a ¹	ˀl a ¹
l e̠ ³	l e̠ ³
n e̠ ²	ˀn e̠ ³
s i ¹	s i̠ ¹
ˀm ɛ ²	m ɛ ²
t a ¹	t j ɛ ³³
ʒ o̠ ³	ʒ o̠ ³
pʰ e̠ ³	pʰ e̠ ³
kʰ ɛ ³	kʰ y̠ ¹
kʰ u ¹	kʰ u ¹
tsʰ y ¹	tsʰ a m ¹
ˀn i ³	ˀn i ³
b a ³	b ɛ ¹
ˀm e̠ ³	ˀm j e̠ ¹
kʰ i ²	kʰ i ²
k u ²	k j e ²
ɣ i ¹	ɣ i ¹
z a ²	s u ¹
ˀm o ²	m o ²
d ɛ ²	d e ²
n i ²	n i ²
n i̠ ¹	n i̠ ¹
n i̠ ¹	n i̠ ¹
s y ²	s y ²
kʰ y ²	g y ²
a ¹	a ¹
¹ a ¹	ˀv a ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
dz i ²	dz i ²
k o ³	k o ¹
l a ¹	l a ¹
¹ ¹ ¹	p ɛ ¹
k e̠ ²	k j ɛ ²
s i̠ ¹	s i̠ ¹
tʰ u ¹	tʰ u ¹
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
k u ¹	t u ¹
t o ³	z a ²
ˀv i̠ ³	v i̠ ³
¹ u ²	ts u ²
a ¹	a ¹
dz i ¹	dz e ¹
tsʰ a ¹	tsʰ a ¹
g u ¹	g o ŋ ¹
i ²	i ²
g u ³	g o ŋ ³
m u ³	m a ŋ ³
pʰ ɨ ²	pʰ ɨ ²
i y ¹	p y̠ ¹
h e ¹	h e ¹
ʃ ɛ ¹	ʃ ɛ ¹
x a̠ ³	x a̠ ³
i ²	i ²
dz ɛ ²	dz ɛ ²
kʰ ɛ ²	kʰ j ɛ ²
tʃ u ¹	ts u ¹
p ɛ ³	f ɛ ³
p i ²	p y̠ ¹
t i ¹	t i ¹
ts i ²	ts i ²
t i ¹	t i ¹
a ¹	a ¹
b y ¹	b y ¹
t a ²	t a ²
n o ¹	n a ¹
a ¹	a ²
tʰ a ŋ ²	tʰ o ²
n e̠ ³	n i̠ ³
kʰ a ²	kʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ y ¹	tsʰ y ¹
dz i ³	dz ɿ ³
a ¹	a ¹
dʒ i ²	dʒ e ³
a ²	a ²
kʰ i ¹	kʰ i ¹
pʰ ɨ ¹	pʰ ɨ ¹
p a̠ ³	p a̠ ³
b j a ²	b a ²
ˀm u ¹	m ɛ ³
v u ¹	v u ¹
k a ²	k a ŋ ²
pʰ a ²	pʰ a ²
l y̠ ³	ˀl y̠ ³
d a ²	d i ²
s y ²	ʃ y ²
k a ³	k a̠ ³
tʃʰ e ¹	d e ¹
tʰ ɛ ³	tʰ ɛ ³
ʃ ɛ ¹	ʃ ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
k ɛ̠ ¹	z ɛ ¹
dz i ²	dz i ²
ˀl o̠ ¹	ˀl o̠ ¹
ˀm ɛ ¹	ˀm j y̠ ¹
a ¹	a ¹
p e ¹	p e ¹
dz i ¹	dz ɿ ³
h a ²	h a ŋ ²
s i̠ ¹	s i̠ ¹
tʰ e ²	dʒ ɛ ²
dz ɛ ¹	dʒ ɛ ¹
l a ²	l a ²
x e ¹	x e ¹
t e̠ ¹	t i̠ ¹
¹ i ¹	ɣ a ŋ ¹
k a ³	k a̠ ³
kʰ u ²	kʰ ɨ̠ ¹
z i ³	z i ³
ɣ ɨ ³	ɣ i̠ ³
n i ²	n̩ ²
l y ¹	l y ¹
a ³	a ¹
k o ³	k o ³
¹ u ³	f u ³
ʃ a ¹	ʃ a ¹
l a ²	l a ²
ts e ¹	ts e ¹
ˀm a ³	ˀm a ³
g a ¹	g i ¹
t a ¹	t a ⁵⁵
s y ²	ɣ u ²
a ¹	a ¹
